Z,Element,1s1/2,2s1/2,3s1/2,4s1/2,5s1/2,6s1/2,7s1/2,2p1/2,2p3/2,3p1/2,3p3/2,4p1/2,4p3/2,5p1/2,5p3/2,6p1/2,6p3/2,3d3/2,3d5/2,4d3/2,4d5/2,5d3/2,5d5/2,4f5/2,4f7/2,5f5/2,5f7/2
74,W,,,2819.6,595,77.1,8,,,,2574.9,2281,491.6,425.3,46.7,36.5,,,1871.6,1809.2,258.8,245.4,6.1,,37.4,35.1,,
75,Re,,,2931.7,625,82.8,8,,,,2681.6,2367.3,517.9,444.4,48.4,36.8,,,1948.9,1882.9,273.7,260.2,3.8,2.5,48.1,45.7,,
76,Os,,,3048.5,654.3,83.7,8,,,,2792.2,2457.2,546.5,468.2,58,45.4,,,2030.8,1960.1,289.4,272.8,0.4,0.9,53.8,51,,
77,Ir,,,3173.7,690.1,95.2,9,,,,2908.7,2550.7,577.1,494.3,63,49.6,,,2116.1,2040.4,311.4,294.9,4.2,3.2,63.8,60.8,,
78,Pt,,,3297.2,722.8,101.7,9,,,,3026.7,2645.7,608.4,519,65.3,51.6,,,2201.7,2121.4,330.7,313.4,2.8,1.4,74.3,70.9,,
79,Au,,,3424.9,758.8,107.8,9,,,,3147.8,2743,643.7,545.4,71.7,56.9,,,2291.1,2205.7,352,333.9,3.3,1.8,87.3,83.7,,
80,Hg,,,3561.6,803,120.3,9,,,,3278.5,2847.1,676.9,571,80.5,61.8,,,2384.9,2294.9,378.3,359.8,7.5,5.7,103.3,99.4,,
81,Tl,,,3704.1,845.5,136.3,8,,,,3415.7,2956.6,721.3,609,99.6,74.5,6,,2485.1,2389.3,406.6,386.2,15.3,13.1,123,118.7,,
82,Pb,,,3850.7,893.6,147.3,3.1,,,,3554.2,3066.4,763.9,644.5,104.8,84.5,0.7,,2585.6,2484,435.2,412.9,21.8,19.2,141.8,136.9,,
83,Bi,,,3999.1,938.2,159.3,7.5,,,,3696.3,3176.9,805.3,678.9,116.8,92.9,1.2,0.2,2687.6,2579.6,463.6,440,26.5,24.4,162.3,157.2,,
84,Po,,,4153.5,987.5,177.5,11,,,,3844.3,3293.4,850.9,715.2,131.8,103.7,3.2,1.4,2793.6,2679.2,495.7,469.9,33.8,30.6,184.6,178.9,,
85,At,,,4311.7,1038.2,193.4,15,,,,3995.8,3410.5,897.7,753.7,145.6,113.6,5.7,2.8,2901.8,2780.7,527.6,500.1,40.9,37.4,207,200.8,,
86,Rn,,,4474.3,1090.5,209.6,18.7,,,,4151.5,3530.5,946.2,791.2,159.5,123.9,7.6,4.1,3012.3,2884.2,560.4,531.1,48,44.2,230.1,223.6,,
87,Fr,,,4645.7,1149,230.9,26.3,4,,,4316,3657.3,1000.7,835.1,178.7,138.7,13.2,8.8,3129.7,2994.9,598.7,567.5,60,55.6,258.6,251.6,,
88,Ra,,,4822,1208.4,254.4,35.5,5,,,4485,3786.6,1057.6,879.1,200.4,152.8,19.2,13.7,3248.4,3104.9,635.9,602.7,69.4,63.8,287.9,280.4,,
89,Ac,,,5000.6,1269.4,273.5,39.8,6,,,4656.8,3916.7,1112.8,924.3,216.9,167.8,24.1,17,3370.1,3219.7,673.9,641.1,83.3,77.7,316.4,308.4,,
90,Th,,,5182.3,1329.5,290.2,41.4,6,,,4830.4,4046.1,1168.2,967.2,232,180.8,25.8,17.3,3490.8,3332,713.7,676.6,94.1,87.3,344.4,335,,
91,Pa,,,5366.9,1387.1,309.6,46.7,6,,,5002.7,4173.8,1224.3,1006.7,244.6,186.3,28.1,18.9,3606.4,3439.4,743.4,708.2,97.3,89.2,371.2,359.5,6,
92,U,,,5548,1440.8,323.3,49.5,6,,,5182.2,4303.4,1271.8,1044.9,259.3,195.9,30.8,18.6,3727.6,3551.7,780.2,737.7,104.4,95.2,390.7,379.9,6,
93,Np,,,5739.6,1500.1,339.8,50,6,,,5366.7,4433.4,1327.7,1086,283.4,206,29.3,17.5,3849.8,3665.2,816.1,770.8,109.3,101.2,414.3,403.4,6,
94,Pu,,,5932.9,1559.3,351.9,48.6,6,,,5541.2,4556.6,1377.4,1120.9,282.5,215.3,30.6,18.4,3972.6,3778.1,848.9,801.5,116,105.2,437.4,425.2,6,
95,Am,,,6132.6,1619.2,373,50.4,6,,,5747,4706,1435.1,1168,303,216.4,31.1,18.1,4092.1,3886.9,880.4,830,118,107.9,463.3,449,6,6
96,Cm,,,6342.5,1688.6,392.7,56.9,6,,,5943.3,4841.5,1499,1211,317.7,231.7,32.1,18.9,4229.4,4014.9,919.3,864.8,130.4,113.1,487.4,472.7,6,6
97,Bk,,,6547.6,1748.3,405,55.7,6,,,6139.9,4975.3,,1248,326.8,245.9,34,18.3,4353.4,4128.8,957.7,901.4,130.4,115.1,514.4,498.5,6,6
98,Cf,,,6764,1816,423.6,58.1,6,,,6347.5,5117.1,,1291.5,341.9,248.8,34.9,19.4,4485.3,4249.9,993.7,933.1,136,124.5,541.1,523.3,6,6
