PhotonEnergy_eV,1s1/2,2s1/2,3s1/2,4s1/2,5s1/2,2p1/2,2p3/2,3p1/2,3p3/2,4p1/2,4p3/2,5p1/2,5p3/2,3d3/2,3d5/2,4d3/2,4d5/2,4f5/2,4f7/2
10,552137.074683496,104200.56463959,113358.527606535,88863.5899684207,7640.88955732683,2759043.91730192,11807973.9140251,107588.662222865,625559.9923704,47902.7569070122,492092.244532745,35493.7162243575,344866.243091253,14224148.0158571,27559954.4512653,728388.118787544,1342806.36338574,16128589.5057079,24378910.7565708
10.0926219098705,552127.075094055,104197.931165119,113351.004231284,88853.9423268261,7637.60760031272,2758858.92475442,11806794.068511,107584.373772596,625518.121451272,47900.3600699405,492032.885805764,35490.0490440358,344792.023797846,14221453.9024772,27554155.9441549,728299.608680274,1342626.25675969,16122162.2387885,24368837.4113161
10.1861017015598,552116.983143488,104195.273394183,113343.41192879,88844.2069097631,7634.29750510761,2758672.23557241,11805603.4539533,107580.045836059,625475.86655289,47897.9412005309,491972.987340913,35486.3484593339,344717.140363452,14218735.4971267,27548305.3078466,728210.292843166,1342444.51350819,16115678.6491805,24358675.9785199
10.2804473209331,552106.797981102,104192.591103513,113335.750074596,88834.3829333454,7630.95905099025,2758483.83435208,11804401.9735375,107575.678051868,625433.224189727,47895.50009782,491912.544323936,35482.6141711933,344641.587060474,14215992.5869174,27542402.0883415,728120.164072422,1342261.11905292,16109138.2729793,24348425.7360692
10.3756667874519,552096.518748415,104189.884067804,113328.018038719,88824.4696069581,7627.59201587971,2758293.70555269,11803189.5296058,107571.270055367,625390.19084528,47893.0365590404,491851.551899369,35478.8458779749,344565.358115886,14213224.957209,27536445.8279575,728029.215102263,1342076.05869114,16102540.6430056,24338085.9568189
10.4717681948552,552086.144579081,104187.152059698,113320.215185604,88814.4661332051,7624.19617633405,2758101.83349538,11801966.023651,107566.821478605,625346.762971807,47890.5503796052,491790.005170213,35475.0432754384,344488.447710946,14210432.391597,27530436.0653049,727937.438604445,1341889.31759473,16095885.2887929,24327655.9085732
10.568759711848,552075.674598825,104184.394849764,113312.340874074,88804.371707856,7620.77130754903,2757908.20236202,11800731.356309,107562.33195031,625302.936990065,47888.0413530918,491727.899197619,35471.2060567217,344410.849980911,14207614.6719004,27524372.335261,727844.827187762,1341700.88080923,16089171.7365748,24317134.8540682
10.6666495827954,552065.107925365,104181.612206481,113304.394457284,88794.185519793,7617.31718335706,2757712.79619401,11799485.4273523,107557.80109585,625258.709289038,47885.5092712264,491665.229000557,35467.3339123202,344332.559014748,14204771.5781489,27518254.1689454,727751.373397559,1341510.73325286,16082399.5092725,24306522.050954
10.7654461284232,552054.443668343,104178.80389622,113296.375282677,88783.9067509569,7613.83357622635,2757515.5988911,11798228.1356828,107553.228537215,625214.076225672,47882.9539238679,491601.989555493,35463.4265300659,344253.568854849,14201902.8885708,27512081.0936952,727657.069715229,1341318.85971556,16075568.1264832,24295816.7517777
10.8651577465254,552043.680929254,104175.969683223,113288.28269193,88773.5345762935,7610.32025726013,2757316.5942102,11796959.379325,107548.613892979,625169.034124602,47880.3750989915,491538.175796064,35459.4835951066,344173.873496743,14199008.3795807,27505852.6330396,727561.908557717,1341125.244858,16068677.104467,24285018.2039661
10.9657929126781,552032.818801367,104173.109329585,113280.116020912,88763.0681636992,7606.77699619611,2757115.76576415,11795679.0554185,107543.956778273,625123.579277881,47877.7725826726,491473.782612742,35455.5047898845,344093.466888807,14196087.8257667,27499568.3066749,727465.882277018,1340929.87321058,16061725.9561364,24274125.6498091
11.0673601809597,552021.856369654,104170.222595236,113271.87459963,88752.5066739662,7603.20356140611,2756913.09702053,11794387.0602117,107539.256804756,625077.707944704,47875.1461590704,491408.804852507,35451.4897941152,344012.342931977,14193140.9998777,27493227.6304393,727368.983159665,1340732.72917245,16054714.1910434,24263138.3264439
