PhotonEnergy_eV,1s1/2,2s1/2,3s1/2,4s1/2,5s1/2,2p1/2,2p3/2,3p1/2,3p3/2,4p1/2,4p3/2,5p1/2,5p3/2,3d3/2,3d5/2,4d3/2,4d5/2,4f5/2,4f7/2
10,567632.204169791,106403.184480752,117123.365084283,91977.0796436914,39661.0643301943,2811472.05237359,12008070.2464021,110700.699334364,636595.081538245,49294.920274437,494744.511818747,35763.9751060483,339230.442010663,14333735.208549,27680653.1496791,739430.502516865,1359262.01765499,16211347.9620636,24505954.3187895
10.0926219098705,567621.703901915,106400.442999386,117115.417761704,91966.8043828289,39644.1344089318,2811279.60180619,12006848.7528783,110696.181877299,636551.641299034,49292.3785283704,494683.835399363,35760.1825780481,339156.314784852,14330973.214849,27674738.3820254,739338.805599643,1359076.11951534,16204787.9631507,24495674.1626843
10.1861017015598,567611.106654131,106397.676226995,117107.397645272,91956.4356848633,39627.0592344136,2811085.38656446,12005616.1130969,110691.622831165,636507.802765377,49289.8134232746,494622.607429548,35756.3555187796,339081.52458361,14328186.328691,27668770.4646403,739246.274233459,1358888.53274597,16198170.5280933,24485304.1902505
10.2804473209331,567600.411533313,106394.883931205,117099.304075825,91945.9727162441,39609.8376653948,2810889.39063354,12004372.2269066,110687.021815437,636463.562323218,49287.2247461846,494560.822992809,35752.4936193717,339006.065695689,14325374.3321383,27662748.9350932,739152.900963143,1358699.24231687,16191495.1847314,24474843.6666713
10.3756667874519,567589.617638154,106392.065877526,117091.136388374,91935.4146362824,39592.4685535655,2810691.59785633,12003116.9932847,110682.378446152,636418.916326412,49284.6122822251,494498.477130628,35748.5965682928,338929.932364655,14322537.0054646,27656673.3272102,739058.678269483,1358508.23306998,16184761.4575893,24464291.8520369
10.4717681948552,567578.724059101,106389.22182933,117082.893912052,91924.7605970958,39574.9507435437,2810491.99193226,12001850.3103307,110677.692335878,636373.861096448,49281.9758145948,494435.564842134,35744.6640513304,338853.118788614,14319674.1271418,27650543.1710497,738963.598568726,1358315.48971818,16177968.8678637,24453648.0013273
10.568759711848,567567.729878269,106386.351547833,117074.575970065,91914.0097435522,39557.2830728669,2810290.55641611,12000572.075259,110672.963093687,636328.39292218,49279.315124549,494372.081083775,35740.6957515692,338775.619119921,14316785.4738269,27644357.9928768,738867.654212064,1358120.99684434,16171116.9334107,24442911.3643939
10.6666495827954,567556.634169378,106383.454792076,117066.181879646,91903.1612132137,39539.464371987,2810087.27471675,11999282.1843916,110668.190325117,636282.508059546,49276.6299913833,494308.020768986,35736.6913493705,338697.427464905,14313870.8203501,27638117.3151384,738770.837485139,1357924.7389003,16164205.1687342,24432081.1859431
10.7654461284232,567545.435997666,106380.531318909,117057.710952,91892.2141362798,39521.493464264,2809882.13009591,11997980.5331515,110663.373632151,636236.202731297,49273.9201924163,494243.378767864,35732.6505223506,338618.537883579,14310929.9397016,27631820.6564381,738673.140607518,1357726.70020589,16157233.0849735,24421156.7055189
10.8651577465254,567534.13441982,106377.580882963,117049.162492255,91881.1676355312,39503.3691659618,2809675.10566697,11996667.0160546,110658.512613177,636189.473126709,49271.1855029726,494178.149906828,35728.572945359,338538.944389362,14307962.6030195,27625467.5315105,738574.555732189,1357526.86494787,16150200.1898919,24410137.1574868
