Z,Element,1s1/2,2s1/2,3s1/2,4s1/2,5s1/2,6s1/2,7s1/2,2p1/2,2p3/2,3p1/2,3p3/2,4p1/2,4p3/2,5p1/2,5p3/2,6p1/2,6p3/2,3d3/2,3d5/2,4d3/2,4d5/2,5d3/2,5d5/2,4f5/2,4f7/2,5f5/2,5f7/2
1,H,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2,He,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Li,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Be,111.9,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,188,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,284.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,N,400.5,,,,,,,,,,,,,,,,,,,,,,,,,,
8,O,532,,,,,,,,,,,,,,,,,,,,,,,,,,
9,F,685.4,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ne,870.1,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Na,1072.1,63.3,,,,,,,,,,,,,,,,,,,,,,,,,
12,Mg,1305,89.4,,,,,,51.5,51.3,,,,,,,,,,,,,,,,,,
13,Al,1559.6,117.7,,,,,,73.2,72.7,,,,,,,,,,,,,,,,,,
14,Si,1838.9,148.7,,,,,,99.5,98.9,,,,,,,,,,,,,,,,,,
15,P,2145.5,189.3,,,,,,136.2,135.3,,,,,,,,,,,,,,,,,,
16,S,2472,229.2,,,,,,165.4,164.2,,,,,,,,,,,,,,,,,,
17,Cl,2822.4,270.2,,,,,,201.6,200,,,,,,,,,,,,,,,,,,
18,Ar,3202.9,326,,,,,,250.6,248.5,,,,,,,,,,,,,,,,,,
19,K,3607.4,377.1,,,,,,296.3,293.6,,,,,,,,,,,,,,,,,,
20,Ca,4038.1,437.8,,,,,,350,346.4,,,,,,,,,,,,,,,,,,
21,Sc,4492.8,500.4,53.8,,,,,406.7,402.2,,,,,,,,,,,,,,,,,,
22,Ti,4966.4,563.7,60.3,,,,,461.5,455.5,,,,,,,,,,,,,,,,,,
23,V,5465.1,628.2,66.5,,,,,520.5,512.9,,,,,,,,,,,,,,,,,,
24,Cr,5989.2,694.6,74.1,,,,,583.7,574.5,,,,,,,,,,,,,,,,,,
25,Mn,6539,769,83.9,,,,,651.4,640.3,53.1,,,,,,,,,,,,,,,,,
26,Fe,7113,846.1,92.9,,,,,721.1,708.1,58.1,52,,,,,,,,,,,,,,,,
27,Co,7708.9,925.6,100.7,,,,,793.6,778.6,63.2,57.7,,,,,,,,,,,,,,,,
28,Ni,8332.8,1008.1,111.8,,,,,871.9,854.7,71.2,69.7,,,,,,,,,,,,,,,,
29,Cu,8978.9,1096.1,119.8,,,,,951,931.1,75.3,72.8,,,,,,,,,,,,,,,,
