PhotonEnergy_eV,1s1/2,2s1/2,3s1/2,4s1/2,5s1/2,2p1/2,2p3/2,3p1/2,3p3/2,4p1/2,4p3/2,5p1/2,5p3/2,3d3/2,3d5/2,4d3/2,4d5/2,4f5/2,4f7/2
10,-1.34766507399687e+17,-0.00296787801841443,-0.0011629807800777,-0.00487490188986748,-0.00280396242718181,-0.342568774071413,-0.139503901621375,-0.176642538984456,-0.0584397323782186,-0.0110291675749156,-0.0116172230873215,0.0133750629864629,-0.0188863061706026,-0.200827597865821,-0.461035384532136,-0.143795630171091,-0.11310842897613,-0.192919376955193,-0.0630817389292523
10.0926219098705,-1.34850185811371e+17,-0.00296788103184266,-0.0011630399649451,-0.00487473647017442,-0.00280333528815205,-0.342174808517479,-0.139227347923109,-0.176470908728884,-0.0583826541020943,-0.0110468169052574,-0.0116624669372515,0.013325681400368,-0.0188796867494493,-0.200451779750219,-0.460354225667786,-0.143604451090875,-0.113002352016624,-0.192615993889993,-0.063038378459362
10.1861017015598,-1.34934639497563e+17,-0.00296788406747367,-0.0011630996530808,-0.00487457044245291,-0.00280270401198216,-0.341780840457784,-0.138950795484077,-0.176299276215598,-0.0583255713562314,-0.0110644636322747,-0.0117077007948708,0.0132763032258486,-0.0188730630951061,-0.200075956820544,-0.45967306012168,-0.143413260155386,-0.11289625703651,-0.192312601600025,-0.0629950043721602
10.2804473209331,-1.35019875643268e+17,-0.00296788712549693,-0.00116315984900174,-0.00487440380241375,-0.00280206855769266,-0.341386869869635,-0.13867424431876,-0.176127641420511,-0.0582684840986684,-0.0110821077288312,-0.0117529245630505,0.0132269284966205,-0.0188664351667773,-0.199700129034243,-0.458991887832992,-0.143222057252624,-0.11279014386422,-0.192009199998383,-0.0629516165349796
10.3756667874519,-1.35105901500119e+17,-0.00296789020610358,-0.0011632205572661,-0.00487423654570319,-0.00280142888376164,-0.340992896730131,-0.138397694441783,-0.175956004319298,-0.0582113922870502,-0.0110997491675026,-0.0117981381436922,0.0131775572467254,-0.0188598029232797,-0.199324296348378,-0.458310708740338,-0.143030842269525,-0.112684012326531,-0.191705788997338,-0.0629082148138179
10.4717681948552,-1.35192724386994e+17,-0.00296789330948647,-0.00116328178247374,-0.00487406866790178,-0.00280078494811625,-0.340598921016161,-0.138121145867917,-0.17578436488739,-0.0581542958786244,-0.011117387920573,-0.0118433414377172,0.0131281895105338,-0.0188531663230386,-0.198948458719625,-0.457629522781769,-0.142839615091943,-0.112577862248546,-0.191402368508325,-0.0628647990733243
10.568759711848,-1.35280351690645e+17,-0.00296789643584016,-0.0011633435292665,-0.00487390016452306,-0.00280013670812392,-0.340204942704403,-0.137844598612086,-0.175612723099975,-0.0580971948302376,-0.0111350239600318,-0.011888534345057,0.013078825322748,-0.0188465253240841,-0.198572616104269,-0.456948329894769,-0.142648375604642,-0.112471693453682,-0.191098938441937,-0.0628213691767841
10.6666495827954,-1.35368790866323e+17,-0.00296789958536097,-0.00116340580232867,-0.00487373103101233,-0.00279948412058354,-0.33981096177132,-0.13756805268936,-0.175441078931993,-0.0580400890983318,-0.0111526572575705,-0.0119337167646419,0.0130294647184054,-0.0188398798840477,-0.198196768458202,-0.456267130016246,-0.142457123691287,-0.112365505763644,-0.190795498707914,-0.062777924986105
10.7654461284232,-1.35458049438418e+17,-0.00296790275824695,-0.0011634686063873,-0.0048735612627453,-0.00279882714171641,-0.339416978193159,-0.137291508114964,-0.175269432358137,-0.0579829786389403,-0.0111702877845789,-0.0119788885943913,0.0129801077328819,-0.0188332299601582,-0.197820915736916,-0.455585923082529,-0.142265859234432,-0.11225929899842,-0.19049204921514,-0.0627344663618014
10.8651577465254,-1.35548135001098e+17,-0.00296790595469791,-0.00116353194621267,-0.00487339085502686,-0.00279816572715701,-0.339022991945951,-0.137014964904274,-0.175097783352845,-0.0579258634076838,-0.0111879155121422,-0.0120240497312027,0.012930754401895,-0.0188265755092376,-0.197445057895504,-0.454904709029365,-0.142074582115508,-0.112153072976254,-0.190188589871628,-0.0626909931629802
10.9657929126781,-1.3563905521896e+17,-0.00296790917491547,-0.00116359582661862,-0.00487321980308963,-0.0027974998319437,-0.338629003005505,-0.136738423072823,-0.174926131890302,-0.0578687433597669,-0.0112055404110373,-0.012069200070941,0.0128814047615073,-0.0188199164876979,-0.197069194888654,-0.454223487791906,-0.141883292214816,-0.112046827513632,-0.189885120584518,-0.062647505247325
11.0673601809597,-1.3573081782768e+17,-0.00296791241910301,-0.00116366025246302,-0.00487304810209266,-0.00279682941050918,-0.338235011347409,-0.136461882636297,-0.174754477944436,-0.057811618449974,-0.0112231624517294,-0.0121143395084278,0.0128320588481295,-0.0188132528515368,-0.196693326670642,-0.453542259304713,-0.141691989411509,-0.111940562425267,-0.189581641260065,-0.062604002471081
11.1698681846782,-1.35823430634678e+17,-0.00296791568746577,-0.0011637252286481,-0.00487287574711998,-0.00279615441667075,-0.337841016947027,-0.136185343610544,-0.174582821488916,-0.0577544886326651,-0.0112407816043682,-0.0121594679374298,0.0127827166985242,-0.0188065845563337,-0.196317453195337,-0.452861023501743,-0.141500673583588,-0.111834277524076,-0.189278151803628,-0.0625604846890394
