Shell,Zr,k / eV,,,,,,,,,,
3.0 eV,?,4.560E-01,6.030E-01,8.170E-01,9.580E-01,1.050E+00,1.120E+00,1.170E+00,1.210E+00,1.230E+00,1.250E+00,
,?,6.590E-02,8.650E-02,1.280E-01,1.690E-01,2.080E-01,2.450E-01,2.800E-01,3.130E-01,3.450E-01,3.750E-01,
5s1/2,?,3.188E-01,1.885E-01,8.726E-02,4.926E-02,3.112E-02,2.117E-02,1.517E-02,1.131E-02,8.697E-03,6.853E-03,
Eb=,?,1.993E+00,1.995E+00,1.997E+00,1.997E+00,1.995E+00,1.991E+00,1.986E+00,1.981E+00,1.974E+00,1.968E+00,
7.0 eV,?,-5.990E-02,-8.770E-02,-4.010E-02,7.430E-02,2.150E-01,3.640E-01,5.130E-01,6.580E-01,7.990E-01,9.340E-01,
,?,-6.510E-05,-7.530E-05,-8.780E-05,-9.400E-05,-9.720E-05,-9.870E-05,-9.950E-05,-9.830E-05,-9.700E-05,-9.350E-05,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
