Shell,Zn,k / eV,,,,,,,,,,
,,1500,2000,3000,4000,5000,6000,7000,8000,9000,10000,
2s1/2,?,7.551E+01,4.758E+01,2.266E+01,1.274E+01,7.949E+00,5.326E+00,3.758E+00,2.758E+00,2.088E+00,1.621E+00,
Eb=,?,1.990E+00,1.996E+00,1.999E+00,1.997E+00,1.991E+00,1.985E+00,1.978E+00,1.970E+00,1.961E+00,1.952E+00,
1193.6 eV,?,2.490E-01,-4.640E-02,1.750E-02,2.230E-01,4.370E-01,6.390E-01,8.270E-01,1.000E+00,1.160E+00,1.310E+00,
,?,-2.820E-05,-3.480E-05,-3.470E-05,-3.290E-05,-3.090E-05,-2.890E-05,-2.680E-05,-2.460E-05,-2.210E-05,-1.940E-05,
2p1/2,?,1.245E+02,5.776E+01,1.829E+01,7.770E+00,3.918E+00,2.211E+00,1.351E+00,8.758E-01,5.948E-01,4.193E-01,
Eb=,?,1.396E+00,1.446E+00,1.369E+00,1.261E+00,1.159E+00,1.068E+00,9.850E-01,9.110E-01,8.440E-01,7.840E-01,
1042.8 eV,?,2.090E-02,2.830E-01,6.380E-01,8.680E-01,1.030E+00,1.150E+00,1.240E+00,1.320E+00,1.380E+00,1.430E+00,
,?,1.690E-02,2.740E-02,4.480E-02,6.380E-02,8.360E-02,1.030E-01,1.230E-01,1.420E-01,1.600E-01,1.780E-01,
2p3/2,?,2.399E+02,1.101E+02,3.443E+01,1.452E+01,7.277E+00,4.085E+00,2.485E+00,1.605E+00,1.086E+00,7.625E-01,
Eb=,?,1.423E+00,1.471E+00,1.395E+00,1.288E+00,1.187E+00,1.096E+00,1.014E+00,9.400E-01,8.730E-01,8.130E-01,
1019.7 eV,?,3.310E-02,2.990E-01,6.590E-01,8.920E-01,1.050E+00,1.170E+00,1.270E+00,1.340E+00,1.400E+00,1.450E+00,
,?,1.770E-02,2.790E-02,4.440E-02,6.260E-02,8.160E-02,1.010E-01,1.200E-01,1.380E-01,1.570E-01,1.740E-01,
