PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
1,8.4208E+05,0.0000E+00,7.4923E+05,9.1400E+04,1.4494E+03,0.0000E+00,1.1698E+05,2.1422E+05,4.1803E+05,2.1475E+04,2.0474E+04,3.9857E+04,3.8858E+03,5.7077E+03,1.4494E+03,,,,,,,,,,,,,,,,,,
1.5,3.1484E+05,0.0000E+00,2.7971E+05,3.4473E+04,6.6498E+02,0.0000E+00,6.1302E+04,7.4496E+04,1.4391E+05,9.9829E+03,7.5869E+03,1.4643E+04,9.1699E+02,1.3430E+03,6.6498E+02,,,,,,,,,,,,,,,,,,
2,1.5045E+05,0.0000E+00,1.3329E+05,1.6796E+04,3.7300E+02,0.0000E+00,3.6465E+04,3.3171E+04,6.3649E+04,5.6310E+03,3.5604E+03,6.8300E+03,3.1465E+02,4.5981E+02,3.7300E+02,,,,,,,,,,,,,,,,,,
3,5.1398E+04,0.0000E+00,4.5335E+04,5.9037E+03,1.5924E+02,0.0000E+00,1.6348E+04,9.9896E+03,1.8998E+04,2.4169E+03,1.1465E+03,2.1799E+03,6.5287E+01,9.5061E+01,1.5924E+02,,,,,,,,,,,,,,,,,,
4,2.3541E+04,0.0000E+00,2.0702E+04,2.7536E+03,8.5180E+01,0.0000E+00,8.8517E+03,4.1018E+03,7.7489E+03,1.2884E+03,4.8993E+02,9.2538E+02,2.0381E+01,2.9585E+01,8.5180E+01,,,,,,,,,,,,,,,,,,
5,1.2736E+04,0.0000E+00,1.1177E+04,1.5073E+03,5.1306E+01,0.0000E+00,5.3761E+03,2.0149E+03,3.7858E+03,7.7677E+02,2.4695E+02,4.6389E+02,8.0514E+00,1.1655E+01,5.1306E+01,,,,,,,,,,,,,,,,,,
6,7.6713E+03,0.0000E+00,6.7225E+03,9.1525E+02,3.3508E+01,0.0000E+00,3.5270E+03,1.1134E+03,2.0821E+03,5.0758E+02,1.3892E+02,2.5970E+02,3.7147E+00,5.3354E+00,3.3508E+01,,,,,,,,,,,,,,,,,,
7.0763,4.8322E+03,0.0000E+00,4.2294E+03,5.8013E+02,2.2581E+01,0.0000E+00,2.3835E+03,6.4506E+02,1.2008E+03,3.4216E+02,8.1622E+01,1.5188E+02,1.8328E+00,2.6255E+00,2.2581E+01,,,,,,,,,,,,,,,,,,
7.133,3.7370E+04,3.2645E+04,4.1355E+03,5.6743E+02,2.2149E+01,3.2645E+04,2.3383E+03,6.2813E+02,1.1691E+03,3.3563E+02,7.9531E+01,1.4796E+02,1.7710E+00,2.5366E+00,2.2149E+01,,,,,,,,,,,,,,,,,,
8,2.8189E+04,2.4769E+04,2.9909E+03,4.1228E+02,1.6745E+01,2.4769E+04,1.7701E+03,4.2760E+02,7.9321E+02,2.5378E+02,5.4616E+01,1.0126E+02,1.0799E+00,1.5435E+00,1.6745E+01,,,,,,,,,,,,,,,,,,
