PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,,,,,,,,,,,,,
1,1.2594E+06,0.0000E+00,0.0000E+00,1.1245E+06,1.3490E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.0572E+04,9.9531E+04,2.0986E+05,3.0296E+05,4.4162E+05,1.7374E+04,1.9219E+04,3.8490E+04,2.4263E+04,3.4967E+04,5.8301E+02,,,,,,,,,,,,,
1.5,4.9845E+05,0.0000E+00,0.0000E+00,4.4129E+05,5.7160E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.9350E+04,5.4115E+04,1.0814E+05,9.8016E+04,1.4166E+05,8.6421E+03,9.3815E+03,1.8230E+04,8.4887E+03,1.2134E+04,2.8393E+02,,,,,,,,,,,,,
2,2.4961E+05,0.0000E+00,0.0000E+00,2.1958E+05,3.0038E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.4674E+04,3.2029E+04,6.2298E+04,4.1272E+04,5.9303E+04,5.1693E+03,5.3684E+03,1.0228E+04,3.7610E+03,5.3440E+03,1.6776E+02,,,,,,,,,,,,,
3,9.0895E+04,0.0000E+00,0.0000E+00,7.9259E+04,1.1636E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2123E+04,1.3853E+04,2.6070E+04,1.1224E+04,1.5989E+04,2.4409E+03,2.2763E+03,4.2227E+03,1.0862E+03,1.5293E+03,8.0208E+01,,,,,,,,,,,,,
3.3465,6.8819E+04,0.0000E+00,0.0000E+00,5.9879E+04,8.9393E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.9219E+03,1.0856E+04,2.0260E+04,7.7825E+03,1.1059E+04,1.9817E+03,1.7795E+03,3.2779E+03,7.6325E+02,1.0719E+03,6.5036E+01,,,,,,,,,,,,,
3.3733,2.2353E+05,0.0000E+00,1.5610E+05,5.8661E+04,8.7680E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.5610E+05,9.7762E+03,1.0662E+04,1.9885E+04,7.5755E+03,1.0763E+04,1.9516E+03,1.7474E+03,3.2171E+03,7.4363E+02,1.0441E+03,6.4042E+01,,,,,,,,,,,,,
3.5247,2.0047E+05,0.0000E+00,1.4022E+05,5.2374E+04,7.8793E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.4022E+05,9.0078E+03,9.6442E+03,1.7931E+04,6.5267E+03,9.2639E+03,1.7935E+03,1.5798E+03,2.9002E+03,6.4387E+02,9.0314E+02,5.8820E+01,,,,,,,,,,,,,
3.553,2.7038E+05,0.0000E+00,2.1135E+05,5.1305E+04,7.7274E+03,0.0000E+00,0.0000E+00,7.3835E+04,1.3751E+05,8.8743E+03,9.4690E+03,1.7595E+04,6.3519E+03,9.0140E+03,1.7660E+03,1.5509E+03,2.8458E+03,6.2717E+02,8.7955E+02,5.7916E+01,,,,,,,,,,,,,
3.7799,2.3246E+05,0.0000E+00,1.8211E+05,4.3702E+04,6.6401E+03,0.0000E+00,0.0000E+00,6.3618E+04,1.1850E+05,7.9000E+03,8.2041E+03,1.5176E+04,5.1390E+03,7.2821E+03,1.5661E+03,1.3427E+03,2.4539E+03,5.1081E+02,7.1528E+02,5.1336E+01,,,,,,,,,,,,,
3.8102,2.6124E+05,0.0000E+00,2.1192E+05,4.2806E+04,6.5112E+03,0.0000E+00,3.3296E+04,6.2470E+04,1.1616E+05,7.7820E+03,8.0527E+03,1.4887E+04,5.0000E+03,7.0837E+03,1.5419E+03,1.3178E+03,2.4071E+03,4.9740E+02,6.9636E+02,5.0543E+01,,,,,,,,,,,,,
4,2.3282E+05,0.0000E+00,1.8933E+05,3.7717E+04,5.7758E+03,0.0000E+00,3.1271E+04,5.5694E+04,1.0236E+05,7.0969E+03,7.1819E+03,1.3230E+04,4.2268E+03,5.9814E+03,1.4021E+03,1.1749E+03,2.1393E+03,4.2262E+02,5.9092E+02,4.5946E+01,,,,,,,,,,,,,
