PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,,,,,,,,,,,,,,,,,,,,,
1,5.2999E+04,0.0000E+00,5.1057E+04,1.9414E+03,0.0000E+00,0.0000E+00,2.4855E+04,8.8278E+03,1.7374E+04,1.7826E+03,5.3490E+01,1.0531E+02,,,,,,,,,,,,,,,,,,,,,
1.5,1.7929E+04,0.0000E+00,1.7170E+04,7.5902E+02,0.0000E+00,0.0000E+00,1.0063E+04,2.3985E+03,4.7083E+03,7.1487E+02,1.4898E+01,2.9250E+01,,,,,,,,,,,,,,,,,,,,,
1.5483,1.6451E+04,0.0000E+00,1.5748E+04,7.0362E+02,0.0000E+00,0.0000E+00,9.3479E+03,2.1602E+03,4.2396E+03,6.6382E+02,1.3434E+01,2.6370E+01,,,,,,,,,,,,,,,,,,,,,
1.5607,1.7694E+05,1.6084E+05,1.5409E+04,6.9031E+02,0.0000E+00,1.6084E+05,9.1757E+03,2.1040E+03,4.1291E+03,6.5153E+02,1.3088E+01,2.5690E+01,,,,,,,,,,,,,,,,,,,,,
2,1.0131E+05,9.3139E+04,7.7942E+03,3.7761E+02,0.0000E+00,9.3139E+04,5.0835E+03,9.1609E+02,1.7946E+03,3.6054E+02,5.7700E+00,1.1303E+01,,,,,,,,,,,,,,,,,,,,,
3,3.5238E+04,3.2595E+04,2.5076E+03,1.3496E+02,0.0000E+00,3.2595E+04,1.8431E+03,2.2509E+02,4.3945E+02,1.3073E+02,1.4348E+00,2.7951E+00,,,,,,,,,,,,,,,,,,,,,
4,1.6090E+04,1.4921E+04,1.1059E+03,6.3189E+01,0.0000E+00,1.4921E+04,8.6818E+02,8.0659E+01,1.5705E+02,6.1665E+01,5.1800E-01,1.0061E+00,,,,,,,,,,,,,,,,,,,,,
5,8.6123E+03,7.9965E+03,5.8134E+02,3.4483E+01,0.0000E+00,7.9965E+03,4.7600E+02,3.5799E+01,6.9539E+01,3.3805E+01,2.3093E-01,4.4751E-01,,,,,,,,,,,,,,,,,,,,,
6,5.1196E+03,4.7569E+03,3.4189E+02,2.0838E+01,0.0000E+00,4.7569E+03,2.8828E+02,1.8244E+01,3.5362E+01,2.0491E+01,1.1807E-01,2.2827E-01,,,,,,,,,,,,,,,,,,,,,
8,2.2184E+03,2.0627E+03,1.4642E+02,9.2500E+00,0.0000E+00,2.0627E+03,1.2831E+02,6.1832E+00,1.1935E+01,9.1325E+00,4.0180E-02,7.7369E-02,,,,,,,,,,,,,,,,,,,,,
10,1.1458E+03,1.0657E+03,7.5168E+01,4.8577E+00,0.0000E+00,1.0657E+03,6.7476E+01,2.6318E+00,5.0605E+00,4.8077E+00,1.7149E-02,3.2897E-02,,,,,,,,,,,,,,,,,,,,,
15,3.3668E+02,3.1328E+02,2.1937E+01,1.4635E+00,0.0000E+00,3.1328E+02,2.0362E+01,5.4183E-01,1.0335E+00,1.4532E+00,3.5457E-03,6.7436E-03,,,,,,,,,,,,,,,,,,,,,
