PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,,,
1,2.0650E+06,0.0000E+00,0.0000E+00,1.7366E+06,3.2846E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5862E+05,6.0007E+05,8.7788E+05,2.8117E+04,3.2475E+04,6.8768E+04,7.3396E+04,1.0692E+05,4.9949E+03,4.4992E+03,9.1345E+03,1.6253E+02,,,,,,,,,,
1.0587,1.8338E+06,0.0000E+00,0.0000E+00,1.5393E+06,2.9450E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.4628E+05,5.2569E+05,7.6735E+05,2.5683E+04,2.9828E+04,6.2702E+04,6.4870E+04,9.4333E+04,4.5354E+03,4.1072E+03,8.2929E+03,1.4697E+02,,,,,,,,,,
1.0671,1.9072E+06,0.0000E+00,0.0000E+00,1.6172E+06,2.8999E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0385E+05,2.4460E+05,5.1589E+05,7.5283E+05,2.5358E+04,2.9470E+04,6.1887E+04,6.3745E+04,9.2675E+04,4.4743E+03,4.0546E+03,8.1805E+03,1.4491E+02,,,,,,,,,,
1.1954,1.5090E+06,0.0000E+00,0.0000E+00,1.2772E+06,2.3182E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.4824E+04,2.1270E+05,3.9500E+05,5.7467E+05,2.1097E+04,2.4709E+04,5.1188E+04,4.9388E+04,7.1560E+04,3.6824E+03,3.3632E+03,6.7135E+03,1.1856E+02,,,,,,,,,,
1.205,1.5513E+06,0.0000E+00,0.0000E+00,1.3232E+06,2.2814E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.7961E+04,9.4008E+04,2.1032E+05,3.8743E+05,5.6347E+05,2.0822E+04,2.4399E+04,5.0497E+04,4.8490E+04,7.0241E+04,3.6320E+03,3.3185E+03,6.6195E+03,1.1690E+02,,,,,,,,,,
1.5,9.5499E+05,0.0000E+00,0.0000E+00,8.0989E+05,1.4510E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.0167E+04,7.1265E+04,1.5303E+05,2.1917E+05,3.1625E+05,1.4441E+04,1.6998E+04,3.4323E+04,2.8721E+04,4.1342E+04,2.4763E+03,2.2743E+03,4.4477E+03,8.0209E+01,,,,,,,,,,
2,4.8950E+05,0.0000E+00,0.0000E+00,4.1200E+05,7.7504E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.3134E+04,4.6651E+04,9.4542E+04,9.7793E+04,1.3988E+05,8.7683E+03,1.0170E+04,1.9939E+04,1.3675E+04,1.9524E+04,1.4791E+03,1.3415E+03,2.5590E+03,4.7902E+01,,,,,,,,,,
3,1.8215E+05,0.0000E+00,0.0000E+00,1.5168E+05,3.0469E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7139E+04,2.2346E+04,4.2905E+04,2.8701E+04,4.0586E+04,4.2140E+03,4.6039E+03,8.6835E+03,4.3704E+03,6.1670E+03,7.0018E+02,6.0036E+02,1.1071E+03,2.2691E+01,,,,,,,,,,
4,8.8209E+04,0.0000E+00,0.0000E+00,7.2943E+04,1.5266E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0324E+04,1.2339E+04,2.2931E+04,1.1386E+04,1.5963E+04,2.4594E+03,2.5029E+03,4.5982E+03,1.8247E+03,2.5525E+03,4.0550E+02,3.2478E+02,5.8499E+02,1.3149E+01,,,,,,,,,,
5,4.9717E+04,0.0000E+00,0.0000E+00,4.0913E+04,8.8037E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.8400E+03,7.5166E+03,1.3650E+04,5.3948E+03,7.5117E+03,1.6017E+03,1.5175E+03,2.7324E+03,8.9449E+02,1.2423E+03,2.6287E+02,1.9644E+02,3.4743E+02,8.5287E+00,,,,,,,,,,
5.0009,4.9695E+04,0.0000E+00,0.0000E+00,4.0895E+04,8.7999E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.8377E+03,7.5136E+03,1.3645E+04,5.3916E+03,7.5072E+03,1.6012E+03,1.5169E+03,2.7313E+03,8.9398E+02,1.2416E+03,2.6278E+02,1.9636E+02,3.4728E+02,8.5258E+00,,,,,,,,,,
5.0409,1.4416E+05,0.0000E+00,9.5483E+04,4.0053E+04,8.6265E+03,0.0000E+00,0.0000E+00,0.0000E+00,9.5483E+04,6.7361E+03,7.3775E+03,1.3388E+04,5.2473E+03,7.3044E+03,1.5765E+03,1.4894E+03,2.6797E+03,8.7100E+02,1.2094E+03,2.5870E+02,1.9278E+02,3.4073E+02,8.3934E+00,,,,,,,,,,
5.358,1.2359E+05,0.0000E+00,8.2040E+04,3.4148E+04,7.4051E+03,0.0000E+00,0.0000E+00,0.0000E+00,8.2040E+04,6.0041E+03,6.4088E+03,1.1559E+04,4.2592E+03,5.9166E+03,1.3993E+03,1.2930E+03,2.3138E+03,7.1284E+02,9.8773E+02,2.2939E+02,1.6729E+02,2.9421E+02,7.4434E+00,,,,,,,,,,
5.4009,1.6551E+05,0.0000E+00,1.2482E+05,3.3441E+04,7.2583E+03,0.0000E+00,0.0000E+00,4.4517E+04,8.0298E+04,5.9138E+03,6.2912E+03,1.1337E+04,4.1440E+03,5.7550E+03,1.3776E+03,1.2692E+03,2.2695E+03,6.9429E+02,9.6177E+02,2.2580E+02,1.6419E+02,2.8858E+02,7.3270E+00,,,,,,,,,,
