PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,,,,,,,,,,,,,,,,,,,,,,,,
1,4.4073E+04,4.2045E+04,2.0280E+03,0.0000E+00,0.0000E+00,4.2045E+04,1.9334E+03,3.1667E+01,6.2950E+01,,,,,,,,,,,,,,,,,,,,,,,,
1.5,1.3947E+04,1.3291E+04,6.5564E+02,0.0000E+00,0.0000E+00,1.3291E+04,6.3497E+02,6.9219E+00,1.3744E+01,,,,,,,,,,,,,,,,,,,,,,,,
2,6.0178E+03,5.7308E+03,2.8699E+02,0.0000E+00,0.0000E+00,5.7308E+03,2.8025E+02,2.2604E+00,4.4856E+00,,,,,,,,,,,,,,,,,,,,,,,,
3,1.7882E+03,1.7018E+03,8.6410E+01,0.0000E+00,0.0000E+00,1.7018E+03,8.5054E+01,4.5500E-01,9.0187E-01,,,,,,,,,,,,,,,,,,,,,,,,
4,7.4273E+02,7.0657E+02,3.6161E+01,0.0000E+00,0.0000E+00,7.0657E+02,3.5730E+01,1.4513E-01,2.8642E-01,,,,,,,,,,,,,,,,,,,,,,,,
5,3.7215E+02,3.5393E+02,1.8217E+01,0.0000E+00,0.0000E+00,3.5393E+02,1.8041E+01,5.9278E-02,1.1676E-01,,,,,,,,,,,,,,,,,,,,,,,,
6,2.1032E+02,1.9998E+02,1.0345E+01,0.0000E+00,0.0000E+00,1.9998E+02,1.0261E+01,2.8341E-02,5.5753E-02,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4593E+01,8.0406E+01,4.1864E+00,0.0000E+00,0.0000E+00,8.0406E+01,4.1605E+00,8.7355E-03,1.7136E-02,,,,,,,,,,,,,,,,,,,,,,,,
10,4.1405E+01,3.9348E+01,2.0570E+00,0.0000E+00,0.0000E+00,3.9348E+01,2.0468E+00,3.4718E-03,6.7972E-03,,,,,,,,,,,,,,,,,,,,,,,,
15,1.1134E+01,1.0578E+01,5.5620E-01,0.0000E+00,0.0000E+00,1.0578E+01,5.5431E-01,6.4151E-04,1.2474E-03,,,,,,,,,,,,,,,,,,,,,,,,
20,4.3408E+00,4.1233E+00,2.1749E-01,0.0000E+00,0.0000E+00,4.1233E+00,2.1693E-01,1.9230E-04,3.7185E-04,,,,,,,,,,,,,,,,,,,,,,,,
30,1.1379E+00,1.0807E+00,5.7194E-02,0.0000E+00,0.0000E+00,1.0807E+00,5.7091E-02,3.5120E-05,6.7293E-05,,,,,,,,,,,,,,,,,,,,,,,,
40,4.3741E-01,4.1539E-01,2.2024E-02,0.0000E+00,0.0000E+00,4.1539E-01,2.1993E-02,1.0552E-05,2.0033E-05,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0789E-01,1.9741E-01,1.0479E-02,0.0000E+00,0.0000E+00,1.9741E-01,1.0467E-02,4.1739E-06,7.8540E-06,,,,,,,,,,,,,,,,,,,,,,,,
60,1.1310E-01,1.0740E-01,5.7056E-03,0.0000E+00,0.0000E+00,1.0740E-01,5.7000E-03,1.9667E-06,3.6666E-06,,,,,,,,,,,,,,,,,,,,,,,,
80,4.3278E-02,4.1092E-02,2.1859E-03,0.0000E+00,0.0000E+00,4.1092E-02,2.1842E-03,6.0648E-07,1.1169E-06,,,,,,,,,,,,,,,,,,,,,,,,
100,2.0578E-02,1.9538E-02,1.0401E-03,0.0000E+00,0.0000E+00,1.9538E-02,1.0394E-03,2.4720E-07,4.4896E-07,,,,,,,,,,,,,,,,,,,,,,,,
150,5.3970E-03,5.1244E-03,2.7255E-04,0.0000E+00,0.0000E+00,5.1244E-03,2.7241E-04,5.0332E-08,8.9595E-08,,,,,,,,,,,,,,,,,,,,,,,,
200,2.1209E-03,2.0138E-03,1.0711E-04,0.0000E+00,0.0000E+00,2.0138E-03,1.0706E-04,1.7005E-08,2.9869E-08,,,,,,,,,,,,,,,,,,,,,,,,
300,5.9441E-04,5.6440E-04,3.0015E-05,0.0000E+00,0.0000E+00,5.6440E-04,3.0004E-05,3.9700E-09,7.0157E-09,,,,,,,,,,,,,,,,,,,,,,,,
400,2.5354E-04,2.4075E-04,1.2799E-05,0.0000E+00,0.0000E+00,2.4075E-04,1.2795E-05,1.5162E-09,2.7428E-09,,,,,,,,,,,,,,,,,,,,,,,,
500,1.3637E-04,1.2948E-04,6.8844E-06,0.0000E+00,0.0000E+00,1.2948E-04,6.8822E-06,7.5045E-10,1.4118E-09,,,,,,,,,,,,,,,,,,,,,,,,
600,8.4818E-05,8.0537E-05,4.2813E-06,0.0000E+00,0.0000E+00,8.0537E-05,4.2800E-06,4.3842E-10,8.5245E-10,,,,,,,,,,,,,,,,,,,,,,,,
800,4.2771E-05,4.0612E-05,2.1596E-06,0.0000E+00,0.0000E+00,4.0612E-05,2.1590E-06,1.9866E-10,4.2089E-10,,,,,,,,,,,,,,,,,,,,,,,,
