PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,,,,,,
1,5.9574E+05,0.0000E+00,0.0000E+00,0.0000E+00,5.9574E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.7120E+04,4.1884E+04,9.7623E+04,1.2703E+05,1.8603E+05,3.2501E+04,4.1710E+04,7.5249E+03,6.9003E+03,1.4875E+04,7.4978E+02,1.0827E+03,7.2476E+02,,,,,,
1.1985,4.2395E+05,0.0000E+00,0.0000E+00,0.0000E+00,4.2395E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.8598E+04,3.3314E+04,7.4685E+04,9.0759E+04,1.3180E+05,1.7946E+04,2.2976E+04,5.6212E+03,5.3036E+03,1.1130E+04,5.3097E+02,7.4795E+02,5.3414E+02,,,,,,
1.208,7.9857E+05,0.0000E+00,0.0000E+00,3.8111E+05,4.1746E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.8111E+05,2.8262E+04,3.2961E+04,7.3774E+04,8.9352E+04,1.2971E+05,1.7474E+04,2.2368E+04,5.5486E+03,5.2407E+03,1.0986E+04,5.2260E+02,7.3597E+02,5.2693E+02,,,,,,
1.2304,1.3380E+06,0.0000E+00,0.0000E+00,9.3509E+05,4.0288E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.3509E+05,2.7500E+04,3.2159E+04,7.1716E+04,8.6180E+04,1.2500E+05,1.6432E+04,2.1029E+04,5.3849E+03,5.0983E+03,1.0659E+04,5.0374E+02,7.0895E+02,5.1073E+02,,,,,,
1.2402,1.6141E+06,0.0000E+00,0.0000E+00,1.2174E+06,3.9667E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.4499E+05,9.7244E+05,2.7173E+04,3.1814E+04,7.0834E+04,8.4825E+04,1.2299E+05,1.5996E+04,2.0470E+04,5.3150E+03,5.0372E+03,1.0519E+04,4.9570E+02,6.9745E+02,5.0383E+02,,,,,,
1.5,1.3140E+06,0.0000E+00,0.0000E+00,1.0429E+06,2.7113E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.2647E+05,6.1639E+05,2.0290E+04,2.4265E+04,5.2147E+04,5.7034E+04,8.2027E+04,8.3338E+03,1.0637E+04,3.8749E+03,3.7453E+03,7.6171E+03,3.3208E+02,4.6436E+02,3.6328E+02,,,,,,
1.5402,1.2324E+06,0.0000E+00,0.0000E+00,9.7564E+05,2.5677E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.9925E+05,5.7639E+05,1.9461E+04,2.3322E+04,4.9893E+04,5.3819E+04,7.7322E+04,7.5971E+03,9.6929E+03,3.7057E+03,3.5890E+03,7.2732E+03,3.1335E+02,4.3776E+02,3.4684E+02,,,,,,
1.5526,1.3979E+06,0.0000E+00,0.0000E+00,1.1453E+06,2.5258E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8915E+05,3.9137E+05,5.6482E+05,1.9216E+04,2.3042E+04,4.9229E+04,5.2880E+04,7.5949E+04,7.3876E+03,9.4245E+03,3.6560E+03,3.5430E+03,7.1723E+03,3.0787E+02,4.3000E+02,3.4203E+02,,,,,,
1.6856,1.1562E+06,0.0000E+00,0.0000E+00,9.4340E+05,2.1279E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6820E+05,3.1797E+05,4.5722E+05,1.6844E+04,2.0306E+04,4.2789E+04,4.3966E+04,6.2935E+04,5.5242E+03,7.0391E+03,3.1792E+03,3.0965E+03,6.2002E+03,2.5591E+02,3.5650E+02,2.9594E+02,,,,,,
1.6991,1.2060E+06,0.0000E+00,0.0000E+00,9.9678E+05,2.0924E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.0828E+04,1.6655E+05,3.1155E+05,4.4784E+05,1.6628E+04,2.0055E+04,4.2201E+04,4.3172E+04,6.1778E+04,5.3693E+03,6.8411E+03,3.1361E+03,3.0558E+03,6.1122E+03,2.5129E+02,3.4997E+02,2.9180E+02,,,,,,
