PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
1,4.6634E+05,0.0000E+00,4.1882E+05,4.6448E+04,1.0670E+03,0.0000E+00,8.9688E+04,1.1153E+05,2.1761E+05,1.4094E+04,1.0682E+04,2.0857E+04,3.2891E+02,4.8556E+02,1.0670E+03,,,,,,,,,,,,,,,,,,
1.5,1.6636E+05,0.0000E+00,1.4855E+05,1.7333E+04,4.7515E+02,0.0000E+00,4.3447E+04,3.5766E+04,6.9340E+04,6.3326E+03,3.6796E+03,7.1407E+03,7.2691E+01,1.0711E+02,4.7515E+02,,,,,,,,,,,,,,,,,,
2,7.8151E+04,0.0000E+00,6.9509E+04,8.3809E+03,2.6128E+02,0.0000E+00,2.4675E+04,1.5302E+04,2.9531E+04,3.4949E+03,1.6465E+03,3.1810E+03,2.3678E+01,3.4823E+01,2.6128E+02,,,,,,,,,,,,,,,,,,
3,2.6210E+04,0.0000E+00,2.3196E+04,2.9054E+03,1.0842E+02,0.0000E+00,1.0445E+04,4.3714E+03,8.3798E+03,1.4487E+03,4.9521E+02,9.5036E+02,4.5240E+00,6.6307E+00,1.0842E+02,,,,,,,,,,,,,,,,,,
4,1.1888E+04,0.0000E+00,1.0491E+04,1.3403E+03,5.6076E+01,0.0000E+00,5.4516E+03,1.7335E+03,3.3061E+03,7.5007E+02,2.0177E+02,3.8519E+02,1.3413E+00,1.9509E+00,5.6076E+01,,,,,,,,,,,,,,,,,,
4.9357,6.6269E+03,0.0000E+00,5.8384E+03,7.5447E+02,3.4050E+01,0.0000E+00,3.3249E+03,8.6690E+02,1.6466E+03,4.5567E+02,1.0253E+02,1.9492E+02,5.4638E-01,7.9274E-01,3.4050E+01,,,,,,,,,,,,,,,,,,
4.9752,5.4452E+04,4.7971E+04,5.7094E+03,7.3810E+02,3.3403E+01,4.7971E+04,3.2621E+03,8.4418E+02,1.6032E+03,4.4702E+02,9.9899E+01,1.8989E+02,5.2800E-01,7.6601E-01,3.3403E+01,,,,,,,,,,,,,,,,,,
5,5.4216E+04,4.7825E+04,5.6305E+03,7.2808E+02,3.3005E+01,4.7825E+04,3.2235E+03,8.3032E+02,1.5767E+03,4.4170E+02,9.8293E+01,1.8682E+02,5.1687E-01,7.4982E-01,3.3005E+01,,,,,,,,,,,,,,,,,,
6,3.4243E+04,3.0411E+04,3.3718E+03,4.3978E+02,2.1160E+01,3.0411E+04,2.0714E+03,4.4968E+02,8.5067E+02,2.8325E+02,5.3903E+01,1.0205E+02,2.3559E-01,3.4096E-01,2.1160E+01,,,,,,,,,,,,,,,,,,
8,1.5986E+04,1.4290E+04,1.4891E+03,1.9663E+02,1.0282E+01,1.4290E+04,1.0075E+03,1.6727E+02,3.1434E+02,1.3766E+02,2.0417E+01,3.8392E+01,6.6824E-02,9.6333E-02,1.0282E+01,,,,,,,,,,,,,,,,,,
10,8.7187E+03,7.8241E+03,7.8434E+02,1.0445E+02,5.7745E+00,7.8241E+03,5.6532E+02,7.6358E+01,1.4267E+02,7.7318E+01,9.4337E+00,1.7636E+01,2.4567E-02,3.5283E-02,5.7745E+00,,,,,,,,,,,,,,,,,,
