PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
150,7.5485E+00,6.7773E+00,6.6749E-01,9.8062E-02,5.6795E-03,6.7773E+00,6.2320E-01,1.7564E-02,2.6733E-02,9.1733E-02,2.5114E-03,3.8036E-03,6.0209E-06,7.6414E-06,5.6795E-03,,,,,,,,,,,,,,,,,,
200,3.1476E+00,2.8262E+00,2.7811E-01,4.0916E-02,2.3925E-03,2.8262E+00,2.6220E-01,6.4076E-03,9.4974E-03,3.8639E-02,9.1873E-04,1.3541E-03,1.8059E-06,2.2851E-06,2.3925E-03,,,,,,,,,,,,,,,,,,
300,9.4549E-01,8.4896E-01,8.3497E-02,1.2303E-02,7.2614E-04,8.4896E-01,7.9474E-02,1.6448E-03,2.3773E-03,1.1726E-02,2.3663E-04,3.3954E-04,3.6107E-07,4.6473E-07,7.2614E-04,,,,,,,,,,,,,,,,,,
400,4.1905E-01,3.7627E-01,3.7003E-02,5.4545E-03,3.2344E-04,3.7627E-01,3.5381E-02,6.6675E-04,9.5535E-04,5.2217E-03,9.5678E-05,1.3687E-04,1.2411E-07,1.6599E-07,3.2344E-04,,,,,,,,,,,,,,,,,,
500,2.3053E-01,2.0701E-01,2.0347E-02,3.0002E-03,1.7844E-04,2.0701E-01,1.9507E-02,3.4360E-04,4.9635E-04,2.8796E-03,4.9319E-05,7.1177E-05,5.6921E-08,8.0101E-08,1.7844E-04,,,,,,,,,,,,,,,,,,
600,1.4531E-01,1.3049E-01,1.2817E-02,1.8902E-03,1.1266E-04,1.3049E-01,1.2310E-02,2.0567E-04,3.0178E-04,1.8173E-03,2.9510E-05,4.3304E-05,3.1144E-08,4.6102E-08,1.1266E-04,,,,,,,,,,,,,,,,,,
800,7.4099E-02,6.6551E-02,6.5273E-03,9.6272E-04,5.7586E-05,6.6551E-02,6.2828E-03,9.6536E-05,1.4797E-04,9.2761E-04,1.3878E-05,2.1197E-05,1.2817E-08,2.1008E-08,5.7586E-05,,,,,,,,,,,,,,,,,,
1000,4.6102E-02,4.1413E-02,4.0557E-03,5.9820E-04,3.5911E-05,4.1413E-02,3.9094E-03,5.6551E-05,8.9803E-05,5.7718E-04,8.1053E-06,1.2903E-05,6.8568E-09,1.2204E-08,3.5911E-05,,,,,,,,,,,,,,,,,,
1500,2.1494E-02,1.9313E-02,1.8858E-03,2.7818E-04,1.6882E-05,1.9313E-02,1.8214E-03,2.3657E-05,4.0792E-05,2.6893E-04,3.3949E-06,5.8421E-06,2.5029E-09,5.2259E-09,1.6882E-05,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,3.2,4.8,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
