PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,,,,,,,,,,,,,
1,7.0856E+05,0.0000E+00,0.0000E+00,6.5489E+05,5.3668E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.6647E+04,7.7800E+04,1.5646E+05,1.4804E+05,2.1594E+05,1.0939E+04,1.1454E+04,2.2561E+04,3.3857E+03,4.8941E+03,4.3345E+02,,,,,,,,,,,,,
1.5,2.7458E+05,0.0000E+00,0.0000E+00,2.5076E+05,2.3822E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.9753E+04,3.7997E+04,7.4114E+04,4.4452E+04,6.4443E+04,5.3892E+03,5.3258E+03,1.0268E+04,1.0791E+03,1.5499E+03,2.1025E+02,,,,,,,,,,,,,
2,1.3628E+05,0.0000E+00,0.0000E+00,1.2339E+05,1.2889E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8144E+04,2.1193E+04,4.0607E+04,1.7784E+04,2.5664E+04,3.1943E+03,2.9256E+03,5.5600E+03,4.4693E+02,6.3884E+02,1.2364E+02,,,,,,,,,,,,,
2.3667,8.9642E+04,0.0000E+00,0.0000E+00,8.0774E+04,8.8688E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3410E+04,1.4675E+04,2.7848E+04,1.0184E+04,1.4656E+04,2.3310E+03,2.0162E+03,3.8003E+03,2.6036E+02,3.7106E+02,8.9874E+01,,,,,,,,,,,,,
2.3856,3.2799E+05,0.0000E+00,2.4013E+05,7.9157E+04,8.7108E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.4013E+05,1.3217E+04,1.4415E+04,2.7343E+04,9.9152E+03,1.4267E+04,2.2961E+03,1.9802E+03,3.7309E+03,2.5367E+02,3.6148E+02,8.8514E+01,,,,,,,,,,,,,
2.4643,2.9776E+05,0.0000E+00,2.1677E+05,7.2897E+04,8.0935E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.1677E+05,1.2456E+04,1.3400E+04,2.5369E+04,8.8884E+03,1.2782E+04,2.1589E+03,1.8395E+03,3.4604E+03,2.2809E+02,3.2191E+02,8.4707E+01,,,,,,,,,,,,,
2.484,4.0669E+05,0.0000E+00,3.2731E+05,7.1433E+04,7.9486E+03,0.0000E+00,0.0000E+00,1.1443E+05,2.1289E+05,1.2276E+04,1.3161E+04,2.4904E+04,8.6520E+03,1.2441E+04,2.1264E+03,1.8063E+03,3.3967E+03,2.2218E+02,3.1353E+02,8.3429E+01,,,,,,,,,,,,,
2.6738,3.3986E+05,0.0000E+00,2.7394E+05,5.9200E+04,6.7198E+03,0.0000E+00,0.0000E+00,9.4534E+04,1.7941E+05,1.0714E+04,1.1119E+04,2.0959E+04,6.7358E+03,9.6730E+03,1.8472E+03,1.5246E+03,2.8565E+03,1.7360E+02,2.4536E+02,7.2452E+01,,,,,,,,,,,,,
2.6952,3.8103E+05,0.0000E+00,3.1643E+05,5.8004E+04,6.5979E+03,0.0000E+00,4.7775E+04,9.2838E+04,1.7582E+05,1.0556E+04,1.0916E+04,2.0567E+04,6.5545E+03,9.4113E+03,1.8191E+03,1.4965E+03,2.8029E+03,1.6904E+02,2.3888E+02,7.1346E+01,,,,,,,,,,,,,
3,2.9322E+05,0.0000E+00,2.4403E+05,4.4041E+04,5.1496E+03,0.0000E+00,4.1307E+04,7.0758E+04,1.3197E+05,8.6333E+03,8.4898E+03,1.5901E+04,4.5280E+03,6.4890E+03,1.4785E+03,1.1627E+03,2.1664E+03,1.1785E+02,1.6620E+02,5.7935E+01,,,,,,,,,,,,,
