PhotonEnergy[kev],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,,,,,,,,,,,,,
1,7.8627E+05,0.0000E+00,0.0000E+00,7.2300E+05,6.3266E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.9227E+04,8.2005E+04,1.6576E+05,1.6922E+05,2.4679E+05,1.1973E+04,1.2715E+04,2.5102E+04,5.3203E+03,7.6904E+03,4.6560E+02,,,,,,,,,,,,,
1.5,3.0564E+05,0.0000E+00,0.0000E+00,2.7782E+05,2.7815E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.1380E+04,4.0691E+04,7.9613E+04,5.1508E+04,7.4630E+04,5.9065E+03,5.9657E+03,1.1513E+04,1.7257E+03,2.4780E+03,2.2594E+02,,,,,,,,,,,,,
2,1.5186E+05,0.0000E+00,0.0000E+00,1.3688E+05,1.4980E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.9207E+04,2.2918E+04,4.3987E+04,2.0790E+04,2.9980E+04,3.5085E+03,3.3032E+03,6.2786E+03,7.2342E+02,1.0336E+03,1.3305E+02,,,,,,,,,,,,,
2.5184,8.5524E+04,0.0000E+00,0.0000E+00,7.6591E+04,8.9326E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2708E+04,1.3899E+04,2.6309E+04,9.7175E+03,1.3957E+04,2.2801E+03,1.9895E+03,3.7369E+03,3.4671E+02,4.9326E+02,8.6031E+01,,,,,,,,,,,,,
2.5386,3.0657E+05,0.0000E+00,2.2275E+05,7.5054E+04,8.7729E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.2275E+05,1.2524E+04,1.3653E+04,2.5830E+04,9.4604E+03,1.3586E+04,2.2459E+03,1.9539E+03,3.6685E+03,3.3780E+02,4.8051E+02,8.6333E+01,,,,,,,,,,,,,
2.627,2.7746E+05,0.0000E+00,2.0056E+05,6.8789E+04,8.1112E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.0056E+05,1.1762E+04,1.2639E+04,2.3861E+04,8.4291E+03,1.2098E+04,2.1042E+03,1.8074E+03,3.3875E+03,3.0195E+02,4.2927E+02,8.0867E+01,,,,,,,,,,,,,
2.648,3.7826E+05,0.0000E+00,3.0289E+05,6.7403E+04,7.9638E+03,0.0000E+00,0.0000E+00,1.0603E+05,1.9686E+05,1.1591E+04,1.2412E+04,2.3422E+04,8.2047E+03,1.1774E+04,2.0724E+03,1.7747E+03,3.3248E+03,2.9413E+02,4.1810E+02,7.9642E+01,,,,,,,,,,,,,
2.8439,3.1744E+05,0.0000E+00,2.5454E+05,5.6150E+04,6.7534E+03,0.0000E+00,0.0000E+00,8.7976E+04,1.6656E+05,1.0156E+04,1.0536E+04,1.9802E+04,6.4348E+03,9.2217E+03,1.8074E+03,1.5051E+03,2.8095E+03,2.3225E+02,3.2963E+02,6.9436E+01,,,,,,,,,,,,,
2.8666,3.5612E+05,0.0000E+00,2.9448E+05,5.5012E+04,6.6294E+03,0.0000E+00,4.4822E+04,8.6403E+04,1.6325E+05,1.0005E+04,1.0343E+04,1.9430E+04,6.2613E+03,8.9719E+03,1.7798E+03,1.4774E+03,2.7566E+03,2.2615E+02,3.2093E+02,6.8373E+01,,,,,,,,,,,,,
3,3.1959E+05,0.0000E+00,2.6469E+05,4.8941E+04,5.9599E+03,0.0000E+00,4.2260E+04,7.7460E+04,1.4497E+05,9.1872E+03,9.3024E+03,1.7430E+04,5.3550E+03,7.6667E+03,1.6300E+03,1.3280E+03,2.4721E+03,1.9425E+02,2.7299E+02,6.2597E+01,,,,,,,,,,,,,
4,1.5385E+05,0.0000E+00,1.2770E+05,2.3150E+04,3.0038E+03,0.0000E+00,2.6194E+04,3.5760E+04,6.5747E+04,5.2853E+03,4.6267E+03,8.5299E+03,1.9427E+03,2.7655E+03,9.2433E+02,6.6026E+02,1.2110E+03,7.1967E+01,1.0084E+02,3.5437E+01,,,,,,,,,,,,,
5,8.6193E+04,0.0000E+00,7.1630E+04,1.2825E+04,1.7377E+03,0.0000E+00,1.7553E+04,1.9231E+04,3.4846E+04,3.3851E+03,2.6099E+03,4.7519E+03,8.5990E+02,1.2182E+03,5.8752E+02,3.7338E+02,6.7679E+02,3.2389E+01,4.5159E+01,2.2504E+01,,,,,,,,,,,,,
6,5.3167E+04,0.0000E+00,4.4198E+04,7.8688E+03,1.1004E+03,0.0000E+00,1.2391E+04,1.1397E+04,2.0410E+04,2.3268E+03,1.6043E+03,2.8911E+03,4.3419E+02,6.1243E+02,4.0206E+02,2.3023E+02,4.1322E+02,1.6546E+01,2.2970E+01,1.5392E+01,,,,,,,,,,,,,
8,2.4488E+04,0.0000E+00,2.0357E+04,3.6053E+03,5.2627E+02,0.0000E+00,6.9269E+03,4.8637E+03,8.5662E+03,1.2622E+03,7.2095E+02,1.2778E+03,1.4350E+02,2.0090E+02,2.1707E+02,1.0401E+02,1.8368E+02,5.5478E+00,7.6437E+00,8.3054E+00,,,,,,,,,,,,,
10,1.3291E+04,0.0000E+00,1.1044E+04,1.9538E+03,2.9326E+02,0.0000E+00,4.3054E+03,2.4614E+03,4.2768E+03,7.7239E+02,3.7812E+02,6.6119E+02,5.9442E+01,8.2685E+01,1.3249E+02,5.4766E+01,9.5446E+01,2.3187E+00,3.1739E+00,5.0675E+00,,,,,,,,,,,,,
15,4.3024E+03,0.0000E+00,3.5709E+03,6.3258E+02,9.8955E+01,0.0000E+00,1.7256E+03,6.8525E+02,1.1600E+03,3.0478E+02,1.1122E+02,1.8946E+02,1.1432E+01,1.5686E+01,5.2137E+01,1.6219E+01,2.7544E+01,4.5202E-01,6.1021E-01,1.9931E+00,,,,,,,,,,,,,
19.946,1.9253E+03,0.0000E+00,1.5967E+03,2.8330E+02,4.5360E+01,0.0000E+00,8.7544E+02,2.7117E+02,4.5005E+02,1.5392E+02,4.5399E+01,7.5789E+01,3.4758E+00,4.7141E+00,2.6312E+01,6.6504E+00,1.1068E+01,1.3846E-01,1.8477E-01,1.0055E+00,,,,,,,,,,,,,
20,1.2501E+04,1.0590E+04,1.5844E+03,2.8113E+02,4.5022E+01,1.0590E+04,8.6970E+02,2.6877E+02,4.4597E+02,1.5291E+02,4.5009E+01,7.5121E+01,3.4363E+00,4.6600E+00,2.6139E+01,6.5933E+00,1.0971E+01,1.3689E-01,1.8266E-01,9.9889E-01,,,,,,,,,,,,,
20.106,1.2489E+04,1.0607E+04,1.5609E+03,2.7697E+02,4.4373E+01,1.0607E+04,8.5863E+02,2.6415E+02,4.3814E+02,1.5095E+02,4.4258E+01,7.3840E+01,3.3609E+00,4.5566E+00,2.5805E+01,6.4851E+00,1.0785E+01,1.3390E-01,1.7863E-01,9.8612E-01,,,,,,,,,,,,,
30,4.3701E+03,3.7701E+03,4.9708E+02,8.8390E+01,1.4527E+01,3.7701E+03,3.1586E+02,6.9500E+01,1.1172E+02,5.5457E+01,1.2044E+01,1.9464E+01,6.1184E-01,8.1378E-01,9.4831E+00,1.7763E+00,2.8485E+00,2.4568E-02,3.2151E-02,3.6211E-01,,,,,,,,,,,,,
40,1.9849E+03,1.7236E+03,2.1638E+02,3.8534E+01,6.4259E+00,1.7236E+03,1.4934E+02,2.6116E+01,4.0923E+01,2.6248E+01,4.6123E+00,7.2632E+00,1.7754E-01,2.3246E-01,4.4901E+00,6.8214E-01,1.0659E+00,7.1591E-03,9.2210E-03,1.7141E-01,,,,,,,,,,,,,
50,1.0616E+03,9.2519E+02,1.1293E+02,2.0135E+01,3.3892E+00,9.2519E+02,8.2213E+01,1.2124E+01,1.8590E+01,1.4473E+01,2.1677E+00,3.3393E+00,6.7777E-02,8.7560E-02,2.4762E+00,3.2121E-01,4.9100E-01,2.7401E-03,3.4823E-03,9.4532E-02,,,,,,,,,,,,,
60,6.3183E+02,5.5184E+02,6.6174E+01,1.1811E+01,2.0010E+00,5.5184E+02,5.0011E+01,6.4544E+00,9.7085E+00,8.8178E+00,1.1639E+00,1.7587E+00,3.0858E-02,3.9407E-02,1.5090E+00,1.7270E-01,2.5895E-01,1.2499E-03,1.5700E-03,5.7607E-02,,,,,,,,,,,,,
80,2.7530E+02,2.4104E+02,2.8330E+01,5.0640E+00,8.6541E-01,2.4104E+02,2.2486E+01,2.3800E+00,3.4646E+00,3.9751E+00,4.3404E-01,6.3465E-01,8.9514E-03,1.1216E-02,6.8048E-01,6.4533E-02,9.3612E-02,3.6355E-04,4.4785E-04,2.5980E-02,,,,,,,,,,,,,
100,1.4348E+02,1.2579E+02,1.4625E+01,2.6170E+00,4.4968E-01,1.2579E+02,1.1968E+01,1.0991E+00,1.5569E+00,2.1202E+00,2.0184E-01,2.8721E-01,3.4568E-03,4.2699E-03,3.6304E-01,3.0050E-02,4.2413E-02,1.4066E-04,1.7074E-04,1.3862E-02,,,,,,,,,,,,,
150,4.3528E+01,3.8213E+01,4.3911E+00,7.8717E-01,1.3629E-01,3.8213E+01,3.7486E+00,2.7404E-01,3.6849E-01,6.6632E-01,5.0793E-02,6.8651E-02,6.3684E-04,7.6360E-04,1.1415E-01,7.5799E-03,1.0152E-02,2.5918E-05,3.0743E-05,4.3587E-03,,,,,,,,,,,,,
200,1.8718E+01,1.6441E+01,1.8809E+00,3.3758E-01,5.8677E-02,1.6441E+01,1.6407E+00,1.0459E-01,1.3567E-01,2.9226E-01,1.9521E-02,2.5363E-02,1.9915E-04,2.3689E-04,5.0077E-02,2.9108E-03,3.7596E-03,8.1097E-06,9.5425E-06,1.9124E-03,,,,,,,,,,,,,
