PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
1,1.1148E+06,0.0000E+00,9.7115E+05,1.4300E+05,6.3076E+02,0.0000E+00,0.0000E+00,3.3222E+05,6.3893E+05,2.6787E+04,2.8747E+04,5.5867E+04,1.2849E+04,1.8748E+04,6.3076E+02,,,,,,,,,,,,,,,,,,
1.0851,8.9220E+05,0.0000E+00,7.7382E+05,1.1784E+05,5.4425E+02,0.0000E+00,0.0000E+00,2.6287E+05,5.1095E+05,2.3207E+04,2.4034E+04,4.6600E+04,9.7618E+03,1.4233E+04,5.4425E+02,,,,,,,,,,,,,,,,,,
1.0938,9.9081E+05,0.0000E+00,8.7466E+05,1.1562E+05,5.3638E+02,0.0000E+00,1.1687E+05,2.5740E+05,5.0039E+05,2.2881E+04,2.3611E+04,4.5770E+04,9.5017E+03,1.3853E+04,5.3638E+02,,,,,,,,,,,,,,,,,,
1.5,4.6570E+05,0.0000E+00,4.1172E+05,5.3681E+04,2.9626E+02,0.0000E+00,7.3393E+04,1.1543E+05,2.2290E+05,1.2833E+04,1.1312E+04,2.1743E+04,3.1756E+03,4.6170E+03,2.9626E+02,,,,,,,,,,,,,,,,,,
2,2.2679E+05,0.0000E+00,2.0051E+05,2.6104E+04,1.6897E+02,0.0000E+00,4.5472E+04,5.3227E+04,1.0182E+05,7.3682E+03,5.4984E+03,1.0489E+04,1.1222E+03,1.6272E+03,1.6897E+02,,,,,,,,,,,,,,,,,,
3,7.8601E+04,0.0000E+00,6.9354E+04,9.1735E+03,7.3643E+01,0.0000E+00,2.1258E+04,1.6634E+04,3.1461E+04,3.2346E+03,1.8511E+03,3.4932E+03,2.4323E+02,3.5129E+02,7.3643E+01,,,,,,,,,,,,,,,,,,
4,3.6289E+04,0.0000E+00,3.1960E+04,4.2885E+03,4.0148E+01,0.0000E+00,1.1820E+04,7.0027E+03,1.3138E+04,1.7533E+03,8.1592E+02,1.5274E+03,7.8606E+01,1.1317E+02,4.0148E+01,,,,,,,,,,,,,,,,,,
5,1.9728E+04,0.0000E+00,1.7349E+04,2.3543E+03,2.4516E+01,0.0000E+00,7.3160E+03,3.5031E+03,6.5298E+03,1.0723E+03,4.2122E+02,7.8344E+02,3.1834E+01,4.5463E+01,2.4516E+01,,,,,,,,,,,,,,,,,,
6,1.1924E+04,0.0000E+00,1.0474E+04,1.4338E+03,1.6204E+01,0.0000E+00,4.8713E+03,1.9634E+03,3.6397E+03,7.0935E+02,2.4147E+02,4.4664E+02,1.4989E+01,2.1342E+01,1.6204E+01,,,,,,,,,,,,,,,,,,
8,5.3412E+03,0.0000E+00,4.6840E+03,6.4890E+02,8.2563E+00,0.0000E+00,2.4992E+03,7.7021E+02,1.4146E+03,3.6171E+02,9.7602E+01,1.7883E+02,4.4517E+00,6.3041E+00,8.2563E+00,,,,,,,,,,,,,,,,,,
8.9344,3.9136E+03,0.0000E+00,3.4301E+03,4.7711E+02,6.3290E+00,0.0000E+00,1.9188E+03,5.3409E+02,9.7725E+02,2.7732E+02,6.8349E+01,1.2474E+02,2.7745E+00,3.9202E+00,6.3290E+00,,,,,,,,,,,,,,,,,,
9.0059,2.8990E+04,2.5164E+04,3.3537E+03,4.6661E+02,6.2078E+00,2.5164E+04,1.8822E+03,5.2009E+02,9.5136E+02,2.7202E+02,6.6602E+01,1.2152E+02,2.6811E+00,3.7875E+00,6.2078E+00,,,,,,,,,,,,,,,,,,
10,2.2626E+04,1.9780E+04,2.4930E+03,3.4808E+02,4.8069E+00,1.9780E+04,1.4591E+03,3.6630E+02,6.6755E+02,2.1066E+02,4.7310E+01,8.5990E+01,1.7079E+00,2.4069E+00,4.8069E+00,,,,,,,,,,,,,,,,,,
15,7.7106E+03,6.8164E+03,7.8192E+02,1.1049E+02,1.7309E+00,6.8164E+03,5.2604E+02,9.1604E+01,1.6428E+02,7.5876E+01,1.2167E+01,2.1754E+01,2.9135E-01,4.0654E-01,1.7309E+00,,,,,,,,,,,,,,,,,,
