PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,
1,4.9246E+05,0.0000E+00,0.0000E+00,0.0000E+00,4.9246E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.4641E+04,3.9595E+04,8.8805E+04,1.0995E+05,1.6062E+05,1.4192E+04,1.8201E+04,6.7149E+03,6.1625E+03,1.2974E+04,6.0380E+02,,,,,,,,
1.0334,4.6357E+05,0.0000E+00,0.0000E+00,0.0000E+00,4.6357E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.3010E+04,3.7933E+04,8.4540E+04,1.0328E+05,1.5067E+05,1.2720E+04,1.6307E+04,6.3653E+03,5.8703E+03,1.2306E+04,5.7105E+02,,,,,,,,
1.0417,1.0197E+06,0.0000E+00,0.0000E+00,5.6290E+05,4.5678E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.6290E+05,3.2623E+04,3.7535E+04,8.3529E+04,1.0171E+05,1.4833E+05,1.2386E+04,1.5877E+04,6.2830E+03,5.8011E+03,1.2148E+04,5.6335E+02,,,,,,,,
1.0585,1.5929E+06,0.0000E+00,0.0000E+00,1.1495E+06,4.4336E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1495E+06,3.1854E+04,3.6742E+04,8.1525E+04,9.8597E+04,1.4369E+05,1.1738E+04,1.5043E+04,6.1206E+03,5.6639E+03,1.1836E+04,5.4816E+02,,,,,,,,
1.067,1.9826E+06,0.0000E+00,0.0000E+00,1.5458E+06,4.3681E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.5677E+05,1.1890E+06,3.1477E+04,3.6351E+04,8.0543E+04,9.7075E+04,1.4143E+05,1.1427E+04,1.4644E+04,6.0412E+03,5.5966E+03,1.1683E+04,5.4075E+02,,,,,,,,
1.3455,1.3939E+06,0.0000E+00,0.0000E+00,1.1154E+06,2.7850E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.5540E+05,6.6003E+05,2.2023E+04,2.6125E+04,5.5678E+04,6.0008E+04,8.6645E+04,5.1525E+03,6.5840E+03,4.1076E+03,3.9018E+03,7.9115E+03,3.6260E+02,,,,,,,,
1.3563,1.5768E+06,0.0000E+00,0.0000E+00,1.3027E+06,2.7407E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0905E+05,4.4660E+05,6.4709E+05,2.1745E+04,2.5813E+04,5.4947E+04,5.8970E+04,8.5120E+04,5.0103E+03,6.4018E+03,4.0526E+03,3.8519E+03,7.8028E+03,3.5758E+02,,,,,,,,
1.4604,1.3353E+06,0.0000E+00,0.0000E+00,1.0994E+06,2.3586E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.9016E+05,3.7192E+05,5.3733E+05,1.9315E+04,2.3053E+04,4.8516E+04,5.0023E+04,7.2010E+04,3.8587E+03,4.9259E+03,3.5737E+03,3.4138E+03,6.8542E+03,3.1396E+02,,,,,,,,
1.4721,1.3917E+06,0.0000E+00,0.0000E+00,1.1597E+06,2.3203E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.0102E+04,1.8847E+05,3.6456E+05,5.2653E+05,1.9068E+04,2.2769E+04,4.7859E+04,4.9128E+04,7.0701E+04,3.7508E+03,4.7877E+03,3.5253E+03,3.3691E+03,6.7581E+03,3.0957E+02,,,,,,,,
1.5,1.3341E+06,0.0000E+00,0.0000E+00,1.1109E+06,2.2323E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.7095E+04,1.8421E+05,3.4773E+05,5.0187E+05,1.8499E+04,2.2112E+04,4.6343E+04,4.7074E+04,6.7699E+04,3.5081E+03,4.4767E+03,3.4138E+03,3.2659E+03,6.5365E+03,2.9945E+02,,,,,,,,
