PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9.0314E+03,8.7130E+03,3.1842E+02,0.0000E+00,0.0000E+00,8.7130E+03,3.1842E+02,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,2.6810E+03,2.5849E+03,9.6108E+01,0.0000E+00,0.0000E+00,2.5849E+03,9.6108E+01,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.1108E+03,1.0706E+03,4.0229E+01,0.0000E+00,0.0000E+00,1.0706E+03,4.0229E+01,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.1274E+02,3.0126E+02,1.1478E+01,0.0000E+00,0.0000E+00,3.0126E+02,1.1478E+01,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.2521E+02,1.2058E+02,4.6236E+00,0.0000E+00,0.0000E+00,1.2058E+02,4.6236E+00,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.1068E+01,5.8803E+01,2.2645E+00,0.0000E+00,0.0000E+00,5.8803E+01,2.2645E+00,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3.3807E+01,3.2550E+01,1.2577E+00,0.0000E+00,0.0000E+00,3.2550E+01,1.2577E+00,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.3199E+01,1.2707E+01,4.9289E-01,0.0000E+00,0.0000E+00,1.2707E+01,4.9289E-01,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6.3289E+00,6.0920E+00,2.3688E-01,0.0000E+00,0.0000E+00,6.0920E+00,2.3688E-01,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.6472E+00,1.5854E+00,6.1858E-02,0.0000E+00,0.0000E+00,1.5854E+00,6.1858E-02,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6.2961E-01,6.0592E-01,2.3686E-02,0.0000E+00,0.0000E+00,6.0592E-01,2.3686E-02,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.6115E-01,1.5508E-01,6.0751E-03,0.0000E+00,0.0000E+00,1.5508E-01,6.0751E-03,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6.1057E-02,5.8752E-02,2.3046E-03,0.0000E+00,0.0000E+00,5.8752E-02,2.3046E-03,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.8724E-02,2.7639E-02,1.0852E-03,0.0000E+00,0.0000E+00,2.7639E-02,1.0852E-03,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1.5547E-02,1.4960E-02,5.8639E-04,0.0000E+00,0.0000E+00,1.4960E-02,5.8639E-04,,,,,,,,,,,,,,,,,,,,,,,,,,
80,5.8915E-03,5.6693E-03,2.2224E-04,0.0000E+00,0.0000E+00,5.6693E-03,2.2224E-04,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2.7827E-03,2.6777E-03,1.0498E-04,0.0000E+00,0.0000E+00,2.6777E-03,1.0498E-04,,,,,,,,,,,,,,,,,,,,,,,,,,
150,7.2098E-04,6.9380E-04,2.7187E-05,0.0000E+00,0.0000E+00,6.9380E-04,2.7187E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2.8153E-04,2.7092E-04,1.0610E-05,0.0000E+00,0.0000E+00,2.7092E-04,1.0610E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
300,7.8331E-05,7.5381E-05,2.9500E-06,0.0000E+00,0.0000E+00,7.5381E-05,2.9500E-06,,,,,,,,,,,,,,,,,,,,,,,,,,
400,3.3281E-05,3.2029E-05,1.2521E-06,0.0000E+00,0.0000E+00,3.2029E-05,1.2521E-06,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1.7861E-05,1.7189E-05,6.7190E-07,0.0000E+00,0.0000E+00,1.7189E-05,6.7190E-07,,,,,,,,,,,,,,,,,,,,,,,,,,
600,1.1095E-05,1.0678E-05,4.1751E-07,0.0000E+00,0.0000E+00,1.0678E-05,4.1751E-07,,,,,,,,,,,,,,,,,,,,,,,,,,
800,5.5901E-06,5.3794E-06,2.1072E-07,0.0000E+00,0.0000E+00,5.3794E-06,2.1072E-07,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,3.4762E-06,3.3447E-06,1.3149E-07,0.0000E+00,0.0000E+00,3.3447E-06,1.3149E-07,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,1.6451E-06,1.5820E-06,6.3090E-08,0.0000E+00,0.0000E+00,1.5820E-06,6.3090E-08,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
