PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,7s1/2,
1,3.2529E+06,0.0000E+00,0.0000E+00,0.0000E+00,3.2529E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.4073E+05,1.0673E+06,1.3947E+06,1.8099E+04,1.2957E+04,6.6495E+04,6.6699E+04,1.0469E+05,7.1891E+04,9.0900E+04,4.6174E+03,2.8602E+03,1.0567E+04,4.3191E+02,
1.023,3.1414E+06,0.0000E+00,0.0000E+00,0.0000E+00,3.1414E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.4670E+05,1.0235E+06,1.3350E+06,1.7625E+04,1.2686E+04,6.4533E+04,6.5242E+04,1.0205E+05,6.8979E+04,8.7119E+04,4.4703E+03,2.7876E+03,1.0227E+04,4.1648E+02,
1.0311,3.1942E+06,0.0000E+00,0.0000E+00,0.0000E+00,3.1942E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.4352E+04,3.4615E+05,1.0083E+06,1.3142E+06,1.7460E+04,1.2593E+04,6.3854E+04,6.4727E+04,1.0113E+05,6.7971E+04,8.5813E+04,4.4196E+03,2.7625E+03,1.0109E+04,4.1119E+02,
1.3146,2.1407E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.1407E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8313E+05,2.9770E+05,5.9645E+05,7.6546E+05,1.2889E+04,1.0116E+04,4.5639E+04,4.9081E+04,7.4178E+04,4.1587E+04,5.1924E+04,3.0996E+03,2.1009E+03,7.0464E+03,2.7771E+02,
1.3251,2.2436E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.2436E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3534E+05,1.8224E+05,2.9570E+05,5.8537E+05,7.5084E+05,1.2757E+04,1.0043E+04,4.5119E+04,4.8584E+04,7.3354E+04,4.0867E+04,5.1009E+04,3.0630E+03,2.0819E+03,6.9612E+03,2.7407E+02,
1.5,1.7623E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.7623E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1571E+05,1.6624E+05,2.6063E+05,4.3097E+05,5.4947E+05,1.0816E+04,8.9557E+03,3.7636E+04,4.1141E+04,6.1189E+04,3.0862E+04,3.8324E+04,2.5425E+03,1.8061E+03,5.7488E+03,2.2307E+02,
1.6731,1.4114E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.4114E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0123E+05,1.4777E+05,2.2827E+05,3.2449E+05,4.1180E+05,9.3069E+03,8.0568E+03,3.1920E+04,3.5106E+04,5.1568E+04,2.3758E+04,2.9375E+04,2.1519E+03,1.5892E+03,4.8378E+03,1.8589E+02,
1.6865,1.4051E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.4051E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6788E+04,1.0023E+05,1.4645E+05,2.2596E+05,3.1765E+05,4.0296E+05,9.2042E+03,7.9934E+03,3.1532E+04,3.4687E+04,5.0907E+04,2.3297E+04,2.8796E+04,2.1256E+03,1.5742E+03,4.7766E+03,1.8342E+02,
1.8598,1.1458E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.1458E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5701E+04,8.8759E+04,1.3043E+05,1.9717E+05,2.4303E+05,3.0716E+05,8.0160E+03,7.2388E+03,2.7101E+04,2.9805E+04,4.3282E+04,1.8229E+04,2.2447E+04,1.8268E+03,1.3998E+03,4.0799E+03,1.5541E+02,
1.8747,1.1468E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.1468E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0064E+04,1.5679E+04,8.7882E+04,1.2910E+05,1.9481E+05,2.3769E+05,3.0034E+05,7.9248E+03,7.1790E+03,2.6764E+04,2.9428E+04,4.2698E+04,1.7861E+04,2.1987E+04,1.8043E+03,1.3863E+03,4.0273E+03,1.5331E+02,
