PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,,,,,,,,,,,,,
1,1.0529E+06,0.0000E+00,0.0000E+00,9.5189E+05,1.0101E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.6498E+04,9.3387E+04,1.9281E+05,2.4382E+05,3.5537E+05,1.5180E+04,1.6591E+04,3.3014E+04,1.4604E+04,2.1081E+04,5.4192E+02,,,,,,,,,,,,,
1.5,4.1341E+05,0.0000E+00,0.0000E+00,3.7013E+05,4.3276E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.6230E+04,4.8807E+04,9.6612E+04,7.7038E+04,1.1144E+05,7.5166E+03,7.9718E+03,1.5441E+04,4.9666E+03,7.1162E+03,2.6353E+02,,,,,,,,,,,,,
2,2.0631E+05,0.0000E+00,0.0000E+00,1.8336E+05,2.2953E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2470E+04,2.8320E+04,5.4723E+04,3.1919E+04,4.5928E+04,4.4865E+03,4.5081E+03,8.5778E+03,2.1547E+03,3.0699E+03,1.5577E+02,,,,,,,,,,,,,
3,7.4904E+04,0.0000E+00,0.0000E+00,6.5912E+04,8.9919E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0922E+04,1.1944E+04,2.2420E+04,8.4971E+03,1.2129E+04,2.1062E+03,1.8734E+03,3.4794E+03,6.0461E+02,8.5423E+02,7.3993E+01,,,,,,,,,,,,,
3.0014,7.4817E+04,0.0000E+00,0.0000E+00,6.5834E+04,8.9821E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0913E+04,1.1931E+04,2.2396E+04,8.4840E+03,1.2110E+04,2.1044E+03,1.8715E+03,3.4757E+03,6.0371E+02,8.5295E+02,7.3928E+01,,,,,,,,,,,,,
3.0254,2.5243E+05,0.0000E+00,1.7911E+05,6.4501E+04,8.8137E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.7911E+05,1.0753E+04,1.1718E+04,2.1985E+04,8.2588E+03,1.1787E+04,2.0726E+03,1.8378E+03,3.4115E+03,5.8819E+02,8.3088E+02,7.2802E+01,,,,,,,,,,,,,
3.1485,2.2714E+05,0.0000E+00,1.6090E+05,5.8221E+04,8.0156E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.6090E+05,9.9867E+03,1.0702E+04,2.0027E+04,7.2160E+03,1.0290E+04,1.9200E+03,1.6773E+03,3.1063E+03,5.1613E+02,7.2840E+02,6.7412E+01,,,,,,,,,,,,,
3.1737,3.0768E+05,0.0000E+00,2.4277E+05,5.7039E+04,7.8645E+03,0.0000E+00,0.0000E+00,8.4944E+04,1.5783E+05,9.8397E+03,1.0508E+04,1.9654E+04,7.0231E+03,1.0013E+04,1.8908E+03,1.6468E+03,3.0484E+03,5.0275E+02,7.0940E+02,6.6380E+01,,,,,,,,,,,,,
3.388,2.6198E+05,0.0000E+00,2.0707E+05,4.8188E+04,6.7240E+03,0.0000E+00,0.0000E+00,7.1977E+04,1.3509E+05,8.7092E+03,9.0371E+03,1.6826E+04,5.6174E+03,7.9978E+03,1.6664E+03,1.4149E+03,2.6090E+03,4.0479E+02,5.7042E+02,5.8481E+01,,,,,,,,,,,,,
3.4152,2.9426E+05,0.0000E+00,2.4046E+05,4.7204E+04,6.5962E+03,0.0000E+00,3.7362E+04,7.0683E+04,1.3242E+05,8.5796E+03,8.8706E+03,1.6508E+04,5.4657E+03,7.7804E+03,1.6408E+03,1.3887E+03,2.5595E+03,3.9416E+02,5.5534E+02,5.7581E+01,,,,,,,,,,,,,
