PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,
1,2.4740E+06,0.0000E+00,0.0000E+00,2.0388E+06,4.3524E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.3501E+05,1.2038E+06,3.2797E+04,3.7733E+04,8.2845E+04,9.8706E+04,1.4407E+05,6.1030E+03,7.8403E+03,6.3568E+03,5.9011E+03,1.2298E+04,5.9345E+02,,,,,,,,
1.2271,1.5095E+06,0.0000E+00,0.0000E+00,1.2147E+06,2.9476E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.9472E+05,7.1999E+05,2.3895E+04,2.8154E+04,5.9873E+04,6.4527E+04,9.3483E+04,3.0156E+03,3.8651E+03,4.5181E+03,4.2888E+03,8.7274E+03,4.1683E+02,,,,,,,,
1.2369,1.7043E+06,0.0000E+00,0.0000E+00,1.4141E+06,2.9017E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2265E+05,4.8535E+05,7.0610E+05,2.3593E+04,2.7818E+04,5.9093E+04,6.3415E+04,9.1846E+04,2.9324E+03,3.7581E+03,4.4576E+03,4.2341E+03,8.6083E+03,4.1108E+02,,,,,,,,
1.3246,1.4658E+06,0.0000E+00,0.0000E+00,1.2127E+06,2.5316E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0581E+05,4.1088E+05,5.9597E+05,2.1140E+04,2.5058E+04,5.2711E+04,5.4495E+04,7.8741E+04,2.3027E+03,2.9487E+03,3.9671E+03,3.7871E+03,7.6406E+03,3.6450E+02,,,,,,,,
1.3352,1.5271E+06,0.0000E+00,0.0000E+00,1.2780E+06,2.4912E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.6847E+04,2.0412E+05,4.0288E+05,5.8416E+05,2.0870E+04,2.4751E+04,5.2004E+04,5.3527E+04,7.7321E+04,2.2384E+03,2.8661E+03,3.9133E+03,3.7376E+03,7.5342E+03,3.5940E+02,,,,,,,,
1.479,1.2264E+06,0.0000E+00,0.0000E+00,1.0243E+06,2.0214E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.8785E+04,1.7783E+05,3.1383E+05,4.5383E+05,1.7666E+04,2.1054E+04,4.3618E+04,4.2325E+04,6.0927E+04,1.5513E+03,1.9841E+03,3.2813E+03,3.1499E+03,6.2787E+03,2.9967E+02,,,,,,,,
1.4909,1.2590E+06,0.0000E+00,0.0000E+00,1.0601E+06,1.9882E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.3954E+04,7.8101E+04,1.7570E+05,3.0760E+05,4.4477E+05,1.7435E+04,2.0784E+04,4.3014E+04,4.1542E+04,5.9785E+04,1.5073E+03,1.9275E+03,3.2362E+03,3.1075E+03,6.1889E+03,2.9544E+02,,,,,,,,
1.5,1.2426E+06,0.0000E+00,0.0000E+00,1.0463E+06,1.9632E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.3791E+04,7.7564E+04,1.7408E+05,3.0293E+05,4.3794E+05,1.7260E+04,2.0580E+04,4.2558E+04,4.0952E+04,5.8924E+04,1.4744E+03,1.8853E+03,3.2021E+03,3.0754E+03,6.1210E+03,2.9224E+02,,,,,,,,
2,6.4573E+05,0.0000E+00,0.0000E+00,5.3973E+05,1.0601E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.6430E+04,5.2620E+04,1.1094E+05,1.3988E+05,1.9986E+05,1.0607E+04,1.2621E+04,2.5166E+04,2.0176E+04,2.8756E+04,5.0817E+02,6.4771E+02,1.9276E+03,1.8498E+03,3.5722E+03,1.7366E+02,,,,,,,,
3,2.4322E+05,0.0000E+00,0.0000E+00,2.0107E+05,4.2153E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.9593E+04,2.6791E+04,5.2376E+04,4.2457E+04,5.9853E+04,5.1606E+03,5.8938E+03,1.1221E+04,6.7358E+03,9.4727E+03,1.0471E+02,1.3283E+02,9.2010E+02,8.5047E+02,1.5772E+03,8.4401E+01,,,,,,,,
