PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
1,1.6807E+05,0.0000E+00,0.0000E+00,1.6632E+05,1.7442E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.8902E+04,3.2173E+04,6.2573E+04,1.7341E+04,2.5332E+04,1.7442E+03,,,,,,,,,,,,,,,,,,
1.025,1.5858E+05,0.0000E+00,0.0000E+00,1.5691E+05,1.6685E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.7698E+04,3.0537E+04,5.9345E+04,1.5987E+04,2.3349E+04,1.6685E+03,,,,,,,,,,,,,,,,,,
1.0332,5.7956E+05,0.0000E+00,4.2394E+05,1.5398E+05,1.6447E+03,0.0000E+00,0.0000E+00,0.0000E+00,4.2394E+05,2.7318E+04,3.0023E+04,5.8331E+04,1.5570E+04,2.2739E+04,1.6447E+03,,,,,,,,,,,,,,,,,,
1.0495,7.5725E+05,0.0000E+00,6.0729E+05,1.4836E+05,1.5987E+03,0.0000E+00,0.0000E+00,0.0000E+00,6.0729E+05,2.6584E+04,2.9033E+04,5.6381E+04,1.4780E+04,2.1583E+04,1.5987E+03,,,,,,,,,,,,,,,,,,
1.0579,9.6568E+05,0.0000E+00,8.1853E+05,1.4558E+05,1.5758E+03,0.0000E+00,0.0000E+00,2.0445E+05,6.1407E+05,2.6217E+04,2.8540E+04,5.5411E+04,1.4394E+04,2.1016E+04,1.5758E+03,,,,,,,,,,,,,,,,,,
1.1833,8.1799E+05,0.0000E+00,7.0532E+05,1.1138E+05,1.2847E+03,0.0000E+00,0.0000E+00,2.3993E+05,4.6539E+05,2.1530E+04,2.2337E+04,4.3221E+04,9.8813E+03,1.4413E+04,1.2847E+03,,,,,,,,,,,,,,,,,,
1.1928,9.1262E+05,0.0000E+00,8.0209E+05,1.0926E+05,1.2660E+03,0.0000E+00,1.1138E+05,2.3496E+05,4.5574E+05,2.1226E+04,2.1943E+04,4.2448E+04,9.6178E+03,1.4028E+04,1.2660E+03,,,,,,,,,,,,,,,,,,
1.5,5.2338E+05,0.0000E+00,4.6010E+05,6.2449E+04,8.2671E+02,0.0000E+00,7.7458E+04,1.3063E+05,2.5201E+05,1.3979E+04,1.2926E+04,2.4840E+04,4.3594E+03,6.3448E+03,8.2671E+02,,,,,,,,,,,,,,,,,,
2,2.5733E+05,0.0000E+00,2.2648E+05,3.0373E+04,4.7299E+02,0.0000E+00,4.8411E+04,6.1166E+04,1.1691E+05,8.0754E+03,6.3596E+03,1.2122E+04,1.5567E+03,2.2591E+03,4.7299E+02,,,,,,,,,,,,,,,,,,
3,8.9793E+04,0.0000E+00,7.8911E+04,1.0675E+04,2.0760E+02,0.0000E+00,2.2932E+04,1.9385E+04,3.6594E+04,3.5717E+03,2.1728E+03,4.0941E+03,3.4204E+02,4.9415E+02,2.0760E+02,,,,,,,,,,,,,,,,,,
4,4.1584E+04,0.0000E+00,3.6478E+04,4.9922E+03,1.1352E+02,0.0000E+00,1.2865E+04,8.2218E+03,1.5391E+04,1.9459E+03,9.6705E+02,1.8068E+03,1.1168E+02,1.6078E+02,1.1352E+02,,,,,,,,,,,,,,,,,,
5,2.2657E+04,0.0000E+00,1.9845E+04,2.7426E+03,6.9594E+01,0.0000E+00,8.0129E+03,4.1380E+03,7.6938E+03,1.1950E+03,5.0298E+02,9.3331E+02,4.5691E+01,6.5579E+01,6.9594E+01,,,,,,,,,,,,,,,,,,
6,1.3716E+04,0.0000E+00,1.1998E+04,1.6713E+03,4.6164E+01,0.0000E+00,5.3607E+03,2.3301E+03,4.3073E+03,7.9344E+02,2.9009E+02,5.3514E+02,2.1658E+01,3.0992E+01,4.6164E+01,,,,,,,,,,,,,,,,,,
8,6.1560E+03,0.0000E+00,5.3751E+03,7.5717E+02,2.3659E+01,0.0000E+00,2.7699E+03,9.2039E+02,1.6849E+03,4.0704E+02,1.1833E+02,2.1615E+02,6.4805E+00,9.1777E+00,2.3659E+01,,,,,,,,,,,,,,,,,,
9.6129,3.6725E+03,0.0000E+00,3.2033E+03,4.5402E+02,1.5233E+01,0.0000E+00,1.7887E+03,5.0190E+02,9.1267E+02,2.6217E+02,6.5635E+01,1.1908E+02,2.9604E+00,4.1759E+00,1.5233E+01,,,,,,,,,,,,,,,,,,
9.6899,2.7139E+04,2.3548E+04,3.1318E+03,4.4400E+02,1.4941E+01,2.3548E+04,1.7546E+03,4.8875E+02,8.8849E+02,2.5715E+02,6.3959E+01,1.1600E+02,2.8608E+00,4.0347E+00,1.4941E+01,,,,,,,,,,,,,,,,,,
10,2.5136E+04,2.1851E+04,2.8647E+03,4.0651E+02,1.3839E+01,2.1851E+04,1.6258E+03,4.4000E+02,7.9889E+02,2.3818E+02,5.7732E+01,1.0458E+02,2.4987E+00,3.5213E+00,1.3839E+01,,,,,,,,,,,,,,,,,,
15,8.7019E+03,7.6670E+03,9.0061E+02,1.2925E+02,5.0235E+00,7.6670E+03,5.9131E+02,1.1104E+02,1.9827E+02,8.6489E+01,1.5009E+01,2.6726E+01,4.2961E-01,5.9914E-01,5.0235E+00,,,,,,,,,,,,,,,,,,
20,3.9568E+03,3.5057E+03,3.9206E+02,5.6659E+01,2.3774E+00,3.5057E+03,2.7954E+02,4.0749E+01,7.1773E+01,4.0932E+01,5.6018E+00,9.8380E+00,1.2060E-01,1.6672E-01,2.3774E+00,,,,,,,,,,,,,,,,,,
30,1.2583E+03,1.1206E+03,1.1955E+02,1.7420E+01,7.9642E-01,1.1206E+03,9.3344E+01,9.6285E+00,1.6578E+01,1.3711E+01,1.3481E+00,2.3145E+00,1.9576E-02,2.6649E-02,7.9642E-01,,,,,,,,,,,,,,,,,,
40,5.4607E+02,4.8735E+02,5.0914E+01,7.4537E+00,3.5720E-01,4.8735E+02,4.1757E+01,3.4049E+00,5.7520E+00,6.1490E+00,4.8121E-01,8.1099E-01,5.3372E-03,7.1721E-03,3.5720E-01,,,,,,,,,,,,,,,,,,
