PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,
1,1.5851E+06,0.0000E+00,0.0000E+00,1.1220E+06,4.6310E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1220E+06,3.3759E+04,3.8719E+04,8.5874E+04,1.0440E+05,1.5243E+05,9.6716E+03,1.2415E+04,6.5427E+03,6.0406E+03,1.2651E+04,5.9915E+02,,,,,,,,
1.0063,1.6739E+06,0.0000E+00,0.0000E+00,1.2161E+06,4.5781E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2161E+06,3.3445E+04,3.8398E+04,8.5067E+04,1.0314E+05,1.5056E+05,9.4708E+03,1.2156E+04,6.4760E+03,5.9844E+03,1.2523E+04,5.9278E+02,,,,,,,,
1.0143,2.1021E+06,0.0000E+00,0.0000E+00,1.6510E+06,4.5115E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.9324E+05,1.2578E+06,3.3049E+04,3.7991E+04,8.4048E+04,1.0156E+05,1.4820E+05,9.2205E+03,1.1834E+04,6.3921E+03,5.9135E+03,1.2362E+04,5.8477E+02,,,,,,,,
1.2858,1.4494E+06,0.0000E+00,0.0000E+00,1.1630E+06,2.8639E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.7408E+05,6.8890E+05,2.2934E+04,2.7117E+04,5.7728E+04,6.2215E+04,8.9985E+04,4.0840E+03,5.2270E+03,4.3080E+03,4.0913E+03,8.3109E+03,3.8859E+02,,,,,,,,
1.2961,1.6380E+06,0.0000E+00,0.0000E+00,1.3562E+06,2.8188E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1565E+05,4.6501E+05,6.7549E+05,2.2645E+04,2.6794E+04,5.6973E+04,6.1141E+04,8.8405E+04,3.9714E+03,5.0822E+03,4.2503E+03,4.0391E+03,8.1971E+03,3.8321E+02,,,,,,,,
1.3917,1.3981E+06,0.0000E+00,0.0000E+00,1.1538E+06,2.4428E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.9770E+05,3.9055E+05,5.6556E+05,2.0203E+04,2.4032E+04,5.0563E+04,5.2206E+04,7.5295E+04,3.0889E+03,3.9495E+03,3.7655E+03,3.5962E+03,7.2383E+03,3.3815E+02,,,,,,,,
1.4029,1.4569E+06,0.0000E+00,0.0000E+00,1.2166E+06,2.4035E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.3400E+04,1.9602E+05,3.8288E+05,5.5427E+05,1.9945E+04,2.3737E+04,4.9882E+04,5.1276E+04,7.3932E+04,3.0025E+03,3.8388E+03,3.7144E+03,3.5492E+03,7.1372E+03,3.3341E+02,,,,,,,,
1.5,1.2609E+06,0.0000E+00,0.0000E+00,1.0514E+06,2.0950E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.7908E+04,1.7964E+05,3.2352E+05,4.7033E+05,1.7892E+04,2.1364E+04,4.4463E+04,4.3994E+04,6.3283E+04,2.3632E+03,3.0191E+03,3.3110E+03,3.1745E+03,6.3353E+03,2.9607E+02,,,,,,,,
1.5507,1.1735E+06,0.0000E+00,0.0000E+00,9.7802E+05,1.9552E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.5497E+04,1.7097E+05,2.9938E+05,4.3218E+05,1.6942E+04,2.0254E+04,4.1961E+04,4.0716E+04,5.8501E+04,2.0964E+03,2.6770E+03,3.1260E+03,3.0010E+03,5.9666E+03,2.7906E+02,,,,,,,,
1.5631,1.2045E+06,0.0000E+00,0.0000E+00,1.0122E+06,1.9229E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.1585E+04,7.4837E+04,1.6890E+05,2.9339E+05,4.2350E+05,1.6721E+04,1.9994E+04,4.1378E+04,3.9961E+04,5.7401E+04,2.0368E+03,2.6007E+03,3.0831E+03,2.9606E+03,5.8810E+03,2.7513E+02,,,,,,,,
2,6.8744E+05,0.0000E+00,0.0000E+00,5.7411E+05,1.1333E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.7354E+04,5.3603E+04,1.1468E+05,1.5170E+05,2.1677E+05,1.1036E+04,1.3189E+04,2.6420E+04,2.1867E+04,3.1146E+04,8.2033E+02,1.0444E+03,1.9986E+03,1.9198E+03,3.7124E+03,1.7629E+02,,,,,,,,
3,2.6009E+05,0.0000E+00,0.0000E+00,2.1493E+05,4.5159E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0191E+04,2.7852E+04,5.4849E+04,4.6529E+04,6.5511E+04,5.3899E+03,6.2093E+03,1.1850E+04,7.3784E+03,1.0365E+04,1.7060E+02,2.1615E+02,9.5651E+02,8.8883E+02,1.6477E+03,8.5850E+01,,,,,,,,
4,1.2698E+05,0.0000E+00,0.0000E+00,1.0417E+05,2.2804E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2431E+04,1.6028E+04,3.0203E+04,1.9005E+04,2.6507E+04,3.1731E+03,3.4683E+03,6.4089E+03,3.1983E+03,4.4479E+03,5.2686E+01,6.5928E+01,5.5780E+02,4.9315E+02,8.8795E+02,5.0069E+01,,,,,,,,
5,7.1959E+04,0.0000E+00,0.0000E+00,5.8727E+04,1.3232E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.3526E+03,1.0046E+04,1.8378E+04,9.2097E+03,1.2741E+04,2.0808E+03,2.1498E+03,3.8766E+03,1.6142E+03,2.2265E+03,2.0638E+01,2.5731E+01,3.6370E+02,3.0462E+02,5.3635E+02,3.2653E+01,,,,,,,,
6,4.4944E+04,0.0000E+00,0.0000E+00,3.6535E+04,8.4094E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.9632E+03,6.7068E+03,1.1995E+04,5.0000E+03,6.8699E+03,1.4634E+03,1.4293E+03,2.5270E+03,9.0282E+02,1.2366E+03,9.3947E+00,1.1674E+01,2.5481E+02,2.0214E+02,3.4945E+02,2.2882E+01,,,,,,,,
6.1943,4.1368E+04,0.0000E+00,0.0000E+00,3.3605E+04,7.7629E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.6147E+03,6.2378E+03,1.1111E+04,4.4862E+03,6.1557E+03,1.3751E+03,1.3286E+03,2.3410E+03,8.1398E+02,1.1135E+03,8.1716E+00,1.0148E+01,2.3929E+02,1.8786E+02,3.2373E+02,2.1489E+01,,,,,,,,
6.2439,1.1440E+05,0.0000E+00,7.3886E+04,3.2909E+04,7.6088E+03,0.0000E+00,0.0000E+00,0.0000E+00,7.3886E+04,5.5306E+03,6.1250E+03,1.0899E+04,4.3657E+03,5.9885E+03,1.3538E+03,1.3045E+03,2.2965E+03,7.9308E+02,1.0846E+03,7.8907E+00,9.7981E+00,2.3555E+02,1.8443E+02,3.1757E+02,2.1153E+01,,,,,,,,
6.721,9.5021E+04,0.0000E+00,6.1583E+04,2.7119E+04,6.3191E+03,0.0000E+00,0.0000E+00,0.0000E+00,6.1583E+04,4.8091E+03,5.1653E+03,9.1150E+03,3.3907E+03,4.6388E+03,1.1714E+03,1.0997E+03,1.9207E+03,6.2269E+02,8.4905E+02,5.7040E+00,7.0725E+00,2.0355E+02,1.5540E+02,2.6560E+02,1.8281E+01,,,,,,,,
6.7748,1.2717E+05,0.0000E+00,9.4425E+04,2.6555E+04,6.1928E+03,0.0000E+00,0.0000E+00,3.4162E+04,6.0263E+04,4.7365E+03,5.0700E+03,8.9384E+03,3.2988E+03,4.5115E+03,1.1531E+03,1.0794E+03,1.8835E+03,6.0648E+02,8.2667E+02,5.5061E+00,6.8260E+00,2.0034E+02,1.5252E+02,2.6047E+02,1.7993E+01,,,,,,,,
7.0872,1.1369E+05,0.0000E+00,8.4594E+04,2.3577E+04,5.5236E+03,0.0000E+00,0.0000E+00,3.0986E+04,5.3608E+04,4.3440E+03,4.5616E+03,7.9965E+03,2.8225E+03,3.8527E+03,1.0546E+03,9.7086E+02,1.6859E+03,5.2210E+02,7.1034E+02,4.5073E+00,5.5825E+00,1.8310E+02,1.3715E+02,2.3315E+02,1.6445E+01,,,,,,,,
7.1439,1.2860E+05,0.0000E+00,1.0011E+05,2.3085E+04,5.4128E+03,0.0000E+00,1.7292E+04,3.0289E+04,5.2525E+04,4.2776E+03,4.4767E+03,7.8396E+03,2.7454E+03,3.7462E+03,1.0380E+03,9.5273E+02,1.6529E+03,5.0838E+02,6.9145E+02,4.3500E+00,5.3868E+00,1.8019E+02,1.3459E+02,2.2860E+02,1.6185E+01,,,,,,,,
