PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
1,5.4909E+05,0.0000E+00,4.9223E+05,5.5688E+04,1.1746E+03,0.0000E+00,9.6843E+04,1.3401E+05,2.6138E+05,1.5900E+04,1.2870E+04,2.5106E+04,7.3272E+02,1.0803E+03,1.1746E+03,,,,,,,,,,,,,,,,,,
1.5,1.9780E+05,0.0000E+00,1.7641E+05,2.0863E+04,5.2651E+02,0.0000E+00,4.7931E+04,4.3757E+04,8.4724E+04,7.1987E+03,4.5126E+03,8.7446E+03,1.6489E+02,2.4264E+02,5.2651E+02,,,,,,,,,,,,,,,,,,
2,9.3275E+04,0.0000E+00,8.2865E+04,1.0119E+04,2.9091E+02,0.0000E+00,2.7534E+04,1.8904E+04,3.6428E+04,3.9952E+03,2.0450E+03,3.9438E+03,5.4549E+01,8.0126E+01,2.9091E+02,,,,,,,,,,,,,,,,,,
3,3.1429E+04,0.0000E+00,2.7782E+04,3.5254E+03,1.2187E+02,0.0000E+00,1.1827E+04,5.4768E+03,1.0478E+04,1.6726E+03,6.2665E+02,1.1998E+03,1.0672E+01,1.5616E+01,1.2187E+02,,,,,,,,,,,,,,,,,,
4,1.4288E+04,0.0000E+00,1.2593E+04,1.6317E+03,6.3539E+01,0.0000E+00,6.2331E+03,2.1910E+03,4.1685E+03,8.7314E+02,2.5851E+02,4.9223E+02,3.2006E+00,4.6724E+00,6.3539E+01,,,,,,,,,,,,,,,,,,
5,7.6929E+03,0.0000E+00,6.7671E+03,8.8811E+02,3.7629E+01,0.0000E+00,3.7105E+03,1.0562E+03,2.0004E+03,5.1739E+02,1.2700E+02,2.4069E+02,1.2360E+00,1.7898E+00,3.7629E+01,,,,,,,,,,,,,,,,,,
5.4342,6.0966E+03,0.0000E+00,5.3595E+03,7.0628E+02,3.0820E+01,0.0000E+00,3.0438E+03,8.0116E+02,1.5146E+03,4.2384E+02,9.6944E+01,1.8338E+02,8.6488E-01,1.2510E+00,3.0820E+01,,,,,,,,,,,,,,,,,,
5.4777,4.9234E+04,4.3272E+04,5.2409E+03,6.9092E+02,3.0233E+01,4.3272E+04,2.9862E+03,7.8015E+02,1.4746E+03,4.1577E+02,9.4456E+01,1.7864E+02,8.3576E-01,1.2088E+00,3.0233E+01,,,,,,,,,,,,,,,,,,
6,3.9509E+04,3.4891E+04,4.0570E+03,5.3712E+02,2.4239E+01,3.4891E+04,2.3971E+03,5.7510E+02,1.0848E+03,3.3339E+02,7.0083E+01,1.3227E+02,5.6473E-01,8.1594E-01,2.4239E+01,,,,,,,,,,,,,,,,,,
8,1.8641E+04,1.6593E+04,1.7956E+03,2.4064E+02,1.1863E+01,1.6593E+04,1.1756E+03,2.1579E+02,4.0424E+02,1.6322E+02,2.6801E+01,5.0225E+01,1.6164E-01,2.3260E-01,1.1863E+01,,,,,,,,,,,,,,,,,,
10,1.0214E+04,9.1314E+03,9.4762E+02,1.2807E+02,6.7013E+00,9.1314E+03,6.6380E+02,9.9165E+01,1.8465E+02,9.2203E+01,1.2479E+01,2.3243E+01,6.0083E-02,8.6113E-02,6.7013E+00,,,,,,,,,,,,,,,,,,
15,3.3087E+03,2.9744E+03,2.9200E+02,3.9959E+01,2.2858E+00,2.9744E+03,2.2579E+02,2.3327E+01,4.2882E+01,3.1449E+01,2.9897E+00,5.4979E+00,9.5255E-03,1.3536E-02,2.2858E+00,,,,,,,,,,,,,,,,,,
20,1.4505E+03,1.3071E+03,1.2513E+02,1.7239E+01,1.0361E+00,1.3071E+03,1.0211E+02,8.1669E+00,1.4851E+01,1.4255E+01,1.0562E+00,1.9223E+00,2.5364E-03,3.5769E-03,1.0361E+00,,,,,,,,,,,,,,,,,,
