PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2
40,9.1177E+03,0.0000E+00,6.7867E+03,1.7247E+03,6.0631E+02,0.0000E+00,1.7015E+03,2.4528E+03,2.6324E+03,4.2495E+02,4.7024E+02,5.4549E+02,1.3580E+02,1.4818E+02,1.1999E+02,1.2376E+02,1.4361E+02,3.7641E+01,4.0993E+01,1.8969E+00,2.1037E+00,3.2661E+01,3.1521E+01,3.5976E+01,8.1989E+00,8.8333E+00,1.4440E-01,1.5471E-01,6.8076E+00,5.6032E+00,5.6515E+00,5.4326E-02,5.1112E-02,6.6917E-01
50,5.0983E+03,0.0000E+00,3.8075E+03,9.5383E+02,3.3692E+02,0.0000E+00,1.0929E+03,1.3643E+03,1.3503E+03,2.6530E+02,2.7159E+02,2.9178E+02,6.0719E+01,6.4438E+01,7.4377E+01,7.1680E+01,7.7289E+01,1.7221E+01,1.8238E+01,7.0052E-01,7.6521E-01,2.0203E+01,1.8265E+01,1.9392E+01,3.7694E+00,3.9496E+00,5.3668E-02,5.6635E-02,4.2094E+00,3.2476E+00,3.0467E+00,2.4993E-02,2.2871E-02,4.1374E-01
60,3.1551E+03,0.0000E+00,2.3605E+03,5.8663E+02,2.0796E+02,0.0000E+00,7.4856E+02,8.3592E+02,7.7599E+02,1.7872E+02,1.7130E+02,1.7297E+02,3.1251E+01,3.2397E+01,4.9872E+01,4.5359E+01,4.6044E+01,9.0085E+00,9.3192E+00,3.0944E-01,3.3364E-01,1.3530E+01,1.1565E+01,1.1567E+01,1.9789E+00,2.0255E+00,2.3811E-02,2.4798E-02,2.8183E+00,2.0568E+00,1.8176E+00,1.3127E-02,1.1735E-02,2.7699E-01
80,1.4699E+03,0.0000E+00,1.1015E+03,2.7155E+02,9.6760E+01,0.0000E+00,4.0203E+02,3.7985E+02,3.1966E+02,9.4125E+01,8.1281E+01,7.4421E+01,1.0872E+01,1.0850E+01,2.6138E+01,2.1646E+01,1.9962E+01,3.2031E+00,3.1903E+00,8.5165E-02,8.9879E-02,7.0818E+00,5.5256E+00,5.0254E+00,7.0649E-01,6.9290E-01,6.5905E-03,6.7178E-03,1.4745E+00,9.8306E-01,7.8970E-01,4.6930E-03,4.0405E-03,1.4491E-01
100,8.1000E+02,0.0000E+00,6.0748E+02,1.4917E+02,5.3352E+01,0.0000E+00,2.4346E+02,2.0448E+02,1.5954E+02,5.6486E+01,4.5035E+01,3.8226E+01,4.7860E+00,4.6379E+00,1.5649E+01,1.2049E+01,1.0310E+01,1.4298E+00,1.3831E+00,3.1585E-02,3.2773E-02,4.2374E+00,3.0790E+00,2.5996E+00,3.1639E-01,3.0135E-01,2.4531E-03,2.4576E-03,8.8200E-01,5.4792E-01,4.0850E-01,2.1024E-03,1.7583E-03,8.6679E-02
132.37,3.8259E+02,0.0000E+00,2.8708E+02,7.0272E+01,2.5236E+01,0.0000E+00,1.2733E+02,9.3406E+01,6.6344E+01,2.9339E+01,2.1232E+01,1.6391E+01,1.7101E+00,1.5989E+00,8.1133E+00,5.7120E+00,4.4479E+00,5.1833E-01,4.8401E-01,9.1420E-03,9.2911E-03,2.1964E+00,1.4617E+00,1.1210E+00,1.1510E-01,1.0583E-01,7.1276E-04,6.9945E-04,4.5695E-01,2.6016E-01,1.7656E-01,7.6505E-04,6.1782E-04,4.4907E-02
133.43,1.5015E+03,1.1270E+03,2.8103E+02,6.8786E+01,2.4705E+01,1.1270E+03,1.2497E+02,9.1347E+01,6.4709E+01,2.8793E+01,2.0781E+01,1.5999E+01,1.6610E+00,1.5515E+00,7.9619E+00,5.5914E+00,4.3424E+00,5.0363E-01,4.6982E-01,8.8268E-03,8.9662E-03,2.1554E+00,1.4309E+00,1.0945E+00,1.1184E-01,1.0273E-01,6.8831E-04,6.7505E-04,4.4842E-01,2.5468E-01,1.7238E-01,7.4340E-04,5.9978E-04,4.4068E-02
150,1.1231E+03,8.4905E+02,2.0566E+02,5.0292E+01,1.8094E+01,8.4905E+02,9.4907E+01,6.5866E+01,4.4884E+01,2.1832E+01,1.5157E+01,1.1220E+01,1.0838E+00,9.9831E-01,6.0344E+00,4.0869E+00,3.0523E+00,3.3029E-01,3.0392E-01,5.2855E-03,5.3276E-03,1.6336E+00,1.0502E+00,7.6976E-01,7.3439E-02,6.6539E-02,4.1278E-04,4.0162E-04,3.3979E-01,1.8627E-01,1.2125E-01,4.8825E-04,3.8857E-04,3.3393E-02
200,5.4287E+02,4.1505E+02,9.5946E+01,2.3422E+01,8.4566E+00,4.1505E+02,4.7961E+01,2.9605E+01,1.8380E+01,1.1011E+01,6.9802E+00,4.7012E+00,3.8530E-01,3.4440E-01,3.0415E+00,1.8910E+00,1.2852E+00,1.1863E-01,1.0600E-01,1.5503E-03,1.5377E-03,8.2434E-01,4.8652E-01,3.2452E-01,2.6448E-02,2.3266E-02,1.2147E-04,1.1619E-04,1.7120E-01,8.6306E-02,5.1134E-02,1.7587E-04,1.3597E-04,1.6826E-02
300,1.9699E+02,1.5232E+02,3.3544E+01,8.1700E+00,2.9607E+00,1.5232E+02,1.8348E+01,9.8101E+00,5.3856E+00,4.2104E+00,2.3738E+00,1.4105E+00,9.3702E-02,8.1498E-02,1.1628E+00,6.4644E-01,3.8768E-01,2.9159E-02,2.5378E-02,2.9239E-04,2.8477E-04,3.1508E-01,1.6656E-01,9.8009E-02,6.5212E-03,5.5832E-03,2.3008E-05,2.1872E-05,6.5433E-02,2.9552E-02,1.5448E-02,4.3365E-05,3.2682E-05,6.4319E-03
