PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,,,,,,,,,,,,,,,,
30,2.5024E+03,2.1955E+03,2.6005E+02,4.2125E+01,4.7304E+00,2.1955E+03,1.8389E+02,2.8579E+01,4.7587E+01,2.9719E+01,4.5299E+00,7.5464E+00,1.3980E-01,1.8898E-01,3.6644E+00,4.0413E-01,6.6187E-01,,,,,,,,,,,,,,,,
40,1.1117E+03,9.7932E+02,1.1209E+02,1.8215E+01,2.0812E+00,9.7932E+02,8.4667E+01,1.0431E+01,1.6990E+01,1.3713E+01,1.6774E+00,2.7328E+00,3.9400E-02,5.2540E-02,1.6911E+00,1.4991E-01,2.4012E-01,,,,,,,,,,,,,,,,
50,5.8542E+02,5.1685E+02,5.8025E+01,9.4507E+00,1.0920E+00,5.1685E+02,4.5713E+01,4.7389E+00,7.5728E+00,7.4186E+00,7.6895E-01,1.2291E+00,1.4722E-02,1.9264E-02,9.1504E-01,6.8818E-02,1.0813E-01,,,,,,,,,,,,,,,,
60,3.4430E+02,3.0438E+02,3.3768E+01,5.5091E+00,6.4159E-01,3.0438E+02,2.7391E+01,2.4803E+00,3.8971E+00,4.4525E+00,4.0493E-01,6.3649E-01,6.5880E-03,8.5323E-03,5.4927E-01,3.6276E-02,5.6039E-02,,,,,,,,,,,,,,,,
80,1.4749E+02,1.3059E+02,1.4295E+01,2.3376E+00,2.7507E-01,1.3059E+02,1.2043E+01,8.9175E-01,1.3609E+00,1.9625E+00,1.4674E-01,2.2409E-01,1.8660E-03,2.3727E-03,2.4216E-01,1.3165E-02,1.9751E-02,,,,,,,,,,,,,,,,
100,7.5930E+01,6.7277E+01,7.3139E+00,1.1978E+00,1.4188E-01,6.7277E+01,6.3074E+00,4.0434E-01,6.0215E-01,1.0298E+00,6.6842E-02,9.9520E-02,7.0957E-04,8.8924E-04,1.2708E-01,6.0041E-03,8.7896E-03,,,,,,,,,,,,,,,,
150,2.2576E+01,2.0019E+01,2.1606E+00,3.5448E-01,4.2393E-02,2.0019E+01,1.9238E+00,9.7791E-02,1.3899E-01,3.1474E-01,1.6317E-02,2.3138E-02,1.2706E-04,1.5623E-04,3.8884E-02,1.4641E-03,2.0454E-03,,,,,,,,,,,,,,,,
200,9.5850E+00,8.5013E+00,9.1520E-01,1.5036E-01,1.8065E-02,8.5013E+00,8.2816E-01,3.6624E-02,5.0414E-02,1.3571E-01,6.1350E-03,8.4240E-03,3.9094E-05,4.7780E-05,1.6769E-02,5.5058E-04,7.4510E-04,,,,,,,,,,,,,,,,
300,2.9431E+00,2.6109E+00,2.8052E-01,4.6154E-02,5.5709E-03,2.6109E+00,2.5792E-01,9.6993E-03,1.2898E-02,4.2341E-02,1.6318E-03,2.1633E-03,8.0407E-06,9.9533E-06,5.2330E-03,1.4644E-04,1.9146E-04,,,,,,,,,,,,,,,,
400,1.3212E+00,1.1722E+00,1.2579E-01,2.0711E-02,2.5055E-03,1.1722E+00,1.1656E-01,3.9850E-03,5.2480E-03,1.9151E-02,6.7235E-04,8.8143E-04,2.8206E-06,3.5741E-06,2.3672E-03,6.0299E-05,7.8056E-05,,,,,,,,,,,,,,,,
