PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,7s1/2,
1,3.2849E+06,0.0000E+00,0.0000E+00,0.0000E+00,3.2849E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4517E+05,3.5038E+05,1.0281E+06,1.3409E+06,1.8063E+04,1.3134E+04,6.4838E+04,6.5211E+04,1.0190E+05,6.1380E+04,7.7586E+04,4.5762E+03,2.8786E+03,1.0393E+04,4.3587E+02,
1.2716,2.1870E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.1870E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8668E+05,3.0356E+05,6.1423E+05,7.8893E+05,1.3379E+04,1.0574E+04,4.6548E+04,4.9734E+04,7.5238E+04,3.7826E+04,4.7302E+04,3.2202E+03,2.1936E+03,7.2764E+03,2.9548E+02,
1.2818,2.2923E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.2923E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3822E+05,1.8582E+05,3.0158E+05,6.0288E+05,7.7391E+05,1.3242E+04,1.0498E+04,4.6020E+04,4.9235E+04,7.4411E+04,3.7174E+04,4.6471E+04,3.1821E+03,2.1737E+03,7.1886E+03,2.9162E+02,
1.5,1.6883E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.6883E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1408E+05,1.6453E+05,2.5641E+05,4.0857E+05,5.2098E+05,1.0728E+04,9.0566E+03,3.6555E+04,3.9846E+04,5.9113E+04,2.5994E+04,3.2289E+04,2.5105E+03,1.8124E+03,5.6382E+03,2.2450E+02,
1.6094,1.4638E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.4638E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0466E+05,1.5240E+05,2.3578E+05,3.4027E+05,4.3236E+05,9.7351E+03,8.4519E+03,3.2872E+04,3.5972E+04,5.2948E+04,2.1950E+04,2.7192E+04,2.2539E+03,1.6677E+03,5.0449E+03,1.9959E+02,
1.6223,1.4578E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.4578E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7831E+04,1.0363E+05,1.5106E+05,2.3346E+05,3.3315E+05,4.2313E+05,9.6278E+03,8.3849E+03,3.2475E+04,3.5547E+04,5.2277E+04,2.1527E+04,2.6660E+04,2.2264E+03,1.6519E+03,4.9814E+03,1.9694E+02,
1.7916,1.1870E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.1870E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6664E+04,9.1674E+04,1.3464E+05,2.0386E+05,2.5426E+05,3.2181E+05,8.3678E+03,7.5755E+03,2.7864E+04,3.0518E+04,4.4409E+04,1.6801E+04,2.0729E+04,1.9089E+03,1.4654E+03,4.2469E+03,1.6646E+02,
1.8059,1.1884E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.1884E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1057E+04,1.6641E+04,9.0774E+04,1.3329E+05,2.0147E+05,2.4870E+05,3.1471E+05,8.2726E+03,7.5124E+03,2.7520E+04,3.0135E+04,4.3816E+04,1.6462E+04,2.0306E+04,1.8853E+03,1.4512E+03,4.1923E+03,1.6421E+02,
2,9.5804E+05,0.0000E+00,0.0000E+00,0.0000E+00,9.5804E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8257E+04,1.6122E+04,7.9592E+04,1.1573E+05,1.7233E+05,1.8660E+05,2.3518E+05,7.1366E+03,6.7333E+03,2.3416E+04,2.5520E+04,3.6722E+04,1.2624E+04,1.5513E+04,1.6062E+03,1.2789E+03,3.5469E+03,1.3788E+02,
3,3.9285E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.9285E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1330E+04,1.2675E+04,4.3872E+04,5.8523E+04,8.2783E+04,5.4550E+04,6.7823E+04,3.8664E+03,4.1537E+03,1.1916E+04,1.2181E+04,1.6867E+04,4.0174E+03,4.8659E+03,8.3665E+02,7.4924E+02,1.7739E+03,6.9009E+01,
