PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,,,,,,,,,,,,,,,,,,,,,,,,
1,2.2046E+04,2.1103E+04,9.4274E+02,0.0000E+00,0.0000E+00,2.1103E+04,9.2969E+02,4.3631E+00,8.6843E+00,,,,,,,,,,,,,,,,,,,,,,,,
1.5,6.7489E+03,6.4538E+03,2.9512E+02,0.0000E+00,0.0000E+00,6.4538E+03,2.9243E+02,9.0202E-01,1.7949E+00,,,,,,,,,,,,,,,,,,,,,,,,
2,2.8563E+03,2.7303E+03,1.2593E+02,0.0000E+00,0.0000E+00,2.7303E+03,1.2507E+02,2.8809E-01,5.7272E-01,,,,,,,,,,,,,,,,,,,,,,,,
3,8.2902E+02,7.9198E+02,3.7048E+01,0.0000E+00,0.0000E+00,7.9198E+02,3.6875E+01,5.7824E-02,1.1451E-01,,,,,,,,,,,,,,,,,,,,,,,,
4,3.3869E+02,3.2341E+02,1.5276E+01,0.0000E+00,0.0000E+00,3.2341E+02,1.5222E+01,1.8132E-02,3.5844E-02,,,,,,,,,,,,,,,,,,,,,,,,
5,1.6755E+02,1.5994E+02,7.6042E+00,0.0000E+00,0.0000E+00,1.5994E+02,7.5826E+00,7.2769E-03,1.4374E-02,,,,,,,,,,,,,,,,,,,,,,,,
6,9.3754E+01,8.9483E+01,4.2714E+00,0.0000E+00,0.0000E+00,8.9483E+01,4.2612E+00,3.4331E-03,6.7662E-03,,,,,,,,,,,,,,,,,,,,,,,,
8,3.7170E+01,3.5468E+01,1.7022E+00,0.0000E+00,0.0000E+00,3.5468E+01,1.6991E+00,1.0366E-03,2.0390E-03,,,,,,,,,,,,,,,,,,,,,,,,
10,1.8012E+01,1.7185E+01,8.2758E-01,0.0000E+00,0.0000E+00,1.7185E+01,8.2638E-01,4.0730E-04,7.9884E-04,,,,,,,,,,,,,,,,,,,,,,,,
15,4.7667E+00,4.5467E+00,2.2002E-01,0.0000E+00,0.0000E+00,4.5467E+00,2.1981E-01,7.3725E-05,1.4381E-04,,,,,,,,,,,,,,,,,,,,,,,,
20,1.8404E+00,1.7552E+00,8.5155E-02,0.0000E+00,0.0000E+00,1.7552E+00,8.5091E-02,2.1847E-05,4.2351E-05,,,,,,,,,,,,,,,,,,,,,,,,
30,4.7680E-01,4.5468E-01,2.2120E-02,0.0000E+00,0.0000E+00,4.5468E-01,2.2108E-02,3.9334E-06,7.5719E-06,,,,,,,,,,,,,,,,,,,,,,,,
40,1.8199E-01,1.7354E-01,8.4555E-03,0.0000E+00,0.0000E+00,1.7354E-01,8.4521E-03,1.1718E-06,2.2357E-06,,,,,,,,,,,,,,,,,,,,,,,,
50,8.6063E-02,8.2060E-02,4.0026E-03,0.0000E+00,0.0000E+00,8.2060E-02,4.0012E-03,4.6078E-07,8.7223E-07,,,,,,,,,,,,,,,,,,,,,,,,
60,4.6650E-02,4.4478E-02,2.1713E-03,0.0000E+00,0.0000E+00,4.4478E-02,2.1707E-03,2.1651E-07,4.0508E-07,,,,,,,,,,,,,,,,,,,,,,,,
80,1.7757E-02,1.6930E-02,8.2749E-04,0.0000E+00,0.0000E+00,1.6930E-02,8.2730E-04,6.6328E-08,1.2265E-07,,,,,,,,,,,,,,,,,,,,,,,,
100,8.4321E-03,8.0398E-03,3.9229E-04,0.0000E+00,0.0000E+00,8.0398E-03,3.9221E-04,2.6850E-08,4.9288E-08,,,,,,,,,,,,,,,,,,,,,,,,
150,2.1968E-03,2.0946E-03,1.0222E-04,0.0000E+00,0.0000E+00,2.0946E-03,1.0220E-04,5.4408E-09,9.7490E-09,,,,,,,,,,,,,,,,,,,,,,,,
200,8.6057E-04,8.2054E-04,4.0030E-05,0.0000E+00,0.0000E+00,8.2054E-04,4.0025E-05,1.8233E-09,3.2528E-09,,,,,,,,,,,,,,,,,,,,,,,,
300,2.4033E-04,2.2916E-04,1.1175E-05,0.0000E+00,0.0000E+00,2.2916E-04,1.1174E-05,4.2526E-10,7.5871E-10,,,,,,,,,,,,,,,,,,,,,,,,
400,1.0232E-04,9.7562E-05,4.7552E-06,0.0000E+00,0.0000E+00,9.7562E-05,4.7547E-06,1.6052E-10,2.9946E-10,,,,,,,,,,,,,,,,,,,,,,,,
500,5.4970E-05,5.2415E-05,2.5547E-06,0.0000E+00,0.0000E+00,5.2415E-05,2.5545E-06,7.9547E-11,1.5297E-10,,,,,,,,,,,,,,,,,,,,,,,,
600,3.4168E-05,3.2580E-05,1.5879E-06,0.0000E+00,0.0000E+00,3.2580E-05,1.5878E-06,4.6091E-11,9.3538E-11,,,,,,,,,,,,,,,,,,,,,,,,
800,1.7222E-05,1.6421E-05,8.0097E-07,0.0000E+00,0.0000E+00,1.6421E-05,8.0090E-07,2.1054E-11,4.6458E-11,,,,,,,,,,,,,,,,,,,,,,,,
1000,1.0708E-05,1.0209E-05,4.9881E-07,0.0000E+00,0.0000E+00,1.0209E-05,4.9877E-07,1.2152E-11,2.9719E-11,,,,,,,,,,,,,,,,,,,,,,,,
1500,5.0601E-06,4.8227E-06,2.3736E-07,0.0000E+00,0.0000E+00,4.8227E-06,2.3734E-07,6.0614E-12,1.6936E-11,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,0.33,0.67,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
