PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,,,,,,
1,1.6049E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.6049E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.0651E+04,3.8656E+04,1.3543E+05,1.9256E+05,2.9270E+05,3.4967E+05,4.4844E+05,1.2353E+04,1.0723E+04,2.9040E+04,2.1919E+04,3.1417E+04,1.3201E+03,,,,,,
1.5,7.2009E+05,0.0000E+00,0.0000E+00,0.0000E+00,7.2009E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6151E+04,2.8923E+04,8.1274E+04,1.1199E+05,1.6343E+05,1.1041E+05,1.4030E+05,6.7279E+03,6.5265E+03,1.5738E+04,1.1660E+04,1.6273E+04,6.8624E+02,,,,,,
2,3.9053E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.9053E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7796E+04,2.1174E+04,5.2926E+04,6.6938E+04,9.5601E+04,4.4625E+04,5.6360E+04,4.2797E+03,4.3943E+03,9.8377E+03,6.8175E+03,9.3558E+03,4.2533E+02,,,,,,
2.2981,2.8767E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.8767E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4555E+04,1.7753E+04,4.2317E+04,5.0619E+04,7.1603E+04,2.8158E+04,3.5456E+04,3.4183E+03,3.5823E+03,7.7533E+03,5.1321E+03,6.9882E+03,3.3579E+02,,,,,,
2.3165,3.7794E+05,0.0000E+00,0.0000E+00,9.5328E+04,2.8262E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.5328E+04,1.4386E+04,1.7565E+04,4.1762E+04,4.9785E+04,7.0388E+04,2.7412E+04,3.4510E+04,3.3741E+03,3.5397E+03,7.6464E+03,5.0467E+03,6.8688E+03,3.3124E+02,,,,,,
2.3924,7.2132E+05,0.0000E+00,0.0000E+00,4.5829E+05,2.6304E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.5829E+05,1.3720E+04,1.6821E+04,3.9578E+04,4.6530E+04,6.5649E+04,2.4583E+04,3.0927E+04,3.2008E+03,3.3713E+03,7.2272E+03,4.7133E+03,6.4037E+03,3.1346E+02,,,,,,
2.4115,7.7931E+05,0.0000E+00,0.0000E+00,5.2092E+05,2.5839E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.6883E+04,4.5403E+05,1.3558E+04,1.6641E+04,3.9052E+04,4.5751E+04,6.4515E+04,2.3926E+04,3.0095E+04,3.1592E+03,3.3306E+03,7.1265E+03,4.6337E+03,6.2927E+03,3.0921E+02,,,,,,
2.8339,6.9713E+05,0.0000E+00,0.0000E+00,5.1773E+05,1.7940E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1581E+05,3.0192E+05,1.0596E+04,1.3247E+04,2.9597E+04,3.2100E+04,4.4797E+04,1.3703E+04,1.7174E+04,2.4167E+03,2.5887E+03,5.3361E+03,3.2465E+03,4.3696E+03,2.3396E+02,,,,,,
2.8566,7.8929E+05,0.0000E+00,0.0000E+00,6.1312E+05,1.7616E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0644E+05,2.1128E+05,2.9540E+05,1.0465E+04,1.3092E+04,2.9184E+04,3.1524E+04,4.3971E+04,1.3325E+04,1.6697E+04,2.3846E+03,2.5559E+03,5.2588E+03,3.1883E+03,4.2894E+03,2.3072E+02,,,,,,
3,7.0189E+05,0.0000E+00,0.0000E+00,5.4444E+05,1.5746E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0108E+05,1.8525E+05,2.5811E+05,9.6945E+03,1.2168E+04,2.6748E+04,2.8177E+04,3.9177E+04,1.1211E+04,1.4032E+04,2.1957E+03,2.3618E+03,4.8061E+03,2.8499E+03,3.8239E+03,2.1174E+02,,,,,,
