PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,7s1/2,,,
3.6406,5.2889E+05,0.0000E+00,0.0000E+00,3.7922E+05,1.4967E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5938E+05,2.1983E+05,8.0673E+03,1.0263E+04,2.3655E+04,2.5481E+04,3.5054E+04,1.1695E+04,1.4533E+04,2.1324E+03,2.4310E+03,5.2333E+03,4.1036E+03,5.5664E+03,3.9218E+02,3.5498E+02,6.9226E+02,1.3612E+01,,,
3.6698,6.0139E+05,0.0000E+00,0.0000E+00,4.5447E+05,1.4692E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.3340E+04,1.5610E+05,2.1503E+05,7.9676E+03,1.0145E+04,2.3317E+04,2.5015E+04,3.4393E+04,1.1371E+04,1.4127E+04,2.1040E+03,2.4004E+03,5.1559E+03,4.0287E+03,5.4619E+03,3.8683E+02,3.5037E+02,6.8193E+02,1.3428E+01,,,
4,4.8594E+05,0.0000E+00,0.0000E+00,3.6582E+05,1.2011E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.3725E+04,1.2357E+05,1.6852E+05,6.9563E+03,8.9293E+03,1.9917E+04,2.0427E+04,2.7898E+04,8.3678E+03,1.0371E+04,1.8193E+03,2.0893E+03,4.3820E+03,3.2921E+03,4.4372E+03,3.3325E+02,3.0368E+02,5.7879E+02,1.1585E+01,,,
4.3091,4.0297E+05,0.0000E+00,0.0000E+00,3.0218E+05,1.0079E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.5902E+04,1.0027E+05,1.3601E+05,6.1794E+03,7.9621E+03,1.7325E+04,1.7062E+04,2.3183E+04,6.3964E+03,7.9115E+03,1.6024E+03,1.8481E+03,3.7984E+03,2.7532E+03,3.6921E+03,2.9266E+02,2.6772E+02,5.0117E+02,1.0187E+01,,,
4.3436,4.1953E+05,0.0000E+00,0.0000E+00,3.2063E+05,9.8903E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.4670E+04,6.5025E+04,9.8031E+04,1.3290E+05,6.1007E+03,7.8637E+03,1.7066E+04,1.6733E+04,2.2722E+04,6.2137E+03,7.6836E+03,1.5807E+03,1.8237E+03,3.7402E+03,2.7003E+03,3.6192E+03,2.8860E+02,2.6409E+02,4.9344E+02,1.0047E+01,,,
4.619,3.6082E+05,0.0000E+00,0.0000E+00,2.7535E+05,8.5478E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2998E+04,5.8239E+04,8.2239E+04,1.1187E+05,5.5204E+03,7.1370E+03,1.5183E+04,1.4374E+04,1.9427E+04,4.9628E+03,6.1263E+03,1.4219E+03,1.6444E+03,3.3175E+03,2.3221E+03,3.0991E+03,2.5902E+02,2.3752E+02,4.3735E+02,9.0268E+00,,,
4.656,3.6928E+05,0.0000E+00,0.0000E+00,2.8541E+05,8.3869E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5307E+04,2.2824E+04,5.7378E+04,8.0480E+04,1.0942E+05,5.4486E+03,7.0464E+03,1.4952E+04,1.4090E+04,1.9032E+04,4.8194E+03,5.9480E+03,1.4024E+03,1.6223E+03,3.2659E+03,2.2766E+03,3.0368E+03,2.5539E+02,2.3425E+02,4.3051E+02,8.9017E+00,,,
5,3.1124E+05,0.0000E+00,0.0000E+00,2.4052E+05,7.0725E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3827E+04,2.1237E+04,5.0114E+04,6.6214E+04,8.9124E+04,4.8433E+03,6.2731E+03,1.3016E+04,1.1764E+04,1.5813E+04,3.7017E+03,4.5591E+03,1.2389E+03,1.4354E+03,2.8357E+03,1.9040E+03,2.5273E+03,2.2504E+02,2.0668E+02,3.7351E+02,7.8541E+00,,,
6,1.9901E+05,0.0000E+00,0.0000E+00,1.5349E+05,4.5522E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0854E+04,1.6263E+04,3.5754E+04,3.8874E+04,5.1746E+04,3.5600E+03,4.5996E+03,9.0363E+03,7.2992E+03,9.6807E+03,1.8594E+03,2.2776E+03,8.9786E+02,1.0386E+03,1.9572E+03,1.1868E+03,1.5553E+03,1.6215E+02,1.4857E+02,2.5739E+02,5.6763E+00,,,
8,9.7076E+04,0.0000E+00,0.0000E+00,7.4645E+04,2.2430E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.0227E+03,1.0278E+04,1.9906E+04,1.6266E+04,2.1173E+04,2.1475E+03,2.7169E+03,4.9243E+03,3.2857E+03,4.2661E+03,6.0375E+02,7.3282E+02,5.3246E+02,6.0483E+02,1.0603E+03,5.3893E+02,6.9177E+02,9.5421E+01,8.5777E+01,1.4040E+02,3.3559E+00,,,
