PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,,,,,,,,,,,,,,
4,2.1585E+05,0.0000E+00,1.7642E+05,3.4397E+04,5.0377E+03,0.0000E+00,3.0631E+04,5.1545E+04,9.4243E+04,6.7181E+03,6.6249E+03,1.2204E+04,3.6619E+03,5.1882E+03,1.2947E+03,1.0514E+03,1.9148E+03,3.2572E+02,4.5100E+02,,,,,,,,,,,,,,
5,1.2135E+05,0.0000E+00,9.9329E+04,1.9134E+04,2.8878E+03,0.0000E+00,2.0769E+04,2.7992E+04,5.0568E+04,4.3506E+03,3.8315E+03,6.9516E+03,1.6603E+03,2.3396E+03,8.2936E+02,6.0811E+02,1.0922E+03,1.5067E+02,2.0746E+02,,,,,,,,,,,,,,
6,7.5436E+04,0.0000E+00,6.1837E+04,1.1780E+04,1.8183E+03,0.0000E+00,1.4968E+04,1.6873E+04,2.9996E+04,3.0189E+03,2.4024E+03,4.3061E+03,8.5450E+02,1.1984E+03,5.7152E+02,3.8197E+02,6.7815E+02,7.8733E+01,1.0788E+02,,,,,,,,,,,,,,
8,3.5098E+04,0.0000E+00,2.8809E+04,5.4248E+03,8.6444E+02,0.0000E+00,8.5676E+03,7.3823E+03,1.2859E+04,1.6632E+03,1.1124E+03,1.9552E+03,2.9032E+02,4.0379E+02,3.1254E+02,1.7776E+02,3.0970E+02,2.7322E+01,3.7125E+01,,,,,,,,,,,,,,
10,1.9169E+04,0.0000E+00,1.5739E+04,2.9498E+03,4.8024E+02,0.0000E+00,5.4210E+03,3.8018E+03,6.5162E+03,1.0300E+03,5.9620E+02,1.0316E+03,1.2267E+02,1.6940E+02,1.9284E+02,9.5702E+01,1.6422E+02,1.1695E+01,1.5777E+01,,,,,,,,,,,,,,
15,6.2650E+03,0.0000E+00,5.1429E+03,9.6065E+02,1.6146E+02,0.0000E+00,2.2380E+03,1.0908E+03,1.8141E+03,4.1534E+02,1.8200E+02,3.0559E+02,2.4454E+01,3.3272E+01,7.7443E+01,2.9441E+01,4.9044E+01,2.3733E+00,3.1539E+00,,,,,,,,,,,,,,
20,2.7983E+03,0.0000E+00,2.2960E+03,4.2886E+02,7.3406E+01,0.0000E+00,1.1498E+03,4.3663E+02,7.0963E+02,2.1174E+02,7.5531E+01,1.2393E+02,7.5327E+00,1.0121E+01,3.9422E+01,1.2281E+01,1.9995E+01,7.3855E-01,9.6924E-01,,,,,,,,,,,,,,
24.298,1.6141E+03,0.0000E+00,1.3240E+03,2.4733E+02,4.2790E+01,0.0000E+00,7.2073E+02,2.3211E+02,3.7114E+02,1.3235E+02,4.1003E+01,6.6163E+01,3.3513E+00,4.4601E+00,2.4631E+01,6.6890E+00,1.0710E+01,3.3048E-01,4.2959E-01,,,,,,,,,,,,,,
24.493,1.0105E+04,8.5269E+03,1.2944E+03,2.4180E+02,4.1850E+01,8.5269E+03,7.0689E+02,2.2613E+02,3.6134E+02,1.2980E+02,3.9980E+01,6.4466E+01,3.2412E+00,4.3119E+00,2.4156E+01,6.5228E+00,1.0436E+01,3.1971E-01,4.1541E-01,,,,,,,,,,,,,,
30,5.9930E+03,5.1073E+03,7.2632E+02,1.3572E+02,2.3712E+01,5.1073E+03,4.2841E+02,1.1598E+02,1.8194E+02,7.8565E+01,2.0892E+01,3.3068E+01,1.3812E+00,1.8175E+00,1.4620E+01,3.4248E+00,5.3545E+00,1.3694E-01,1.7599E-01,,,,,,,,,,,,,,
40,2.7595E+03,2.3715E+03,3.1801E+02,5.9458E+01,1.0513E+01,2.3715E+03,2.0594E+02,4.4375E+01,6.7692E+01,3.7773E+01,8.1744E+00,1.2575E+01,4.0785E-01,5.2758E-01,7.0327E+00,1.3448E+00,2.0434E+00,4.0671E-02,5.1387E-02,,,,,,,,,,,,,,
50,1.4924E+03,1.2889E+03,1.6677E+02,3.1196E+01,5.5580E+00,1.2889E+03,1.1477E+02,2.0884E+01,3.1110E+01,2.1074E+01,3.9028E+00,5.8610E+00,1.5770E-01,2.0108E-01,3.9244E+00,6.4356E-01,9.5461E-01,1.5783E-02,1.9656E-02,,,,,,,,,,,,,,
60,8.9550E+02,7.7572E+02,9.8124E+01,1.8365E+01,3.2895E+00,7.7572E+02,7.0491E+01,1.1237E+01,1.6396E+01,1.2960E+01,2.1215E+00,3.1197E+00,7.2551E-02,9.1366E-02,2.4138E+00,3.5042E-01,5.0898E-01,7.2796E-03,8.9536E-03,,,,,,,,,,,,,,
80,3.9458E+02,3.4293E+02,4.2290E+01,7.9225E+00,1.4292E+00,3.4293E+02,3.2148E+01,4.2112E+00,5.9312E+00,5.9254E+00,8.0580E-01,1.1435E+00,2.1389E-02,2.6392E-02,1.1040E+00,1.3342E-01,1.8698E-01,2.1531E-03,2.5944E-03,,,,,,,,,,,,,,
