PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,,,,,,,,,,,,,
1,6.3672E+05,0.0000E+00,0.0000E+00,5.9130E+05,4.5418E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.4034E+04,7.3597E+04,1.4721E+05,1.2869E+05,1.8777E+05,1.0016E+04,1.0383E+04,2.0436E+04,1.4783E+03,2.1459E+03,9.5942E+02,,,,,,,,,,,,,
1.5,2.4616E+05,0.0000E+00,0.0000E+00,2.2563E+05,2.0525E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.8161E+04,3.5354E+04,6.8778E+04,3.8091E+04,5.5251E+04,4.9265E+03,4.7811E+03,9.2217E+03,4.6246E+02,6.6726E+02,4.6589E+02,,,,,,,,,,,,,
2,1.2206E+05,0.0000E+00,0.0000E+00,1.1086E+05,1.1208E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7101E+04,1.9513E+04,3.7330E+04,1.5102E+04,2.1810E+04,2.9133E+03,2.6046E+03,4.9558E+03,1.8922E+02,2.7174E+02,2.7366E+02,,,,,,,,,,,,,
2.2225,9.3934E+04,0.0000E+00,0.0000E+00,8.5030E+04,8.9032E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4142E+04,1.5478E+04,2.9442E+04,1.0635E+04,1.5333E+04,2.3909E+03,2.0601E+03,3.9006E+03,1.3459E+02,1.9295E+02,2.2415E+02,,,,,,,,,,,,,
2.2403,3.5041E+05,0.0000E+00,2.5833E+05,8.3334E+04,8.7481E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.5833E+05,1.3939E+04,1.5205E+04,2.8909E+04,1.0354E+04,1.4927E+04,2.3552E+03,2.0234E+03,3.8297E+03,1.3113E+02,1.8796E+02,2.2076E+02,,,,,,,,,,,,,
2.31,3.1918E+05,0.0000E+00,2.3389E+05,7.7112E+04,8.1746E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.3389E+05,1.3183E+04,1.4193E+04,2.6941E+04,9.3392E+03,1.3457E+04,2.2225E+03,1.8876E+03,3.5677E+03,1.1860E+02,1.6991E+02,2.0820E+02,,,,,,,,,,,,,
2.3285,4.3638E+05,0.0000E+00,3.5278E+05,7.5569E+04,8.0312E+03,0.0000E+00,0.0000E+00,1.2294E+05,2.2984E+05,1.2992E+04,1.3939E+04,2.6449E+04,9.0912E+03,1.3098E+04,2.1892E+03,1.8537E+03,3.5022E+03,1.1553E+02,1.6550E+02,2.0505E+02,,,,,,,,,,,,,
2.5123,3.6328E+05,0.0000E+00,2.9421E+05,6.2299E+04,6.7774E+03,0.0000E+00,0.0000E+00,1.0136E+05,1.9285E+05,1.1295E+04,1.1721E+04,2.2154E+04,7.0237E+03,1.0106E+04,1.8941E+03,1.5568E+03,2.9309E+03,8.9852E+01,1.2853E+02,1.7720E+02,,,,,,,,,,,,,
2.5324,4.0660E+05,0.0000E+00,3.3890E+05,6.1044E+04,6.6568E+03,0.0000E+00,5.0374E+04,9.9531E+04,1.8899E+05,1.1129E+04,1.1507E+04,2.1740E+04,6.8347E+03,9.8329E+03,1.8654E+03,1.5282E+03,2.8761E+03,8.7492E+01,1.2514E+02,1.7450E+02,,,,,,,,,,,,,
3,2.6773E+05,0.0000E+00,2.2370E+05,3.9501E+04,4.5236E+03,0.0000E+00,3.9834E+04,6.4155E+04,1.1971E+05,8.0915E+03,7.7144E+03,1.4447E+04,3.7987E+03,5.4492E+03,1.3435E+03,1.0232E+03,1.9105E+03,4.9169E+01,6.9719E+01,1.2742E+02,,,,,,,,,,,,,
4,1.2821E+05,0.0000E+00,1.0728E+05,1.8635E+04,2.2963E+03,0.0000E+00,2.4065E+04,2.9333E+04,5.3877E+04,4.6194E+03,3.7697E+03,6.9579E+03,1.3548E+03,1.9329E+03,7.5802E+02,5.0079E+02,9.2250E+02,1.7911E+01,2.5258E+01,7.1797E+01,,,,,,,,,,,,,
5,7.1457E+04,0.0000E+00,5.9822E+04,1.0302E+04,1.3335E+03,0.0000E+00,1.5877E+04,1.5609E+04,2.8336E+04,2.9402E+03,2.0986E+03,3.8298E+03,5.9216E+02,8.4100E+02,4.7962E+02,2.7971E+02,5.0974E+02,7.9379E+00,1.1142E+01,4.5396E+01,,,,,,,,,,,,,
6,4.3947E+04,0.0000E+00,3.6790E+04,6.3106E+03,8.4636E+02,0.0000E+00,1.1110E+04,9.1753E+03,1.6504E+04,2.0103E+03,1.2768E+03,2.3084E+03,2.9619E+02,4.1895E+02,3.2681E+02,1.7072E+02,3.0830E+02,4.0068E+00,5.6012E+00,3.0920E+01,,,,,,,,,,,,,
8,2.0139E+04,0.0000E+00,1.6847E+04,2.8854E+03,4.0591E+02,0.0000E+00,6.1370E+03,3.8647E+03,6.8458E+03,1.0817E+03,5.6524E+02,1.0063E+03,9.6548E+01,1.3561E+02,1.7514E+02,7.5938E+01,1.3511E+02,1.3212E+00,1.8337E+00,1.6563E+01,,,,,,,,,,,,,
10,1.0899E+04,0.0000E+00,9.1108E+03,1.5614E+03,2.2665E+02,0.0000E+00,3.7811E+03,1.9381E+03,3.3916E+03,6.5783E+02,2.9320E+02,5.1554E+02,3.9569E+01,5.5236E+01,1.0629E+02,3.9534E+01,6.9482E+01,5.4557E-01,7.5254E-01,1.0048E+01,,,,,,,,,,,,,
15,3.5126E+03,0.0000E+00,2.9319E+03,5.0402E+02,7.6690E+01,0.0000E+00,1.4929E+03,5.3132E+02,9.0771E+02,2.5654E+02,8.4587E+01,1.4514E+02,7.4636E+00,1.0282E+01,4.1366E+01,1.1480E+01,1.9690E+01,1.0408E-01,1.4167E-01,3.9088E+00,,,,,,,,,,,,,
17.944,2.1167E+03,0.0000E+00,1.7657E+03,3.0400E+02,4.7034E+01,0.0000E+00,9.7135E+02,2.9544E+02,4.9889E+02,1.6653E+02,4.7911E+01,8.1251E+01,3.5114E+00,4.8044E+00,2.6844E+01,6.5190E+00,1.1020E+01,4.9165E-02,6.6461E-02,2.5359E+00,,,,,,,,,,,,,
18.088,1.3991E+04,1.1921E+04,1.7261E+03,2.9722E+02,4.6017E+01,1.1921E+04,9.5270E+02,2.8777E+02,4.8567E+02,1.6332E+02,4.6702E+01,7.9159E+01,3.3949E+00,4.6435E+00,2.6326E+01,6.3552E+00,1.0737E+01,4.7543E-02,6.4246E-02,2.4870E+00,,,,,,,,,,,,,
20,1.0809E+04,9.2537E+03,1.2969E+03,2.2349E+02,3.4919E+01,9.2537E+03,7.4483E+02,2.0626E+02,3.4578E+02,1.2759E+02,3.3789E+01,5.6877E+01,2.2159E+00,3.0184E+00,2.0566E+01,4.6128E+00,7.7241E+00,3.1092E-02,4.1850E-02,1.9426E+00,,,,,,,,,,,,,
30,3.6693E+03,3.1828E+03,4.0521E+02,7.0037E+01,1.1282E+01,3.1828E+03,2.6702E+02,5.2609E+01,8.5579E+01,4.5721E+01,8.8912E+00,1.4516E+01,3.8904E-01,5.2022E-01,7.3745E+00,1.2190E+00,1.9799E+00,5.4948E-03,7.2581E-03,6.9594E-01,,,,,,,,,,,,,
40,1.6557E+03,1.4445E+03,1.7584E+02,3.0455E+01,4.9892E+00,1.4445E+03,1.2516E+02,1.9584E+01,3.1093E+01,2.1463E+01,3.3677E+00,5.3644E+00,1.1189E-01,1.4739E-01,3.4624E+00,4.6289E-01,7.3352E-01,1.5858E-03,2.0630E-03,3.2676E-01,,,,,,,,,,,,,
