PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2
20,2.5890E+04,0.0000E+00,1.4890E+04,8.2786E+03,2.7206E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.4890E+04,1.4835E+03,1.8387E+03,2.6849E+03,1.0337E+03,1.2377E+03,4.1962E+02,4.6955E+02,6.7477E+02,2.5416E+02,3.0337E+02,2.0640E+01,2.4045E+01,1.0803E+02,1.1113E+02,1.5700E+02,4.9077E+01,5.8110E+01,2.7787E-01,3.1278E-01,2.2034E+01,1.9607E+01,2.5593E+01,3.8165E-01,4.1541E-01,2.4713E+00
20.384,2.4618E+04,0.0000E+00,1.4152E+04,7.8759E+03,2.5900E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.4152E+04,1.4301E+03,1.7625E+03,2.5583E+03,9.6811E+02,1.1569E+03,4.0403E+02,4.4986E+02,6.4305E+02,2.3873E+02,2.8443E+02,1.9007E+01,2.2121E+01,1.0397E+02,1.0646E+02,1.4963E+02,4.6123E+01,5.4513E+01,2.5607E-01,2.8797E-01,2.1202E+01,1.8783E+01,2.4391E+01,3.5870E-01,3.8972E-01,2.3783E+00
20.547,3.4167E+04,0.0000E+00,2.3917E+04,7.7128E+03,2.5370E+03,0.0000E+00,0.0000E+00,1.0065E+04,1.3852E+04,1.4083E+03,1.7313E+03,2.5068E+03,9.4180E+02,1.1246E+03,3.9765E+02,4.4183E+02,6.3016E+02,2.3253E+02,2.7683E+02,1.8359E+01,2.1360E+01,1.0231E+02,1.0455E+02,1.4663E+02,4.4938E+01,5.3067E+01,2.4742E-01,2.7814E-01,2.0862E+01,1.8446E+01,2.3902E+01,3.4947E-01,3.7940E-01,2.3403E+00
21.119,3.1853E+04,0.0000E+00,2.2314E+04,7.1757E+03,2.3626E+03,0.0000E+00,0.0000E+00,9.4492E+03,1.2865E+04,1.3355E+03,1.6276E+03,2.3365E+03,8.5635E+02,1.0198E+03,3.7639E+02,4.1514E+02,5.8757E+02,2.1234E+02,2.5211E+02,1.6292E+01,1.8929E+01,9.6789E+01,9.8224E+01,1.3673E+02,4.1066E+01,4.8365E+01,2.1978E-01,2.4673E-01,1.9730E+01,1.7330E+01,2.2289E+01,3.1939E-01,3.4582E-01,2.2137E+00
21.288,3.6090E+04,0.0000E+00,2.6749E+04,7.0267E+03,2.3143E+03,0.0000E+00,4.8573E+03,9.3017E+03,1.2590E+04,1.3150E+03,1.5984E+03,2.2890E+03,8.3297E+02,9.9124E+02,3.7041E+02,4.0768E+02,5.7572E+02,2.0680E+02,2.4534E+02,1.5735E+01,1.8275E+01,9.5238E+01,9.6454E+01,1.3398E+02,4.0003E+01,4.7076E+01,2.1235E-01,2.3829E-01,1.9413E+01,1.7018E+01,2.1840E+01,3.1113E-01,3.3662E-01,2.1782E+00
30,1.5003E+04,0.0000E+00,1.1222E+04,2.8356E+03,9.4478E+02,0.0000E+00,2.6440E+03,3.8831E+03,4.6952E+03,6.6337E+02,7.1491E+02,9.2306E+02,2.4852E+02,2.8571E+02,1.8340E+02,1.8233E+02,2.3395E+02,6.4643E+01,7.4038E+01,3.4601E+00,3.9463E+00,4.6913E+01,4.3102E+01,5.4527E+01,1.2617E+01,1.4332E+01,4.7240E-02,5.2047E-02,9.6594E+00,7.6065E+00,8.8894E+00,9.8221E-02,1.0261E-01,1.0720E+00
40,7.0644E+03,0.0000E+00,5.3070E+03,1.3155E+03,4.4191E+02,0.0000E+00,1.5057E+03,1.8035E+03,1.9978E+03,3.6353E+02,3.5050E+02,4.1573E+02,8.7862E+01,9.7869E+01,9.9464E+01,8.9733E+01,1.0617E+02,2.3577E+01,2.6159E+01,9.5077E-01,1.0661E+00,2.5369E+01,2.1222E+01,2.4789E+01,4.6309E+00,5.0957E+00,1.3079E-02,1.4166E-02,5.2215E+00,3.7465E+00,4.0418E+00,3.6078E-02,3.6513E-02,5.7939E-01
50,3.9084E+03,0.0000E+00,2.9423E+03,7.2214E+02,2.4395E+02,0.0000E+00,9.5014E+02,9.7863E+02,1.0135E+03,2.2429E+02,1.9759E+02,2.1950E+02,3.8726E+01,4.2031E+01,6.1022E+01,5.0800E+01,5.6392E+01,1.0605E+01,1.1463E+01,3.4616E-01,3.8269E-01,1.5541E+01,1.2023E+01,1.3187E+01,2.0916E+00,2.2294E+00,4.7839E-03,5.1083E-03,3.1977E+00,2.1232E+00,2.1503E+00,1.6302E-02,1.6077E-02,3.5480E-01
60,2.3998E+03,0.0000E+00,1.8087E+03,4.4138E+02,1.4974E+02,0.0000E+00,6.4245E+02,5.8876E+02,5.7746E+02,1.4964E+02,1.2234E+02,1.2877E+02,1.9706E+01,2.0923E+01,4.0577E+01,3.1571E+01,3.3245E+01,5.4748E+00,5.7894E+00,1.5122E-01,1.6516E-01,1.0325E+01,7.4783E+00,7.7843E+00,1.0821E+00,1.1294E+00,2.0964E-03,2.2113E-03,2.1240E+00,1.3209E+00,1.2693E+00,8.4449E-03,8.1477E-03,2.3566E-01
80,1.1056E+03,0.0000E+00,8.3420E+02,2.0231E+02,6.9054E+01,0.0000E+00,3.3840E+02,2.6086E+02,2.3494E+02,7.7668E+01,5.6455E+01,5.4544E+01,6.7392E+00,6.9038E+00,2.0985E+01,1.4659E+01,1.4184E+01,1.9088E+00,1.9479E+00,4.0892E-02,4.3773E-02,5.3354E+00,3.4771E+00,3.3281E+00,3.7880E-01,3.8152E-01,5.6935E-04,5.8847E-04,1.0971E+00,6.1431E-01,5.4264E-01,2.9576E-03,2.7545E-03,1.2172E-01
100,6.0425E+02,0.0000E+00,4.5617E+02,1.1029E+02,3.7799E+01,0.0000E+00,2.0207E+02,1.3789E+02,1.1621E+02,4.6088E+01,3.0653E+01,2.7697E+01,2.9301E+00,2.9195E+00,1.2433E+01,7.9966E+00,7.2399E+00,8.4015E-01,8.3414E-01,1.4963E-02,1.5762E-02,3.1603E+00,1.8991E+00,1.6972E+00,1.6719E-01,1.6379E-01,2.0890E-04,2.1248E-04,6.4960E-01,3.3554E-01,2.7737E-01,1.3057E-03,1.1832E-03,7.2073E-02
113.12,4.3260E+02,0.0000E+00,3.2664E+02,7.8869E+01,2.7093E+01,0.0000E+00,1.5117E+02,9.6819E+01,7.8653E+01,3.4398E+01,2.1814E+01,1.8991E+01,1.8504E+00,1.8161E+00,9.2735E+00,5.7045E+00,4.9772E+00,5.3370E-01,5.2206E-01,8.5988E-03,8.9789E-03,2.3573E+00,1.3606E+00,1.1675E+00,1.0635E-01,1.0265E-01,1.2022E-04,1.2119E-04,4.8442E-01,2.3952E-01,1.9082E-01,8.3061E-04,7.4163E-04,5.3746E-02
114.03,1.8188E+03,1.3955E+03,3.1965E+02,7.7177E+01,2.6515E+01,1.3955E+03,1.4833E+02,9.4630E+01,7.6692E+01,3.3750E+01,2.1338E+01,1.8532E+01,1.7962E+00,1.7613E+00,9.0985E+00,5.5809E+00,4.8577E+00,5.1827E-01,5.0648E-01,8.2964E-03,8.6589E-03,2.3128E+00,1.3311E+00,1.1395E+00,1.0329E-01,9.9597E-02,1.1601E-04,1.1688E-04,4.7527E-01,2.3434E-01,1.8625E-01,8.0667E-04,7.1958E-04,5.2731E-02
