PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,
1,7.6023E+05,0.0000E+00,0.0000E+00,0.0000E+00,7.6023E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.8953E+04,4.2731E+04,1.0620E+05,1.4366E+05,2.1109E+05,8.2783E+04,1.0529E+05,7.6257E+03,6.6304E+03,1.4654E+04,6.1659E+02,,,,,,,,
1.4105,3.8750E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.8750E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.4209E+04,2.8488E+04,6.4620E+04,7.8064E+04,1.1256E+05,2.7449E+04,3.4727E+04,4.4279E+03,4.0927E+03,8.5173E+03,3.4815E+02,,,,,,,,
1.4217,7.3130E+05,0.0000E+00,0.0000E+00,3.5006E+05,3.8124E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.5006E+05,2.3926E+04,2.8189E+04,6.3825E+04,7.6845E+04,1.1075E+05,2.6726E+04,3.3809E+04,4.3710E+03,4.0444E+03,8.4057E+03,3.4348E+02,,,,,,,,
1.4536,1.2025E+06,0.0000E+00,0.0000E+00,8.3816E+05,3.6434E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.3816E+05,2.3154E+04,2.7367E+04,6.1659E+04,7.3535E+04,1.0587E+05,2.4815E+04,3.1380E+04,4.2165E+03,3.9127E+03,8.1023E+03,3.3083E+02,,,,,,,,
1.4652,1.4184E+06,0.0000E+00,0.0000E+00,1.0599E+06,3.5842E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1587E+05,8.4408E+05,2.2881E+04,2.7074E+04,6.0892E+04,7.2368E+04,1.0415E+05,2.4159E+04,3.0546E+04,4.1621E+03,3.8661E+03,7.9953E+03,3.2639E+02,,,,,,,,
1.5,1.6829E+06,0.0000E+00,0.0000E+00,1.3415E+06,3.4149E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.3486E+05,8.0659E+05,2.2091E+04,2.6224E+04,5.8677E+04,6.9016E+04,9.9214E+04,2.2320E+04,2.8211E+04,4.0057E+03,3.7316E+03,7.6875E+03,3.1365E+02,,,,,,,,
1.7944,1.0899E+06,0.0000E+00,0.0000E+00,8.5563E+05,2.3423E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.5171E+05,5.0392E+05,1.6791E+04,2.0302E+04,4.3740E+04,4.7206E+04,6.7290E+04,1.2044E+04,1.5179E+04,2.9773E+03,2.8223E+03,5.6506E+03,2.3025E+02,,,,,,,,
1.8088,1.2386E+06,0.0000E+00,0.0000E+00,1.0084E+06,2.3027E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7016E+05,3.4461E+05,4.9360E+05,1.6582E+04,2.0061E+04,4.3154E+04,4.6382E+04,6.6091E+04,1.1712E+04,1.4759E+04,2.9377E+03,2.7864E+03,5.5719E+03,2.2706E+02,,,,,,,,
1.9902,9.8712E+05,0.0000E+00,0.0000E+00,7.9986E+05,1.8726E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4588E+05,2.6947E+05,3.8451E+05,1.4244E+04,1.7338E+04,3.6607E+04,3.7390E+04,5.3047E+04,8.3513E+03,1.0508E+04,2.4995E+03,2.3846E+03,4.6989E+03,1.9203E+02,,,,,,,,
2,1.0370E+06,0.0000E+00,0.0000E+00,8.5178E+05,1.8527E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.1249E+04,1.4491E+05,2.6606E+05,3.7957E+05,1.4133E+04,1.7206E+04,3.6294E+04,3.6970E+04,5.2440E+04,8.2062E+03,1.0324E+04,2.4787E+03,2.3654E+03,4.6575E+03,1.9038E+02,,,,,,,,
2.0061,1.0294E+06,0.0000E+00,0.0000E+00,8.4540E+05,1.8403E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.0646E+04,1.4429E+05,2.6394E+05,3.7652E+05,1.4063E+04,1.7124E+04,3.6100E+04,3.6710E+04,5.2064E+04,8.1168E+03,1.0211E+04,2.4658E+03,2.3534E+03,4.6318E+03,1.8936E+02,,,,,,,,
2.1876,8.4596E+05,0.0000E+00,0.0000E+00,6.9384E+05,1.5213E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.4283E+04,1.2623E+05,2.1192E+05,3.0141E+05,1.2222E+04,1.4925E+04,3.0965E+04,2.9978E+04,4.2350E+04,5.9432E+03,7.4660E+03,2.1261E+03,2.0355E+03,3.9544E+03,1.6243E+02,,,,,,,,
2.2051,8.6707E+05,0.0000E+00,0.0000E+00,7.1761E+05,1.4946E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.6587E+04,5.3813E+04,1.2459E+05,2.0749E+05,2.9512E+05,1.2064E+04,1.4733E+04,3.0524E+04,2.9415E+04,4.1540E+04,5.7736E+03,7.2520E+03,2.0970E+03,2.0081E+03,3.8965E+03,1.6013E+02,,,,,,,,
3,4.2154E+05,0.0000E+00,0.0000E+00,3.4719E+05,7.4347E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3996E+04,3.5152E+04,7.4517E+04,8.8908E+04,1.2462E+05,7.1742E+03,8.7085E+03,1.7117E+04,1.3614E+04,1.8967E+04,1.8350E+03,2.2930E+03,1.2207E+03,1.1637E+03,2.1600E+03,9.4486E+01,,,,,,,,
4,2.0860E+05,0.0000E+00,0.0000E+00,1.7085E+05,3.7757E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5565E+04,2.1826E+04,4.3105E+04,3.7911E+04,5.2441E+04,4.3096E+03,5.0874E+03,9.5600E+03,6.2324E+03,8.5733E+03,5.9882E+02,7.4478E+02,7.2324E+02,6.7216E+02,1.1991E+03,5.5970E+01,,,,,,,,
5,1.1917E+05,0.0000E+00,0.0000E+00,9.7165E+04,2.2009E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0737E+04,1.4382E+04,2.7117E+04,1.8959E+04,2.5970E+04,2.8629E+03,3.2599E+03,5.9260E+03,3.2763E+03,4.4616E+03,2.4214E+02,2.9743E+02,4.7660E+02,4.2819E+02,7.4122E+02,3.6889E+01,,,,,,,,
6,7.4895E+04,0.0000E+00,0.0000E+00,6.0840E+04,1.4055E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.8023E+03,9.9675E+03,1.8155E+04,1.0563E+04,1.4352E+04,2.0332E+03,2.2271E+03,3.9429E+03,1.8940E+03,2.5573E+03,1.1405E+02,1.3955E+02,3.3668E+02,2.9152E+02,4.9253E+02,2.6066E+01,,,,,,,,
8,3.5593E+04,0.0000E+00,0.0000E+00,2.8755E+04,6.8372E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.6113E+03,5.3512E+03,9.2920E+03,4.0599E+03,5.4411E+03,1.1685E+03,1.1835E+03,2.0111E+03,7.6667E+02,1.0206E+03,3.3550E+01,4.0783E+01,1.9220E+02,1.5435E+02,2.5100E+02,1.4887E+01,,,,,,,,
8.3388,3.1940E+04,0.0000E+00,0.0000E+00,2.5785E+04,6.1548E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.2646E+03,4.8742E+03,8.4039E+03,3.5263E+03,4.7162E+03,1.0773E+03,1.0771E+03,1.8194E+03,6.7033E+02,8.9043E+02,2.8024E+01,3.4030E+01,1.7705E+02,1.4041E+02,2.2707E+02,1.3714E+01,,,,,,,,
8.4055,8.4266E+04,0.0000E+00,5.2986E+04,2.5249E+04,6.0315E+03,0.0000E+00,0.0000E+00,0.0000E+00,5.2986E+04,4.2005E+03,4.7870E+03,8.2422E+03,3.4317E+03,4.5879E+03,1.0606E+03,1.0576E+03,1.7846E+03,6.5317E+02,8.6728E+02,2.7068E+01,3.2863E+01,1.7427E+02,1.3787E+02,2.2272E+02,1.3499E+01,,,,,,,,
