PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,,,,,,
1,1.2696E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.2696E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.1064E+04,4.1316E+04,1.2524E+05,1.7761E+05,2.6591E+05,2.4215E+05,3.0989E+05,1.0542E+04,9.2439E+03,2.3150E+04,9.2348E+03,1.3144E+04,1.1266E+03,,,,,,
1.5,5.6541E+05,0.0000E+00,0.0000E+00,0.0000E+00,5.6541E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5099E+04,2.8741E+04,7.3313E+04,9.7031E+04,1.4057E+05,7.2729E+04,9.2343E+04,5.6802E+03,5.4945E+03,1.2467E+04,4.7489E+03,6.6068E+03,5.8257E+02,,,,,,
1.9687,3.1663E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.1663E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7123E+04,2.0651E+04,4.8237E+04,5.7880E+04,8.2390E+04,3.0049E+04,3.7952E+04,3.6794E+03,3.7198E+03,7.9485E+03,2.7951E+03,3.8352E+03,3.6911E+02,,,,,,
1.9844,4.5023E+05,0.0000E+00,0.0000E+00,1.3907E+05,3.1117E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3907E+05,1.6924E+04,2.0434E+04,4.7617E+04,5.6944E+04,8.1016E+04,2.9255E+04,3.6943E+04,3.6319E+03,3.6755E+03,7.8407E+03,2.7493E+03,3.7709E+03,3.6415E+02,,,,,,
2,6.9718E+05,0.0000E+00,0.0000E+00,3.9128E+05,3.0589E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.9128E+05,1.6731E+04,2.0222E+04,4.7015E+04,5.6037E+04,7.9686E+04,2.8496E+04,3.5979E+04,3.5859E+03,3.6326E+03,7.7361E+03,2.7049E+03,3.7086E+03,3.5935E+02,,,,,,
2.0425,8.3541E+05,0.0000E+00,0.0000E+00,5.4327E+05,2.9214E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.4327E+05,1.6219E+04,1.9662E+04,4.5429E+04,5.3655E+04,7.6201E+04,2.6547E+04,3.3504E+04,3.4649E+03,3.5191E+03,7.4613E+03,2.5887E+03,3.5456E+03,3.4676E+02,,,,,,
2.0588,9.2657E+05,0.0000E+00,0.0000E+00,6.3949E+05,2.8708E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.3645E+04,5.4585E+05,1.6027E+04,1.9451E+04,4.4839E+04,5.2771E+04,7.4911E+04,2.5841E+04,3.2608E+04,3.4200E+03,3.4768E+03,7.3593E+03,2.5457E+03,3.4853E+03,3.4209E+02,,,,,,
2.4492,8.0689E+05,0.0000E+00,0.0000E+00,6.1172E+05,1.9517E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5368E+05,3.5804E+05,1.2296E+04,1.5202E+04,3.3444E+04,3.6233E+04,5.0919E+04,1.4209E+04,1.7867E+04,2.5654E+03,2.6522E+03,5.4173E+03,1.7447E+03,2.3683E+03,2.5361E+02,,,,,,
2.4688,9.1660E+05,0.0000E+00,0.0000E+00,7.2490E+05,1.9170E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2609E+05,2.4839E+05,3.5042E+05,1.2145E+04,1.5024E+04,3.2984E+04,3.5589E+04,4.9993E+04,1.3817E+04,1.7372E+04,2.5313E+03,2.6186E+03,5.3400E+03,1.7138E+03,2.3253E+03,2.5010E+02,,,,,,
2.788,6.8208E+05,0.0000E+00,0.0000E+00,5.3660E+05,1.4548E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0537E+05,1.7953E+05,2.5170E+05,1.0015E+04,1.2485E+04,2.6597E+04,2.6899E+04,3.7526E+04,8.9754E+03,1.1256E+04,2.0610E+03,2.1472E+03,4.2746E+03,1.2955E+03,1.7475E+03,2.0213E+02,,,,,,
2.8103,7.1097E+05,0.0000E+00,0.0000E+00,5.6812E+05,1.4285E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.2083E+04,1.0407E+05,1.7571E+05,2.4625E+05,9.8877E+03,1.2330E+04,2.6217E+04,2.6398E+04,3.6811E+04,8.7220E+03,1.0937E+04,2.0331E+03,2.1190E+03,4.2117E+03,1.2715E+03,1.7144E+03,1.9931E+02,,,,,,
3,6.0922E+05,0.0000E+00,0.0000E+00,4.8628E+05,1.2293E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.8655E+04,9.3323E+04,1.4719E+05,2.0711E+05,8.8960E+03,1.1116E+04,2.3270E+04,2.2586E+04,3.1382E+04,6.8878E+03,8.6247E+03,1.8178E+03,1.8987E+03,3.7265E+03,1.0885E+03,1.4629E+03,1.7753E+02,,,,,,
3.0286,5.9569E+05,0.0000E+00,0.0000E+00,4.7542E+05,1.2027E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.8319E+04,9.1796E+04,1.4344E+05,2.0187E+05,8.7598E+03,1.0948E+04,2.2867E+04,2.2074E+04,3.0655E+04,6.6544E+03,8.3307E+03,1.7884E+03,1.8684E+03,3.6603E+03,1.0640E+03,1.4293E+03,1.7455E+02,,,,,,
3.0528,6.1065E+05,0.0000E+00,0.0000E+00,4.9257E+05,1.1808E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5192E+04,3.8022E+04,9.0524E+04,1.4127E+05,1.9757E+05,8.6466E+03,1.0808E+04,2.2533E+04,2.1652E+04,3.0054E+04,6.4639E+03,8.0908E+03,1.7640E+03,1.8432E+03,3.6054E+03,1.0437E+03,1.4015E+03,1.7209E+02,,,,,,
4,3.2033E+05,0.0000E+00,0.0000E+00,2.5771E+05,6.2618E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7671E+04,2.6005E+04,5.6415E+04,6.6324E+04,9.1298E+04,5.4907E+03,6.8325E+03,1.3423E+04,1.0926E+04,1.4942E+04,2.3601E+03,2.9366E+03,1.0979E+03,1.1438E+03,2.1267E+03,5.2913E+02,7.0108E+02,1.0822E+02,,,,,,
5,1.8505E+05,0.0000E+00,0.0000E+00,1.4844E+05,3.6607E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2691E+04,1.8358E+04,3.6665E+04,3.4224E+04,4.6506E+04,3.7127E+03,4.5388E+03,8.5204E+03,5.9718E+03,8.0662E+03,9.9458E+02,1.2311E+03,7.3350E+02,7.5212E+02,1.3432E+03,2.9256E+02,3.7765E+02,7.2232E+01,,,,,,
6,1.1710E+05,0.0000E+00,0.0000E+00,9.3666E+04,2.3430E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.4399E+03,1.3245E+04,2.5192E+04,1.9531E+04,2.6258E+04,2.6704E+03,3.1881E+03,5.7757E+03,3.5579E+03,4.7564E+03,4.8123E+02,5.9304E+02,5.2353E+02,5.2524E+02,9.0817E+02,1.7511E+02,2.2373E+02,5.1535E+01,,,,,,
