PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,,,,,,,,,,,
5.099,1.3103E+05,0.0000E+00,8.7515E+04,3.6004E+04,7.5067E+03,0.0000E+00,0.0000E+00,0.0000E+00,8.7515E+04,6.3097E+03,6.7361E+03,1.2200E+04,4.4952E+03,6.2628E+03,1.4459E+03,1.3302E+03,2.3888E+03,7.2065E+02,1.0009E+03,2.1758E+02,1.4691E+02,2.5580E+02,,,,,,,,,,,
5.1398,1.7448E+05,0.0000E+00,1.3187E+05,3.5260E+04,7.3582E+03,0.0000E+00,0.0000E+00,4.6192E+04,8.5675E+04,6.2151E+03,6.6126E+03,1.1966E+04,4.3737E+03,6.0920E+03,1.4235E+03,1.3057E+03,2.3432E+03,7.0191E+02,9.7463E+02,2.1418E+02,1.4419E+02,2.5091E+02,,,,,,,,,,,
5.412,1.5431E+05,0.0000E+00,1.1705E+05,3.0794E+04,6.4630E+03,0.0000E+00,0.0000E+00,4.1828E+04,7.5223E+04,5.6319E+03,5.8604E+03,1.0550E+04,3.6605E+03,5.0907E+03,1.2862E+03,1.1567E+03,2.0666E+03,5.9135E+02,8.1973E+02,1.9336E+02,1.2770E+02,2.2130E+02,,,,,,,,,,,
5.4554,1.7457E+05,0.0000E+00,1.3808E+05,3.0155E+04,6.3344E+03,0.0000E+00,2.3377E+04,4.0969E+04,7.3734E+04,5.5463E+03,5.7512E+03,1.0346E+04,3.5609E+03,4.9509E+03,1.2661E+03,1.1351E+03,2.0267E+03,5.7581E+02,7.9798E+02,1.9032E+02,1.2531E+02,2.1702E+02,,,,,,,,,,,
6,1.3805E+05,0.0000E+00,1.0960E+05,2.3469E+04,4.9803E+03,0.0000E+00,1.9727E+04,3.2479E+04,5.7395E+04,4.6159E+03,4.5830E+03,8.1720E+03,2.5557E+03,3.5421E+03,1.0483E+03,9.0452E+02,1.6016E+03,4.1796E+02,5.7737E+02,1.5735E+02,1.0165E+02,1.7151E+02,,,,,,,,,,,
8,6.5342E+04,0.0000E+00,5.2051E+04,1.0913E+04,2.3777E+03,0.0000E+00,1.1886E+04,1.4854E+04,2.5312E+04,2.6084E+03,2.2429E+03,3.8923E+03,9.1452E+02,1.2549E+03,5.8481E+02,4.4337E+02,7.6551E+02,1.5407E+02,2.1065E+02,8.7477E+01,4.9844E+01,8.2013E+01,,,,,,,,,,,
10,3.6226E+04,0.0000E+00,2.8918E+04,5.9812E+03,1.3264E+03,0.0000E+00,7.7988E+03,7.9092E+03,1.3210E+04,1.6495E+03,1.2534E+03,2.1297E+03,4.0181E+02,5.4669E+02,3.6694E+02,2.4849E+02,4.2050E+02,6.9073E+01,9.3623E+01,5.4786E+01,2.7951E+01,4.5079E+01,,,,,,,,,,,
15,1.2101E+04,0.0000E+00,9.6761E+03,1.9741E+03,4.5047E+02,0.0000E+00,3.4166E+03,2.4015E+03,3.8580E+03,6.9175E+02,4.1100E+02,6.7157E+02,8.5491E+01,1.1429E+02,1.5255E+02,8.2171E+01,1.3384E+02,1.5164E+01,2.0192E+01,2.2934E+01,9.2556E+00,1.4367E+01,,,,,,,,,,,
20,5.4739E+03,0.0000E+00,4.3786E+03,8.8907E+02,2.0627E+02,0.0000E+00,1.8211E+03,9.9947E+02,1.5580E+03,3.6267E+02,1.7886E+02,2.8379E+02,2.7512E+01,3.6253E+01,7.9721E+01,3.5986E+01,5.6940E+01,4.9598E+00,6.5109E+00,1.1977E+01,4.0576E+00,6.1183E+00,,,,,,,,,,,
30,1.7611E+03,0.0000E+00,1.4087E+03,2.8502E+02,6.7391E+01,0.0000E+00,7.1222E+02,2.7943E+02,4.1702E+02,1.4011E+02,5.2701E+01,7.9980E+01,5.3486E+00,6.8836E+00,3.0723E+01,1.0689E+01,1.6180E+01,9.8068E-01,1.2584E+00,4.6130E+00,1.2066E+00,1.7407E+00,,,,,,,,,,,
34.524,1.1844E+03,0.0000E+00,9.4732E+02,1.9155E+02,4.5539E+01,0.0000E+00,5.0761E+02,1.7815E+02,2.6156E+02,9.9669E+01,3.4112E+01,5.0924E+01,3.0065E+00,3.8339E+00,2.1846E+01,6.9361E+00,1.0328E+01,5.5402E-01,7.0050E-01,3.2797E+00,7.8331E-01,1.1116E+00,,,,,,,,,,,
