PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2,
100,7.7239E+02,0.0000E+00,5.7985E+02,1.4206E+02,5.0487E+01,0.0000E+00,2.3641E+02,1.9183E+02,1.5161E+02,5.4702E+01,4.2324E+01,3.6302E+01,4.4224E+00,4.3054E+00,1.5091E+01,1.1280E+01,9.7432E+00,1.3130E+00,1.2757E+00,2.8048E-02,2.9176E-02,4.0498E+00,2.8529E+00,2.4336E+00,2.8653E-01,2.7424E-01,1.8337E-03,1.8430E-03,8.4317E-01,5.0846E-01,3.8602E-01,1.9692E-03,1.6722E-03,8.4332E-02,
129,3.9031E+02,0.0000E+00,2.9315E+02,7.1612E+01,2.5547E+01,0.0000E+00,1.3102E+02,9.3876E+01,6.8253E+01,3.0131E+01,2.1314E+01,1.6800E+01,1.7332E+00,1.6337E+00,8.2996E+00,5.7090E+00,4.5342E+00,5.2129E-01,4.9058E-01,9.0732E-03,9.2635E-03,2.2269E+00,1.4457E+00,1.1317E+00,1.1410E-01,1.0580E-01,5.9531E-04,5.8697E-04,4.6342E-01,2.5771E-01,1.7994E-01,7.8444E-04,6.4539E-04,4.6350E-02,
130.03,1.5492E+03,1.1671E+03,2.8696E+02,7.0094E+01,2.5009E+01,1.1671E+03,1.2859E+02,9.1798E+01,6.6568E+01,2.9569E+01,2.0859E+01,1.6398E+01,1.6832E+00,1.5851E+00,8.1444E+00,5.5880E+00,4.4264E+00,5.0647E-01,4.7616E-01,8.7599E-03,8.9385E-03,2.1852E+00,1.4151E+00,1.1049E+00,1.1087E-01,1.0270E-01,5.7479E-04,5.6643E-04,4.5475E-01,2.5225E-01,1.7567E-01,7.6224E-04,6.2648E-04,4.5483E-02,
150,1.0840E+03,8.2329E+02,1.9582E+02,4.7778E+01,1.7083E+01,8.2329E+02,9.1798E+01,6.1470E+01,4.2551E+01,2.1070E+01,1.4163E+01,1.0622E+01,9.9810E-01,9.2412E-01,5.8005E+00,3.8041E+00,2.8754E+00,3.0217E-01,2.7939E-01,4.6762E-03,4.7269E-03,1.5564E+00,9.6754E-01,7.1821E-01,6.6242E-02,6.0345E-02,3.0736E-04,2.9999E-04,3.2380E-01,1.7186E-01,1.1421E-01,4.5547E-04,3.6826E-04,3.2386E-02,
200,5.2326E+02,4.0188E+02,9.1195E+01,2.2213E+01,7.9709E+00,4.0188E+02,4.6258E+01,2.7538E+01,1.7398E+01,1.0600E+01,6.4987E+00,4.4423E+00,3.5410E-01,3.1828E-01,2.9166E+00,1.7537E+00,1.2083E+00,1.0828E-01,9.7259E-02,1.3686E-03,1.3618E-03,7.8343E-01,4.4656E-01,3.0219E-01,2.3799E-02,2.1057E-02,9.0222E-05,8.6631E-05,1.6276E-01,7.9334E-02,4.8066E-02,1.6368E-04,1.2860E-04,1.6280E-02,
300,1.8922E+02,1.4690E+02,3.1807E+01,7.7304E+00,2.7843E+00,1.4690E+02,1.7630E+01,9.0887E+00,5.0890E+00,4.0391E+00,2.2002E+00,1.3300E+00,8.5897E-02,7.5184E-02,1.1112E+00,5.9682E-01,3.6369E-01,2.6537E-02,2.3239E-02,2.5716E-04,2.5255E-04,2.9841E-01,1.5218E-01,9.1059E-02,5.8511E-03,5.0433E-03,1.7048E-05,1.6267E-05,6.1992E-02,2.7042E-02,1.4489E-02,4.0245E-05,3.0845E-05,6.2019E-03,
400,9.4204E+01,7.3599E+01,1.5492E+01,3.7576E+00,1.3560E+00,7.3599E+01,9.0248E+00,4.2586E+00,2.2083E+00,2.0678E+00,1.0444E+00,5.8370E-01,3.2952E-02,2.8733E-02,5.6888E-01,2.8404E-01,1.6006E-01,1.0239E-02,8.8837E-03,8.4184E-05,8.3272E-05,1.5276E-01,7.2488E-02,4.0088E-02,2.2606E-03,1.9400E-03,5.5640E-06,5.3951E-06,3.1732E-02,1.2882E-02,6.3803E-03,1.5552E-05,1.1891E-05,3.1759E-03,
500,5.6013E+01,4.3969E+01,9.0588E+00,2.1932E+00,7.9241E-01,4.3969E+01,5.4496E+00,2.4197E+00,1.1895E+00,1.2484E+00,5.9789E-01,3.1638E-01,1.6227E-02,1.4245E-02,3.4346E-01,1.6307E-01,8.6732E-02,5.0582E-03,4.4237E-03,3.6996E-05,3.7073E-05,9.2211E-02,4.1587E-02,2.1769E-02,1.1175E-03,9.6528E-04,2.4382E-06,2.4257E-06,1.9155E-02,7.3901E-03,3.4651E-03,7.6935E-06,5.9325E-06,1.9181E-03,
600,3.7199E+01,2.9308E+01,5.9371E+00,1.4350E+00,5.1886E-01,2.9308E+01,3.6519E+00,1.5519E+00,7.3330E-01,8.3633E-01,3.8528E-01,1.9577E-01,9.3384E-03,8.2935E-03,2.3007E-01,1.0520E-01,5.3718E-02,2.9200E-03,2.5806E-03,1.9290E-05,2.0243E-05,6.1761E-02,2.6835E-02,1.3485E-02,6.4494E-04,5.6379E-04,1.2821E-06,1.3186E-06,1.2829E-02,4.7688E-03,2.1466E-03,4.4433E-06,3.4718E-06,1.2857E-03,
800,2.0078E+01,1.5899E+01,3.1461E+00,7.5842E-01,2.7440E-01,1.5899E+01,1.9883E+00,8.0015E-01,3.5763E-01,4.5498E-01,1.9964E-01,9.5826E-02,4.1744E-03,3.7872E-03,1.2513E-01,5.4589E-02,2.6304E-02,1.3107E-03,1.1762E-03,7.8123E-06,8.6663E-06,3.3589E-02,1.3926E-02,6.6055E-03,2.8930E-04,2.5780E-04,5.1644E-07,5.5592E-07,6.9769E-03,2.4749E-03,1.0521E-03,1.9976E-06,1.6008E-06,7.0082E-04,
1000,1.2744E+01,1.0123E+01,1.9738E+00,4.7488E-01,1.7186E-01,1.0123E+01,1.2663E+00,4.9477E-01,2.1272E-01,2.8955E-01,1.2377E-01,5.7096E-02,2.3268E-03,2.1430E-03,7.9610E-02,3.3858E-02,1.5672E-02,7.3003E-04,6.7482E-04,4.1290E-06,4.4787E-06,2.1368E-02,8.6407E-03,3.9371E-03,1.6165E-04,1.4760E-04,2.6269E-07,2.9988E-07,4.4387E-03,1.5356E-03,6.2725E-04,1.1200E-06,9.2417E-07,4.4732E-04,
1500,5.8688E+00,4.6778E+00,8.9758E-01,2.1540E-01,7.7963E-02,4.6778E+00,5.8339E-01,2.2384E-01,9.0345E-02,1.3323E-01,5.6188E-02,2.4197E-02,9.0806E-04,8.7961E-04,3.6614E-02,1.5368E-02,6.6603E-03,2.8714E-04,2.7242E-04,1.6348E-06,1.7111E-06,9.8258E-03,3.9208E-03,1.6733E-03,6.3341E-05,6.0018E-05,9.0764E-08,1.1404E-07,2.0416E-03,6.9698E-04,2.6704E-04,4.4636E-07,3.8996E-07,2.0856E-04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,6,8,2,2,4,4,6,3,4,2,2,4,0.4,0.6,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
