PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2,
4,1.8585E+05,0.0000E+00,0.0000E+00,0.0000E+00,1.8585E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.6433E+03,9.5338E+03,2.5793E+04,3.0229E+04,4.1471E+04,1.8228E+04,2.2481E+04,2.3597E+03,2.7338E+03,6.6552E+03,6.0951E+03,8.2377E+03,9.8336E+02,1.1875E+03,5.1212E+02,4.9967E+02,1.0612E+03,4.1382E+01,4.9328E+01,5.0894E+01,
4.0107,1.8469E+05,0.0000E+00,0.0000E+00,0.0000E+00,1.8469E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.6138E+03,9.5022E+03,2.5672E+04,3.0052E+04,4.1217E+04,1.8062E+04,2.2275E+04,2.3495E+03,2.7232E+03,6.6225E+03,6.0592E+03,8.1875E+03,9.7482E+02,1.1770E+03,5.0983E+02,4.9764E+02,1.0560E+03,4.1139E+01,4.9027E+01,5.0667E+01,
4.0428,4.1420E+05,0.0000E+00,0.0000E+00,2.3292E+05,1.8129E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3292E+05,7.5258E+03,9.4084E+03,2.5313E+04,2.9530E+04,4.0466E+04,1.7576E+04,2.1669E+04,2.3191E+03,2.6917E+03,6.5259E+03,5.9533E+03,8.0389E+03,9.4985E+02,1.1464E+03,5.0302E+02,4.9163E+02,1.0404E+03,4.0419E+01,4.8137E+01,4.9994E+01,
4.2325,3.7697E+05,0.0000E+00,0.0000E+00,2.1412E+05,1.6285E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1412E+05,7.0329E+03,8.8821E+03,2.3338E+04,2.6667E+04,3.6371E+04,1.5010E+04,1.8476E+04,2.1517E+03,2.5160E+03,5.9948E+03,5.3742E+03,7.2293E+03,8.1686E+02,9.8440E+02,4.6554E+02,4.5823E+02,9.5484E+02,3.6485E+01,4.3289E+01,4.6290E+01,
4.2664,5.1709E+05,0.0000E+00,0.0000E+00,3.5726E+05,1.5983E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4755E+05,2.0971E+05,6.9497E+03,8.7927E+03,2.3009E+04,2.6192E+04,3.5697E+04,1.4601E+04,1.7968E+04,2.1238E+03,2.4864E+03,5.9065E+03,5.2786E+03,7.0959E+03,7.9558E+02,9.5849E+02,4.5930E+02,4.5262E+02,9.4062E+02,3.5836E+01,4.2491E+01,4.5673E+01,
4.8236,3.8638E+05,0.0000E+00,0.0000E+00,2.6672E+05,1.1966E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1323E+05,1.5349E+05,5.7782E+03,7.4709E+03,1.8403E+04,1.9739E+04,2.6617E+04,9.4970E+03,1.1640E+04,1.7339E+03,2.0649E+03,4.6864E+03,3.9818E+03,5.2983E+03,5.2690E+02,6.3203E+02,3.7269E+02,3.7329E+02,7.4469E+02,2.7036E+01,3.1731E+01,3.7104E+01,
4.8622,4.4185E+05,0.0000E+00,0.0000E+00,3.2444E+05,1.1741E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.3269E+04,1.1100E+05,1.5017E+05,5.7089E+03,7.3884E+03,1.8133E+04,1.9373E+04,2.6103E+04,9.2324E+03,1.1313E+04,1.7110E+03,2.0396E+03,4.6156E+03,3.9082E+03,5.1969E+03,5.1278E+02,6.1492E+02,3.6763E+02,3.6857E+02,7.3334E+02,2.6536E+01,3.1124E+01,3.6596E+01,
5,4.1306E+05,0.0000E+00,0.0000E+00,3.0319E+05,1.0987E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.0953E+04,1.0332E+05,1.3892E+05,5.4713E+03,7.1041E+03,1.7212E+04,1.8135E+04,2.4367E+04,8.3593E+03,1.0233E+04,1.6331E+03,1.9531E+03,4.3749E+03,3.6593E+03,4.8547E+03,4.6615E+02,5.5834E+02,3.5043E+02,3.5242E+02,6.9480E+02,2.4848E+01,2.9077E+01,3.4892E+01,
5.9416,2.6563E+05,0.0000E+00,0.0000E+00,1.9296E+05,7.2671E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.5572E+04,6.3712E+04,8.3675E+04,4.1699E+03,5.5221E+03,1.2390E+04,1.1898E+04,1.5744E+04,4.4780E+03,5.4495E+03,1.2199E+03,1.4824E+03,3.1224E+03,2.4088E+03,3.1499E+03,2.5532E+02,2.9911E+02,2.5989E+02,2.6539E+02,4.9473E+02,1.6366E+01,1.8877E+01,2.5924E+01,
5.9891,2.7632E+05,0.0000E+00,0.0000E+00,2.0504E+05,7.1285E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6025E+04,4.4918E+04,6.2255E+04,8.1840E+04,4.1172E+03,5.4551E+03,1.2198E+04,1.1663E+04,1.5421E+04,4.3487E+03,5.2909E+03,1.2033E+03,1.4631E+03,3.0733E+03,2.3615E+03,3.0860E+03,2.4819E+02,2.9067E+02,2.5629E+02,2.6186E+02,4.8690E+02,1.6045E+01,1.8495E+01,2.5567E+01,
