PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
1,6.3899E+05,0.0000E+00,5.7331E+05,6.5205E+04,4.7604E+02,0.0000E+00,1.0339E+05,1.5929E+05,3.1063E+05,1.7474E+04,1.4915E+04,2.9054E+04,1.5237E+03,2.2382E+03,4.7604E+02,,,,,,,,,,,,,,,,,,
1.5,2.3231E+05,0.0000E+00,2.0764E+05,2.4457E+04,2.1529E+02,0.0000E+00,5.2446E+04,5.2881E+04,1.0231E+05,7.9795E+03,5.3237E+03,1.0295E+04,3.4825E+02,5.1025E+02,2.1529E+02,,,,,,,,,,,,,,,,,,
2,1.0997E+05,0.0000E+00,9.7977E+04,1.1878E+04,1.1960E+02,0.0000E+00,3.0487E+04,2.3081E+04,4.4409E+04,4.4531E+03,2.4413E+03,4.6965E+03,1.1670E+02,1.7065E+02,1.1960E+02,,,,,,,,,,,,,,,,,,
3,3.7199E+04,0.0000E+00,3.2996E+04,4.1524E+03,5.0601E+01,0.0000E+00,1.3283E+04,6.7763E+03,1.2937E+04,1.8811E+03,7.6119E+02,1.4531E+03,2.3258E+01,3.3753E+01,5.0601E+01,,,,,,,,,,,,,,,,,,
4,1.6943E+04,0.0000E+00,1.4989E+04,1.9278E+03,2.6576E+01,0.0000E+00,7.0636E+03,2.7347E+03,5.1907E+03,9.8946E+02,3.1782E+02,6.0318E+02,7.0678E+00,1.0224E+01,2.6576E+01,,,,,,,,,,,,,,,,,,
5,9.1337E+03,0.0000E+00,8.0663E+03,1.0515E+03,1.5833E+01,0.0000E+00,4.2341E+03,1.3266E+03,2.5057E+03,5.8989E+02,1.5748E+02,2.9741E+02,2.7481E+00,3.9643E+00,1.5833E+01,,,,,,,,,,,,,,,,,,
5.9517,5.6138E+03,0.0000E+00,4.9521E+03,6.5128E+02,1.0449E+01,0.0000E+00,2.8034E+03,7.4577E+02,1.4030E+03,3.8945E+02,8.9790E+01,1.6886E+02,1.3034E+00,1.8757E+00,1.0449E+01,,,,,,,,,,,,,,,,,,
5.9993,4.4395E+04,3.8905E+04,4.8423E+03,6.3709E+02,1.0250E+01,3.8905E+04,2.7502E+03,7.2620E+02,1.3659E+03,3.8203E+02,8.7487E+01,1.6450E+02,1.2595E+00,1.8123E+00,1.0250E+01,,,,,,,,,,,,,,,,,,
6,4.4395E+04,3.8907E+04,4.8408E+03,6.3689E+02,1.0247E+01,3.8907E+04,2.7495E+03,7.2593E+02,1.3654E+03,3.8193E+02,8.7455E+01,1.6444E+02,1.2588E+00,1.8114E+00,1.0247E+01,,,,,,,,,,,,,,,,,,
8,2.1576E+04,1.9139E+04,2.1464E+03,2.8595E+02,5.0511E+00,1.9139E+04,1.3590E+03,2.7461E+02,5.1276E+02,1.8832E+02,3.3756E+01,6.2994E+01,3.6234E-01,5.1914E-01,5.0511E+00,,,,,,,,,,,,,,,,,,
