PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,,,,,,,,,,,,,,,,,,,,,
1,7.3101E+04,0.0000E+00,6.9800E+04,3.3010E+03,0.0000E+00,0.0000E+00,3.0801E+04,1.3149E+04,2.5849E+04,2.6478E+03,2.2022E+02,4.3296E+02,,,,,,,,,,,,,,,,,,,,,
1.5,2.4866E+04,0.0000E+00,2.3601E+04,1.2654E+03,0.0000E+00,0.0000E+00,1.2766E+04,3.6599E+03,7.1743E+03,1.0791E+03,6.2936E+01,1.2338E+02,,,,,,,,,,,,,,,,,,,,,
1.8267,1.4582E+04,0.0000E+00,1.3799E+04,7.8254E+02,0.0000E+00,0.0000E+00,8.1189E+03,1.9208E+03,3.7594E+03,6.8374E+02,3.3408E+01,6.5386E+01,,,,,,,,,,,,,,,,,,,,,
1.8413,1.4849E+05,1.3422E+05,1.3501E+04,7.6731E+02,0.0000E+00,1.3422E+05,7.9690E+03,1.8707E+03,3.6611E+03,6.7105E+02,3.2555E+01,6.3711E+01,,,,,,,,,,,,,,,,,,,,,
2,1.2942E+05,1.1803E+05,1.0757E+04,6.2545E+02,0.0000E+00,1.1803E+05,6.5575E+03,1.4207E+03,2.7786E+03,5.5197E+02,2.4858E+01,4.8616E+01,,,,,,,,,,,,,,,,,,,,,
3,4.5548E+04,4.1847E+04,3.4783E+03,2.2298E+02,0.0000E+00,4.1847E+04,2.4285E+03,3.5605E+02,6.9380E+02,2.0431E+02,6.3403E+00,1.2326E+01,,,,,,,,,,,,,,,,,,,,,
4,2.1054E+04,1.9410E+04,1.5394E+03,1.0443E+02,0.0000E+00,1.9410E+04,1.1591E+03,1.2924E+02,2.5108E+02,9.7607E+01,2.3222E+00,4.5013E+00,,,,,,,,,,,,,,,,,,,,,
5,1.1369E+04,1.0500E+04,8.1169E+02,5.7162E+01,0.0000E+00,1.0500E+04,6.4155E+02,5.7914E+01,1.1222E+02,5.4092E+01,1.0469E+00,2.0235E+00,,,,,,,,,,,,,,,,,,,,,
6,6.8022E+03,6.2889E+03,4.7867E+02,3.4623E+01,0.0000E+00,6.2889E+03,3.9141E+02,2.9750E+01,5.7514E+01,3.3042E+01,5.3996E-01,1.0411E+00,,,,,,,,,,,,,,,,,,,,,
8,2.9744E+03,2.7530E+03,2.0602E+02,1.5415E+01,0.0000E+00,2.7530E+03,1.7615E+02,1.0211E+01,1.9657E+01,1.4871E+01,1.8632E-01,3.5769E-01,,,,,,,,,,,,,,,,,,,,,
10,1.5464E+03,1.4321E+03,1.0621E+02,8.1288E+00,0.0000E+00,1.4321E+03,9.3408E+01,4.3899E+00,8.4168E+00,7.8947E+00,8.0377E-02,1.5370E-01,,,,,,,,,,,,,,,,,,,,,
15,4.5934E+02,4.2562E+02,3.1251E+01,2.4696E+00,0.0000E+00,4.2562E+02,2.8585E+01,9.1907E-01,1.7467E+00,2.4206E+00,1.6912E-02,3.2063E-02,,,,,,,,,,,,,,,,,,,,,
20,1.9075E+02,1.7679E+02,1.2926E+01,1.0389E+00,0.0000E+00,1.7679E+02,1.2067E+01,2.9755E-01,5.6130E-01,1.0231E+00,5.4920E-03,1.0331E-02,,,,,,,,,,,,,,,,,,,,,
30,5.4131E+01,5.0175E+01,3.6568E+00,2.9907E-01,0.0000E+00,5.0175E+01,3.4855E+00,5.9875E-02,1.1140E-01,2.9591E-01,1.1087E-03,2.0561E-03,,,,,,,,,,,,,,,,,,,,,
40,2.1868E+01,2.0271E+01,1.4759E+00,1.2180E-01,0.0000E+00,2.0271E+01,1.4216E+00,1.9118E-02,3.5159E-02,1.2080E-01,3.5478E-04,6.4995E-04,,,,,,,,,,,,,,,,,,,,,
50,1.0761E+01,9.9749E+00,7.2612E-01,6.0256E-02,0.0000E+00,9.9749E+00,7.0386E-01,7.8928E-03,1.4365E-02,5.9843E-02,1.4670E-04,2.6574E-04,,,,,,,,,,,,,,,,,,,,,
60,6.0099E+00,5.5706E+00,4.0549E-01,3.3777E-02,0.0000E+00,5.5706E+00,3.9473E-01,3.8548E-03,6.9116E-03,3.3578E-02,7.1407E-05,1.2810E-04,,,,,,,,,,,,,,,,,,,,,
80,2.3873E+00,2.2126E+00,1.6117E-01,1.3483E-02,0.0000E+00,2.2126E+00,1.5773E-01,1.2462E-03,2.1952E-03,1.3420E-02,2.3098E-05,4.0705E-05,,,,,,,,,,,,,,,,,,,,,
100,1.1647E+00,1.0794E+00,7.8660E-02,6.5984E-03,0.0000E+00,1.0794E+00,7.7227E-02,5.2425E-04,9.0879E-04,6.5718E-03,9.7146E-06,1.6857E-05,,,,,,,,,,,,,,,,,,,,,
