PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,,,,,,,,,,,
1,1.4874E+06,0.0000E+00,0.0000E+00,1.3125E+06,1.7498E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.4344E+04,1.0417E+05,2.2512E+05,3.6972E+05,5.3911E+05,1.9900E+04,2.2389E+04,4.5347E+04,3.4622E+04,5.0109E+04,2.0657E+03,1.8905E+02,3.5548E+02,,,,,,,,,,,
1.5,5.9552E+05,0.0000E+00,0.0000E+00,5.2111E+05,7.4411E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.2453E+04,5.9186E+04,1.1988E+05,1.2257E+05,1.7701E+05,9.9612E+03,1.1109E+04,2.1753E+04,1.2454E+04,1.7862E+04,1.0113E+03,9.1814E+01,1.6847E+02,,,,,,,,,,,
2,2.9950E+05,0.0000E+00,0.0000E+00,2.6040E+05,3.9100E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6884E+04,3.5806E+04,7.0180E+04,5.2374E+04,7.5156E+04,5.9739E+03,6.4275E+03,1.2313E+04,5.6241E+03,8.0142E+03,5.9956E+02,5.2576E+01,9.5170E+01,,,,,,,,,,,
3,1.0956E+05,0.0000E+00,0.0000E+00,9.4413E+04,1.5142E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3362E+04,1.5869E+04,2.9965E+04,1.4542E+04,2.0675E+04,2.8337E+03,2.7753E+03,5.1626E+03,1.6698E+03,2.3567E+03,2.8102E+02,2.3341E+01,3.9780E+01,,,,,,,,,,,
3.7246,6.3147E+04,0.0000E+00,0.0000E+00,5.4184E+04,8.9631E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.9982E+03,9.8457E+03,1.8259E+04,7.0750E+03,1.0006E+04,1.8778E+03,1.7130E+03,3.1381E+03,8.3641E+02,1.1740E+03,1.8536E+02,1.4396E+01,2.4166E+01,,,,,,,,,,,
3.7544,1.9600E+05,0.0000E+00,1.3413E+05,5.3078E+04,8.7895E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.3413E+05,8.8656E+03,9.6690E+03,1.7919E+04,6.8865E+03,9.7377E+03,1.8491E+03,1.6820E+03,3.0796E+03,8.1492E+02,1.1436E+03,1.8251E+02,1.4136E+01,2.3715E+01,,,,,,,,,,,
3.9388,1.7644E+05,0.0000E+00,1.2176E+05,4.6874E+04,7.8123E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.2176E+05,8.1045E+03,8.6636E+03,1.5993E+04,5.8506E+03,8.2628E+03,1.6855E+03,1.5062E+03,2.7484E+03,6.9631E+02,9.7588E+02,1.6620E+02,1.2657E+01,2.1163E+01,,,,,,,,,,,
3.9703,2.3580E+05,0.0000E+00,1.8223E+05,4.5913E+04,7.6601E+03,0.0000E+00,0.0000E+00,6.2883E+04,1.1935E+05,7.9837E+03,8.5055E+03,1.5691E+04,5.6933E+03,8.0391E+03,1.6596E+03,1.4786E+03,2.6965E+03,6.7823E+02,9.5034E+02,1.6363E+02,1.2425E+01,2.0763E+01,,,,,,,,,,,
4,2.3363E+05,0.0000E+00,1.8107E+05,4.5032E+04,7.5205E+03,0.0000E+00,0.0000E+00,6.3887E+04,1.1719E+05,7.8724E+03,8.3600E+03,1.5414E+04,5.5500E+03,7.8353E+03,1.6358E+03,1.4532E+03,2.6488E+03,6.6174E+02,9.2706E+02,1.6125E+02,1.2211E+01,2.0396E+01,,,,,,,,,,,
4.2099,2.0555E+05,0.0000E+00,1.5951E+05,3.9418E+04,6.6263E+03,0.0000E+00,0.0000E+00,5.6009E+04,1.0350E+05,7.1470E+03,7.4208E+03,1.3630E+04,4.6561E+03,6.5647E+03,1.4805E+03,1.2895E+03,2.3419E+03,5.5841E+02,7.8123E+02,1.4583E+02,1.0835E+01,1.8033E+01,,,,,,,,,,,
4.2436,2.3144E+05,0.0000E+00,1.8634E+05,3.8608E+04,6.4964E+03,0.0000E+00,2.9908E+04,5.4973E+04,1.0146E+05,7.0398E+03,7.2833E+03,1.3369E+04,4.5299E+03,6.3854E+03,1.4576E+03,1.2655E+03,2.2971E+03,5.4375E+02,7.6055E+02,1.4355E+02,1.0634E+01,1.7688E+01,,,,,,,,,,,
5,1.5419E+05,0.0000E+00,1.2477E+05,2.5116E+04,4.3122E+03,0.0000E+00,2.3383E+04,3.6314E+04,6.5069E+04,5.1360E+03,4.9200E+03,8.9161E+03,2.5564E+03,3.5879E+03,1.0541E+03,8.5437E+02,1.5329E+03,3.1211E+02,4.3459E+02,1.0515E+02,7.1797E+00,1.1804E+01,,,,,,,,,,,
