PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2
1,2.7307E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.7307E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0806E+05,3.4508E+05,8.2308E+05,1.0653E+06,1.7481E+04,1.3741E+04,5.5953E+04,5.6657E+04,8.6902E+04,1.7557E+04,2.2270E+04,4.3613E+03,2.9855E+03,9.7721E+03,4.3485E+02,6.0864E+02,5.2762E+02
1.0697,2.4235E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.4235E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0382E+05,3.3244E+05,7.0926E+05,9.1431E+05,1.6029E+04,1.2904E+04,5.0951E+04,5.2429E+04,7.9779E+04,1.5260E+04,1.9305E+04,3.9434E+03,2.7605E+03,8.8384E+03,3.9910E+02,5.5569E+02,4.7233E+02
1.0783,2.5411E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.5411E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5247E+05,2.0317E+05,3.3076E+05,6.9645E+05,8.9753E+05,1.5863E+04,1.2808E+04,5.0382E+04,5.1934E+04,7.8952E+04,1.5003E+04,1.8974E+04,3.8965E+03,2.7349E+03,8.7332E+03,3.9497E+02,5.4960E+02,4.6615E+02
1.3189,1.7423E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.7423E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2304E+05,1.7616E+05,2.7462E+05,4.2792E+05,5.4690E+05,1.2074E+04,1.0503E+04,3.7650E+04,3.9983E+04,5.9468E+04,9.5251E+03,1.1957E+04,2.8671E+03,2.1518E+03,6.4176E+03,2.9829E+02,4.0895E+02,3.3369E+02
1.3295,1.7389E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.7389E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3757E+04,1.2189E+05,1.7484E+05,2.7229E+05,4.1923E+05,5.3565E+05,1.1941E+04,1.0417E+04,3.7206E+04,3.9539E+04,5.8759E+04,9.3464E+03,1.1730E+04,2.8321E+03,2.1310E+03,6.3384E+03,2.9478E+02,4.0391E+02,3.2928E+02
1.4801,1.4056E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.4056E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2042E+04,1.0733E+05,1.5679E+05,2.3918E+05,3.1615E+05,4.0267E+05,1.0258E+04,9.3026E+03,3.1651E+04,3.3823E+04,4.9732E+04,7.1961E+03,8.9975E+03,2.3967E+03,1.8671E+03,5.3520E+03,2.5014E+02,3.4019E+02,2.7480E+02
1.492,1.4100E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.4100E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6776E+04,2.2002E+04,1.0631E+05,1.5537E+05,2.3663E+05,3.0946E+05,3.9403E+05,1.0141E+04,9.2228E+03,3.1269E+04,3.3420E+04,4.9101E+04,7.0544E+03,8.8179E+03,2.3670E+03,1.8486E+03,5.2845E+03,2.4702E+02,3.3577E+02,2.7111E+02
1.5,1.3943E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.3943E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6037E+04,2.1971E+04,1.0564E+05,1.5441E+05,2.3492E+05,3.0505E+05,3.8831E+05,1.0064E+04,9.1696E+03,3.1014E+04,3.3151E+04,4.8681E+04,6.9606E+03,8.6991E+03,2.3473E+03,1.8363E+03,5.2397E+03,2.4495E+02,3.3283E+02,2.6866E+02
2,7.6722E+05,0.0000E+00,0.0000E+00,0.0000E+00,7.6722E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8673E+04,1.9300E+04,7.2777E+04,1.0344E+05,1.5138E+05,1.3471E+05,1.6987E+05,6.5870E+03,6.5918E+03,1.9699E+04,2.0718E+04,2.9635E+04,3.2572E+03,4.0323E+03,1.4865E+03,1.2666E+03,3.2762E+03,1.5457E+02,2.0013E+02,1.6425E+02
3,3.1404E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.1404E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1306E+04,1.3503E+04,3.9025E+04,4.9640E+04,6.9706E+04,3.7912E+04,4.7248E+04,3.5091E+03,3.8901E+03,9.9270E+03,9.5798E+03,1.3251E+04,9.8783E+02,1.2071E+03,7.6642E+02,7.1837E+02,1.6269E+03,7.1099E+01,8.9086E+01,8.0663E+01
