PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,,,,,,,
2.9211,6.8118E+05,0.0000E+00,0.0000E+00,5.4187E+05,1.3932E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.9775E+04,1.0015E+05,1.6762E+05,2.3432E+05,9.5021E+03,1.1885E+04,2.5323E+04,2.5493E+04,3.5477E+04,8.6208E+03,1.0800E+04,1.9862E+03,2.0784E+03,4.1084E+03,1.7413E+03,2.3006E+03,,,,,,,
3,6.3889E+05,0.0000E+00,0.0000E+00,5.0789E+05,1.3100E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.8418E+04,9.5862E+04,1.5592E+05,2.1769E+05,9.1016E+03,1.1395E+04,2.4122E+04,2.3927E+04,3.3248E+04,7.8313E+03,9.8055E+03,1.8976E+03,1.9878E+03,3.9084E+03,1.6347E+03,2.1388E+03,,,,,,,
3.1443,5.7244E+05,0.0000E+00,0.0000E+00,4.5493E+05,1.1751E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.6750E+04,8.8381E+04,1.3717E+05,1.9263E+05,8.4334E+03,1.0572E+04,2.2125E+04,2.1368E+04,2.9615E+04,6.6050E+03,8.2616E+03,1.7504E+03,1.8362E+03,3.5767E+03,1.4606E+03,1.9065E+03,,,,,,,
3.1695,5.8690E+05,0.0000E+00,0.0000E+00,4.7155E+05,1.1536E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.4314E+04,3.6465E+04,8.7146E+04,1.3510E+05,1.8852E+05,8.3244E+03,1.0437E+04,2.1801E+04,2.0959E+04,2.9033E+04,6.4158E+03,8.0236E+03,1.7265E+03,1.8114E+03,3.5230E+03,1.4327E+03,1.8693E+03,,,,,,,
4,3.3652E+05,0.0000E+00,0.0000E+00,2.6978E+05,6.6738E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7906E+04,2.6380E+04,5.7932E+04,7.0564E+04,9.6996E+04,5.6393E+03,7.0525E+03,1.3969E+04,1.1655E+04,1.5935E+04,2.7005E+03,3.3595E+03,1.1486E+03,1.2034E+03,2.2373E+03,8.0765E+02,1.0308E+03,,,,,,,
5,1.9471E+05,0.0000E+00,0.0000E+00,1.5570E+05,3.9010E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2852E+04,1.8783E+04,3.7865E+04,3.6578E+04,4.9624E+04,3.8225E+03,4.7068E+03,8.8918E+03,6.4017E+03,8.6417E+03,1.1431E+03,1.4145E+03,7.6865E+02,7.9444E+02,1.4165E+03,4.4605E+02,5.6216E+02,,,,,,,
6,1.2338E+05,0.0000E+00,0.0000E+00,9.8422E+04,2.4963E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.6262E+03,1.3607E+04,2.6133E+04,2.0944E+04,2.8113E+04,2.7541E+03,3.3183E+03,6.0418E+03,3.8284E+03,5.1135E+03,5.5487E+02,6.8353E+02,5.4937E+02,5.5657E+02,9.5977E+02,2.6802E+02,3.3425E+02,,,,,,,
8,5.9283E+04,0.0000E+00,0.0000E+00,4.7093E+04,1.2190E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.8955E+03,7.8120E+03,1.3930E+04,8.3820E+03,1.1074E+04,1.6147E+03,1.8495E+03,3.1836E+03,1.6316E+03,2.1420E+03,1.7143E+02,2.0956E+02,3.1895E+02,3.0814E+02,5.0451E+02,1.1506E+02,1.4103E+02,,,,,,,
10,3.3289E+04,0.0000E+00,0.0000E+00,2.6362E+04,6.9277E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.9421E+03,4.8891E+03,8.2885E+03,4.0128E+03,5.2293E+03,1.0533E+03,1.1446E+03,1.8885E+03,8.1475E+02,1.0547E+03,6.7035E+01,8.1420E+01,2.0684E+02,1.9006E+02,2.9903E+02,5.7752E+01,6.9799E+01,,,,,,,
11.203,2.4753E+04,0.0000E+00,0.0000E+00,1.9572E+04,5.1815E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.1906E+03,3.8072E+03,6.3030E+03,2.7343E+03,3.5365E+03,8.4388E+02,8.8886E+02,1.4356E+03,5.6619E+02,7.2747E+02,4.1184E+01,4.9846E+01,1.6530E+02,1.4742E+02,2.2729E+02,4.0236E+01,4.8267E+01,,,,,,,
