PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,,,,,,,,,,,,,,,,
1,2.2755E+05,0.0000E+00,0.0000E+00,2.2255E+05,5.0020E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.3404E+04,3.9631E+04,7.7286E+04,2.9338E+04,4.2891E+04,3.1319E+03,6.4010E+02,1.2299E+03,,,,,,,,,,,,,,,,
1.2215,1.4152E+05,0.0000E+00,0.0000E+00,1.3812E+05,3.4091E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3724E+04,2.6153E+04,5.0636E+04,1.5292E+04,2.2312E+04,2.1887E+03,4.1924E+02,8.0117E+02,,,,,,,,,,,,,,,,
1.2313,5.6836E+05,0.0000E+00,4.2952E+05,1.3548E+05,3.3564E+03,0.0000E+00,0.0000E+00,0.0000E+00,4.2952E+05,2.3395E+04,2.5707E+04,4.9760E+04,1.4892E+04,2.1728E+04,2.1572E+03,4.1201E+02,7.8718E+02,,,,,,,,,,,,,,,,
1.2542,6.0454E+05,0.0000E+00,4.7173E+05,1.2958E+05,3.2374E+03,0.0000E+00,0.0000E+00,0.0000E+00,4.7173E+05,2.2650E+04,2.4703E+04,4.7786E+04,1.4006E+04,2.0431E+04,2.0860E+03,3.9570E+02,7.5569E+02,,,,,,,,,,,,,,,,
1.2643,8.1378E+05,0.0000E+00,6.8350E+05,1.2710E+05,3.1871E+03,0.0000E+00,0.0000E+00,2.0789E+05,4.7561E+05,2.2334E+04,2.4279E+04,4.6953E+04,1.3639E+04,1.9893E+04,2.0558E+03,3.8883E+02,7.4241E+02,,,,,,,,,,,,,,,,
1.401,6.8561E+05,0.0000E+00,5.8402E+05,9.8988E+04,2.6011E+03,0.0000E+00,0.0000E+00,1.9918E+05,3.8484E+05,1.8612E+04,1.9354E+04,3.7296E+04,9.6560E+03,1.4069E+04,1.7024E+03,3.0944E+02,5.8924E+02,,,,,,,,,,,,,,,,
1.4122,7.6009E+05,0.0000E+00,6.6046E+05,9.7072E+04,2.5601E+03,0.0000E+00,8.8502E+04,1.9511E+05,3.7684E+05,1.8348E+04,1.9010E+04,3.6624E+04,9.3982E+03,1.3692E+04,1.6775E+03,3.0393E+02,5.7864E+02,,,,,,,,,,,,,,,,
1.5,6.5954E+05,0.0000E+00,5.7359E+05,8.3685E+04,2.2688E+03,0.0000E+00,8.5135E+04,1.6678E+05,3.2167E+05,1.6451E+04,1.6576E+04,3.1871E+04,7.6493E+03,1.1137E+04,1.5000E+03,2.6503E+02,5.0376E+02,,,,,,,,,,,,,,,,
2,3.2635E+05,0.0000E+00,2.8435E+05,4.0748E+04,1.2525E+03,0.0000E+00,5.3753E+04,7.9220E+04,1.5138E+05,9.6195E+03,8.3613E+03,1.5926E+04,2.7909E+03,4.0503E+03,8.6696E+02,1.3357E+02,2.5199E+02,,,,,,,,,,,,,,,,
3,1.1541E+05,0.0000E+00,1.0056E+05,1.4334E+04,5.2081E+02,0.0000E+00,2.6343E+04,2.5749E+04,4.8465E+04,4.3193E+03,2.9428E+03,5.5324E+03,6.2978E+02,9.0943E+02,3.8547E+02,4.7667E+01,8.7677E+01,,,,,,,,,,,,,,,,
