PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,7s1/2,
1,3.1624E+06,0.0000E+00,0.0000E+00,0.0000E+00,3.1624E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2319E+05,1.1088E+06,1.4490E+06,1.8125E+04,1.2784E+04,6.8094E+04,6.8079E+04,1.0737E+05,8.3118E+04,1.0514E+05,4.6550E+03,2.8362E+03,1.0723E+04,4.2754E+02,
1.0607,3.0698E+06,0.0000E+00,0.0000E+00,0.0000E+00,3.0698E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.4149E+05,9.9215E+05,1.2933E+06,1.6917E+04,1.2085E+04,6.3012E+04,6.4305E+04,1.0049E+05,7.4707E+04,9.4213E+04,4.2808E+03,2.6525E+03,9.8511E+03,3.8911E+02,
1.0692,3.1185E+06,0.0000E+00,0.0000E+00,0.0000E+00,3.1185E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.9802E+04,3.4099E+05,9.7712E+05,1.2728E+06,1.6758E+04,1.1996E+04,6.2346E+04,6.3788E+04,9.9560E+04,7.3607E+04,9.2788E+04,4.2322E+03,2.6287E+03,9.7378E+03,3.8417E+02,
1.3581,2.0959E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.0959E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7961E+05,2.9195E+05,5.7930E+05,7.4299E+05,1.2417E+04,9.6664E+03,4.4736E+04,4.8404E+04,7.3085E+04,4.5234E+04,5.6394E+04,2.9843E+03,2.0090E+03,6.8190E+03,2.6106E+02,
1.369,2.1965E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.1965E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3255E+05,1.7870E+05,2.8992E+05,5.6850E+05,7.2873E+05,1.2289E+04,9.5972E+03,4.4225E+04,4.7910E+04,7.2266E+04,4.4449E+04,5.5395E+04,2.9491E+03,1.9909E+03,6.7364E+03,2.5765E+02,
1.5,1.8383E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.8383E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1720E+05,1.6712E+05,2.6508E+05,4.5428E+05,5.7909E+05,1.0891E+04,8.8300E+03,3.8698E+04,4.2403E+04,6.3236E+04,3.6172E+04,4.4907E+04,2.5719E+03,1.7946E+03,5.8512E+03,2.2143E+02,
1.7386,1.3608E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.3608E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.7907E+04,1.4324E+05,2.2092E+05,3.0941E+05,3.9216E+05,8.8944E+03,7.6705E+03,3.0980E+04,3.4230E+04,5.0177E+04,2.5429E+04,3.1381E+04,2.0541E+03,1.5120E+03,4.6349E+03,1.7312E+02,
1.7525,1.3541E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.3541E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5777E+04,9.6934E+04,1.4193E+05,2.1864E+05,3.0286E+05,3.8369E+05,8.7962E+03,7.6106E+03,3.0603E+04,3.3817E+04,4.9527E+04,2.4933E+04,3.0760E+04,2.0291E+03,1.4979E+03,4.5760E+03,1.7082E+02,
1.9297,1.1060E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.1060E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4772E+04,8.5935E+04,1.2632E+05,1.9064E+05,2.3230E+05,2.9318E+05,7.6755E+03,6.9077E+03,2.6344E+04,2.9083E+04,4.2145E+04,1.9557E+04,2.4036E+04,1.7478E+03,1.3352E+03,3.9154E+03,1.4507E+02,
1.9452,1.1066E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.1066E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.9121E+04,1.4752E+04,8.5080E+04,1.2501E+05,1.8834E+05,2.2716E+05,2.8663E+05,7.5881E+03,6.8510E+03,2.6016E+04,2.8712E+04,4.1571E+04,1.9160E+04,2.3541E+04,1.7262E+03,1.3224E+03,3.8648E+03,1.4311E+02,
2,1.0428E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.0428E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7927E+04,1.4670E+04,8.2153E+04,1.2039E+05,1.8040E+05,2.1007E+05,2.6486E+05,7.2904E+03,6.6557E+03,2.4897E+04,2.7444E+04,3.9617E+04,1.7831E+04,2.1885E+04,1.6529E+03,1.2785E+03,3.6929E+03,1.3647E+02,
3,4.2789E+05,0.0000E+00,0.0000E+00,0.0000E+00,4.2789E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1218E+04,1.2049E+04,4.5704E+04,6.2022E+04,8.8200E+04,6.2348E+04,7.7481E+04,3.9785E+03,4.1902E+03,1.2726E+04,1.3266E+04,1.8390E+04,5.7792E+03,6.9858E+03,8.6514E+02,7.6020E+02,1.8535E+03,6.8470E+01,
4,2.2088E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.2088E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.6959E+03,9.2593E+03,2.8468E+04,3.4966E+04,4.8115E+04,2.4456E+04,3.0086E+04,2.5329E+03,2.8807E+03,7.6513E+03,7.3703E+03,9.9470E+03,2.3949E+03,2.8640E+03,5.3896E+02,5.0825E+02,1.1047E+03,4.2756E+01,
4.4871,1.6869E+05,0.0000E+00,0.0000E+00,0.0000E+00,1.6869E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.5556E+03,8.1408E+03,2.3279E+04,2.7236E+04,3.7072E+04,1.6565E+04,2.0296E+04,2.1056E+03,2.4542E+03,6.1964E+03,5.7354E+03,7.6600E+03,1.6547E+03,1.9375E+03,4.4479E+02,4.2918E+02,8.9224E+02,3.5324E+01,
