PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,,,,
5,2.4847E+05,0.0000E+00,0.0000E+00,1.9534E+05,5.3133E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3592E+04,2.0183E+04,4.4154E+04,4.9895E+04,6.7514E+04,4.3570E+03,5.5304E+03,1.0865E+04,8.8407E+03,1.1902E+04,2.1495E+03,2.6548E+03,9.9411E+02,1.0987E+03,2.0468E+03,1.0762E+03,1.4151E+03,1.2727E+02,2.9911E+01,4.4490E+01,,,,
6,1.5822E+05,0.0000E+00,0.0000E+00,1.2414E+05,3.4083E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0359E+04,1.5301E+04,3.0805E+04,2.8978E+04,3.8695E+04,3.1696E+03,3.9738E+03,7.4656E+03,5.3864E+03,7.1661E+03,1.0614E+03,1.3044E+03,7.1538E+02,7.8219E+02,1.4003E+03,6.5889E+02,8.5662E+02,9.0951E+01,2.1280E+01,3.0424E+01,,,,
8,7.6600E+04,0.0000E+00,0.0000E+00,5.9895E+04,1.6705E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.5150E+03,9.1461E+03,1.6823E+04,1.1859E+04,1.5553E+04,1.8833E+03,2.2778E+03,4.0021E+03,2.3598E+03,3.0798E+03,3.3609E+02,4.0955E+02,4.1973E+02,4.4412E+02,7.4781E+02,2.9111E+02,3.7143E+02,5.4049E+01,1.2079E+01,1.6241E+01,,,,
10,4.3219E+04,0.0000E+00,0.0000E+00,3.3700E+04,9.5193E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.4235E+03,5.8857E+03,1.0170E+04,5.7689E+03,7.4513E+03,1.2398E+03,1.4389E+03,2.4050E+03,1.2025E+03,1.5452E+03,1.3390E+02,1.6202E+02,2.7432E+02,2.7929E+02,4.4877E+02,1.4931E+02,1.8761E+02,3.5303E+01,7.5972E+00,9.7444E+00,,,,
13.026,2.1753E+04,0.0000E+00,0.0000E+00,1.6908E+04,4.8447E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.7286E+03,3.3532E+03,5.4168E+03,2.3862E+03,3.0234E+03,7.4414E+02,8.1088E+02,1.2788E+03,5.2209E+02,6.5804E+02,4.3677E+01,5.2370E+01,1.6357E+02,1.5685E+02,2.3851E+02,6.5311E+01,7.9912E+01,2.1041E+01,4.2680E+00,5.1782E+00,,,,
13.13,5.3353E+04,0.0000E+00,3.2049E+04,1.6558E+04,4.7463E+03,0.0000E+00,0.0000E+00,0.0000E+00,3.2049E+04,2.6883E+03,3.2945E+03,5.3119E+03,2.3224E+03,2.9407E+03,7.3258E+02,7.9659E+02,1.2541E+03,5.0882E+02,6.4093E+02,4.2205E+01,5.0589E+01,1.6100E+02,1.5407E+02,2.3389E+02,6.3665E+01,7.7850E+01,2.0711E+01,4.1925E+00,5.0781E+00,,,,
15,3.7230E+04,0.0000E+00,2.2203E+04,1.1661E+04,3.3661E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.2203E+04,2.0868E+03,2.4445E+03,3.8130E+03,1.4717E+03,1.8452E+03,5.6299E+02,5.8951E+02,9.0162E+02,3.2953E+02,4.1085E+02,2.3710E+01,2.8279E+01,1.2340E+02,1.1391E+02,1.6818E+02,4.1425E+01,5.0065E+01,1.5871E+01,3.1001E+00,3.6511E+00,,,,
15.236,3.5720E+04,0.0000E+00,2.1298E+04,1.1190E+04,3.2325E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.1298E+04,2.0247E+03,2.3590E+03,3.6658E+03,1.3943E+03,1.7459E+03,5.4571E+02,5.6874E+02,8.6690E+02,3.1296E+02,3.8971E+02,2.2147E+01,2.6398E+01,1.1957E+02,1.0988E+02,1.6170E+02,3.9356E+01,4.7507E+01,1.5379E+01,2.9907E+00,3.5106E+00,,,,
15.358,4.8841E+04,0.0000E+00,3.4718E+04,1.0956E+04,3.1663E+03,0.0000E+00,0.0000E+00,1.3866E+04,2.0853E+04,1.9938E+03,2.3163E+03,3.5928E+03,1.3563E+03,1.6973E+03,5.3708E+02,5.5841E+02,8.4967E+02,3.0482E+02,3.7933E+02,2.1388E+01,2.5486E+01,1.1767E+02,1.0788E+02,1.5850E+02,3.8339E+01,4.6250E+01,1.5133E+01,2.9362E+00,3.4409E+00,,,,
15.841,4.5288E+04,0.0000E+00,3.2270E+04,1.0096E+04,2.9222E+03,0.0000E+00,0.0000E+00,1.3058E+04,1.9212E+04,1.8780E+03,2.1572E+03,3.3218E+03,1.2182E+03,1.5209E+03,5.0483E+02,5.1997E+02,7.8587E+02,2.7511E+02,3.4152E+02,1.8681E+01,2.2232E+01,1.1054E+02,1.0044E+02,1.4660E+02,3.4627E+01,4.1670E+01,1.4217E+01,2.7337E+00,3.1827E+00,,,,
