PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,,,,,,
1,9.8530E+05,0.0000E+00,0.0000E+00,0.0000E+00,9.8530E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.0274E+04,4.2495E+04,1.1505E+05,1.6018E+05,2.3711E+05,1.5445E+05,1.9689E+05,8.6840E+03,7.5395E+03,1.7593E+04,1.7445E+03,2.4410E+03,8.4440E+02,,,,,,
1.5,4.3820E+05,0.0000E+00,0.0000E+00,0.0000E+00,4.3820E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3670E+04,2.7718E+04,6.5578E+04,8.2246E+04,1.1850E+05,4.3961E+04,5.5646E+04,4.6325E+03,4.3764E+03,9.3907E+03,8.6124E+02,1.1833E+03,4.3481E+02,,,,,,
1.6669,3.5099E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.5099E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0344E+04,2.4227E+04,5.5680E+04,6.6993E+04,9.5961E+04,3.1025E+04,3.9199E+04,3.9100E+03,3.7509E+03,7.8876E+03,6.9868E+02,9.5573E+02,3.6434E+02,,,,,,
1.6802,5.6900E+05,0.0000E+00,0.0000E+00,2.2390E+05,3.4510E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2390E+05,2.0107E+04,2.3974E+04,5.4982E+04,6.5932E+04,9.4399E+04,3.0208E+04,3.8161E+04,3.8598E+03,3.7067E+03,7.7829E+03,6.8744E+02,9.4005E+02,3.5947E+02,,,,,,
1.7238,9.9915E+05,0.0000E+00,0.0000E+00,6.7239E+05,3.2676E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.7239E+05,1.9360E+04,2.3169E+04,5.2789E+04,6.2609E+04,8.9510E+04,2.7717E+04,3.4999E+04,3.7026E+03,3.5672E+03,7.4541E+03,6.5228E+02,8.9104E+02,3.4421E+02,,,,,,
1.7376,1.1442E+06,0.0000E+00,0.0000E+00,8.2298E+05,3.2124E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4309E+05,6.7989E+05,1.9132E+04,2.2922E+04,5.2120E+04,6.1601E+04,8.8029E+04,2.6982E+04,3.4065E+04,3.6548E+03,3.5247E+03,7.3542E+03,6.4169E+02,8.7618E+02,3.3958E+02,,,,,,
2,1.0634E+06,0.0000E+00,0.0000E+00,8.2649E+05,2.3695E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.4086E+05,4.8563E+05,1.5463E+04,1.8821E+04,4.1358E+04,4.5788E+04,6.4945E+04,1.6677E+04,2.1001E+04,2.9000E+03,2.8380E+03,5.7710E+03,4.7587E+02,6.4609E+02,2.6677E+02,,,,,,
2.0969,9.4343E+05,0.0000E+00,0.0000E+00,7.2986E+05,2.1357E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.0138E+05,4.2848E+05,1.4371E+04,1.7562E+04,3.8172E+04,4.1266E+04,5.8384E+04,1.4141E+04,1.7792E+04,2.6799E+03,2.6327E+03,5.3084E+03,4.2869E+02,5.8092E+02,2.4579E+02,,,,,,
2.1137,1.0739E+06,0.0000E+00,0.0000E+00,8.6406E+05,2.0984E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4935E+05,2.9519E+05,4.1953E+05,1.4194E+04,1.7356E+04,3.7655E+04,4.0540E+04,5.7334E+04,1.3751E+04,1.7300E+04,2.6444E+03,2.5994E+03,5.2337E+03,4.2114E+02,5.7051E+02,2.4242E+02,,,,,,
2.3563,8.2543E+05,0.0000E+00,0.0000E+00,6.6066E+05,1.6477E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2460E+05,2.2201E+05,3.1406E+05,1.1947E+04,1.4707E+04,3.1157E+04,3.1664E+04,4.4534E+04,9.3585E+03,1.1750E+04,2.2016E+03,2.1781E+03,4.3030E+03,3.2892E+02,4.3930E+02,2.0052E+02,,,,,,
2.3752,8.6096E+05,0.0000E+00,0.0000E+00,6.9911E+05,1.6185E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.1213E+04,1.2313E+05,2.1737E+05,3.0740E+05,1.1795E+04,1.4526E+04,3.0719E+04,3.1082E+04,4.3698E+04,9.0951E+03,1.1417E+04,2.1720E+03,2.1496E+03,4.2407E+03,3.2289E+02,4.3109E+02,1.9772E+02,,,,,,
2.5746,7.1440E+05,0.0000E+00,0.0000E+00,5.7948E+05,1.3493E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.5810E+04,1.0807E+05,1.7653E+05,2.4907E+05,1.0354E+04,1.2783E+04,2.6579E+04,2.5691E+04,3.5976E+04,6.7996E+03,8.5230E+03,1.8923E+03,1.8779E+03,3.6539E+03,2.6977E+02,3.5527E+02,1.7141E+02,,,,,,
2.5952,7.3159E+05,0.0000E+00,0.0000E+00,5.9909E+05,1.3250E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.0418E+04,4.5431E+04,1.0662E+05,1.7280E+05,2.4382E+05,1.0220E+04,1.2619E+04,2.6196E+04,2.5204E+04,3.5280E+04,6.6053E+03,8.2781E+03,1.8665E+03,1.8526E+03,3.5999E+03,2.6468E+02,3.4843E+02,1.6900E+02,,,,,,
3,5.2145E+05,0.0000E+00,0.0000E+00,4.2643E+05,9.5027E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5666E+04,3.7411E+04,8.3216E+04,1.1686E+05,1.6327E+05,8.0333E+03,9.9201E+03,2.0005E+04,1.7646E+04,2.4523E+04,3.8731E+03,4.8404E+03,1.4508E+03,1.4410E+03,2.7329E+03,1.8570E+02,2.4275E+02,1.3250E+02,,,,,,
