PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,
1,5.5664E+05,0.0000E+00,0.0000E+00,0.0000E+00,5.5664E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.6205E+04,4.1034E+04,9.4331E+04,1.2060E+05,1.7637E+05,2.6566E+04,3.4000E+04,7.0228E+03,6.3594E+03,1.3546E+04,6.1039E+02,,,,,,,,
1.1365,4.3823E+05,0.0000E+00,0.0000E+00,0.0000E+00,4.3823E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.0097E+04,3.4866E+04,7.8028E+04,9.4954E+04,1.3808E+05,1.7424E+04,2.2262E+04,5.7130E+03,5.2774E+03,1.1038E+04,4.9188E+02,,,,,,,,
1.1456,9.0898E+05,0.0000E+00,0.0000E+00,4.7738E+05,4.3161E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.7738E+05,2.9743E+04,3.4499E+04,7.7086E+04,9.3495E+04,1.3591E+05,1.6966E+04,2.1674E+04,5.6393E+03,5.2151E+03,1.0895E+04,4.8524E+02,,,,,,,,
1.166,1.4559E+06,0.0000E+00,0.0000E+00,1.0386E+06,4.1722E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0386E+06,2.8970E+04,3.3693E+04,7.5031E+04,9.0316E+04,1.3118E+05,1.5990E+04,2.0423E+04,5.4790E+03,5.0791E+03,1.0585E+04,4.7083E+02,,,,,,,,
1.1754,1.7821E+06,0.0000E+00,0.0000E+00,1.3712E+06,4.1086E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.0120E+05,1.0700E+06,2.8627E+04,3.3333E+04,7.4117E+04,8.8907E+04,1.2909E+05,1.5567E+04,1.9881E+04,5.4081E+03,5.0186E+03,1.0447E+04,4.6446E+02,,,,,,,,
1.4681,1.2934E+06,0.0000E+00,0.0000E+00,1.0293E+06,2.6405E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.2076E+05,6.0855E+05,2.0335E+04,2.4271E+04,5.1859E+04,5.5899E+04,8.0430E+04,7.2512E+03,9.2330E+03,3.7372E+03,3.5492E+03,7.1706E+03,3.1660E+02,,,,,,,,
1.4799,1.4655E+06,0.0000E+00,0.0000E+00,1.2057E+06,2.5978E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.9673E+05,4.1252E+05,5.9643E+05,2.0080E+04,2.3981E+04,5.1173E+04,5.4929E+04,7.9009E+04,7.0511E+03,8.9775E+03,3.6872E+03,3.5038E+03,7.0716E+03,3.1221E+02,,,,,,,,
1.5,1.4169E+06,0.0000E+00,0.0000E+00,1.1642E+06,2.5268E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8888E+05,3.9891E+05,5.7643E+05,1.9654E+04,2.3497E+04,5.0028E+04,5.3319E+04,7.6652E+04,6.7246E+03,8.5602E+03,3.6040E+03,3.4281E+03,6.9067E+03,3.0490E+02,,,,,,,,
1.6027,1.2209E+06,0.0000E+00,0.0000E+00,1.0006E+06,2.2026E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7604E+05,3.3782E+05,4.8674E+05,1.7676E+04,2.1226E+04,4.4699E+04,4.5961E+04,6.5902E+04,5.3200E+03,6.7659E+03,3.2204E+03,3.0760E+03,6.1447E+03,2.7133E+02,,,,,,,,
1.6155,1.2728E+06,0.0000E+00,0.0000E+00,1.0562E+06,2.1662E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.3957E+04,1.7435E+05,3.3106E+05,4.7683E+05,1.7451E+04,2.0964E+04,4.4090E+04,4.5135E+04,6.4697E+04,5.1710E+03,6.5757E+03,3.1769E+03,3.0357E+03,6.0580E+03,2.6753E+02,,,,,,,,
