PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,7s1/2,
50,4.4750E+03,0.0000E+00,3.3552E+03,8.3239E+02,2.8735E+02,0.0000E+00,1.0219E+03,1.1598E+03,1.1735E+03,2.4477E+02,2.3263E+02,2.5397E+02,4.8730E+01,5.2296E+01,6.7616E+01,6.0625E+01,6.6289E+01,1.3595E+01,1.4546E+01,4.9731E-01,5.4651E-01,1.7819E+01,1.4921E+01,1.6083E+01,2.8282E+00,2.9957E+00,2.3442E-02,2.4714E-02,3.6071E+00,2.5531E+00,2.4544E+00,3.2946E-01,
60,2.7585E+03,0.0000E+00,2.0713E+03,5.1031E+02,1.7685E+02,0.0000E+00,6.9626E+02,7.0361E+02,6.7145E+02,1.6407E+02,1.4535E+02,1.4979E+02,2.4940E+01,2.6164E+01,4.5150E+01,3.8015E+01,3.9287E+01,7.0654E+00,7.3896E+00,2.1848E-01,2.3709E-01,1.1886E+01,9.3632E+00,9.5442E+00,1.4735E+00,1.5181E+00,1.0337E-02,1.0761E-02,2.4055E+00,1.6024E+00,1.4566E+00,2.1970E-01,
80,1.2778E+03,0.0000E+00,9.6083E+02,2.3503E+02,8.1916E+01,0.0000E+00,3.6990E+02,3.1593E+02,2.7501E+02,8.5783E+01,6.8000E+01,6.3949E+01,8.6033E+00,8.6989E+00,2.3506E+01,1.7892E+01,1.6899E+01,2.4879E+00,2.5082E+00,5.9619E-02,6.3369E-02,6.1815E+00,4.4126E+00,4.1138E+00,5.2119E-01,5.1765E-01,2.8344E-03,2.8899E-03,1.2506E+00,7.5540E-01,6.2785E-01,1.1421E-01,
100,7.0120E+02,0.0000E+00,5.2759E+02,1.2861E+02,4.4998E+01,0.0000E+00,2.2253E+02,1.6844E+02,1.3662E+02,5.1191E+01,3.7293E+01,3.2661E+01,3.7640E+00,3.6986E+00,1.4000E+01,9.8581E+00,8.6771E+00,1.1028E+00,1.0808E+00,2.1967E-02,2.2966E-02,3.6801E+00,2.4340E+00,2.1111E+00,2.3169E-01,2.2370E-01,1.0477E-03,1.0505E-03,7.4425E-01,4.1676E-01,3.2287E-01,6.7970E-02,
122.44,4.0646E+02,0.0000E+00,3.0593E+02,7.4408E+01,2.6119E+01,0.0000E+00,1.3874E+02,9.4942E+01,7.2245E+01,3.1777E+01,2.1497E+01,1.7649E+01,1.7799E+00,1.7053E+00,8.6806E+00,5.7053E+00,4.7092E+00,5.2679E-01,5.0351E-01,8.9092E-03,9.1793E-03,2.2817E+00,1.4103E+00,1.1469E+00,1.1093E-01,1.0444E-01,4.2602E-04,4.2094E-04,4.6126E-01,2.4147E-01,1.7545E-01,4.2126E-02,
123.42,1.6523E+03,1.2545E+03,2.9943E+02,7.2823E+01,2.5566E+01,1.2545E+03,1.3616E+02,9.2822E+01,7.0454E+01,3.1182E+01,2.1034E+01,1.7225E+01,1.7283E+00,1.6542E+00,8.5176E+00,5.5833E+00,4.5968E+00,5.1169E-01,4.8862E-01,8.5991E-03,8.8552E-03,2.2389E+00,1.3802E+00,1.1196E+00,1.0776E-01,1.0136E-01,4.1123E-04,4.0611E-04,4.5260E-01,2.3631E-01,1.7127E-01,4.1335E-02,
150,1.0090E+03,7.7352E+02,1.7728E+02,4.3052E+01,1.5160E+01,7.7352E+02,8.5690E+01,5.3440E+01,3.8154E+01,1.9583E+01,1.2339E+01,9.4972E+00,8.4376E-01,7.8933E-01,5.3460E+00,3.2868E+00,2.5441E+00,2.5185E-01,2.3515E-01,3.6346E-03,3.6956E-03,1.4055E+00,8.1615E-01,6.2019E-01,5.3148E-02,4.8868E-02,1.7419E-04,1.6981E-04,2.8398E-01,1.3926E-01,9.4894E-02,2.5937E-02,
200,4.8538E+02,3.7609E+02,8.2288E+01,1.9950E+01,7.0505E+00,3.7609E+02,4.2949E+01,2.3787E+01,1.5552E+01,9.8034E+00,5.6212E+00,3.9565E+00,2.9810E-01,2.7095E-01,2.6753E+00,1.5043E+00,1.0649E+00,8.9834E-02,8.1546E-02,1.0566E-03,1.0468E-03,7.0400E-01,3.7394E-01,2.5988E-01,1.9005E-02,1.6983E-02,5.0898E-05,4.8850E-05,1.4207E-01,6.3815E-02,3.9775E-02,1.2977E-02,
300,1.7425E+02,1.3632E+02,2.8567E+01,6.9110E+00,2.4519E+00,1.3632E+02,1.6245E+01,7.7888E+00,4.5331E+00,3.7094E+00,1.8865E+00,1.1795E+00,7.1946E-02,6.3776E-02,1.0123E+00,5.0736E-01,3.1908E-01,2.1895E-02,1.9407E-02,1.9787E-04,1.9548E-04,2.6633E-01,1.2630E-01,7.7961E-02,4.6449E-03,4.0497E-03,9.5608E-06,9.1403E-06,5.3746E-02,2.1557E-02,1.1935E-02,4.9107E-03,
400,8.6356E+01,6.7947E+01,1.3870E+01,3.3492E+00,1.1903E+00,6.7947E+01,8.2737E+00,3.6321E+00,1.9639E+00,1.8900E+00,8.9078E-01,5.1659E-01,2.7515E-02,2.4335E-02,5.1581E-01,2.4021E-01,1.3987E-01,8.4248E-03,7.3993E-03,6.4226E-05,6.4859E-05,1.3570E-01,5.9838E-02,3.4250E-02,1.7879E-03,1.5560E-03,3.1107E-06,3.0260E-06,2.7383E-02,1.0214E-02,5.2447E-03,2.5031E-03,
