PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,
1,6.2970E+05,0.0000E+00,0.0000E+00,0.0000E+00,6.2970E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.7538E+04,4.2063E+04,9.9379E+04,1.3048E+05,1.9113E+05,4.4213E+04,5.6453E+04,7.2900E+03,6.5022E+03,1.4037E+04,6.1406E+02,,,,,,,,
1.2432,4.1604E+05,0.0000E+00,0.0000E+00,0.0000E+00,4.1604E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.7529E+04,3.2113E+04,7.2215E+04,8.7586E+04,1.2694E+05,2.1733E+04,2.7665E+04,5.1456E+03,4.7562E+03,9.9266E+03,4.2630E+02,,,,,,,,
1.2532,8.2503E+05,0.0000E+00,0.0000E+00,4.1546E+05,4.0957E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.1546E+05,2.7206E+04,3.1775E+04,7.1336E+04,8.6230E+04,1.2493E+05,2.1162E+04,2.6934E+04,5.0793E+03,4.7000E+03,9.7976E+03,4.2056E+02,,,,,,,,
1.2777,1.3429E+06,0.0000E+00,0.0000E+00,9.4871E+05,3.9419E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.4871E+05,2.6432E+04,3.0960E+04,6.9232E+04,8.2995E+04,1.2013E+05,1.9828E+04,2.5231E+04,4.9213E+03,4.5655E+03,9.4897E+03,4.0689E+02,,,,,,,,
1.288,1.6167E+06,0.0000E+00,0.0000E+00,1.2287E+06,3.8802E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6021E+05,9.6849E+05,2.6119E+04,3.0628E+04,6.8381E+04,8.1690E+04,1.1820E+05,1.9304E+04,2.4560E+04,4.8576E+03,4.5111E+03,9.3654E+03,4.0140E+02,,,,,,,,
1.5,1.3999E+06,0.0000E+00,0.0000E+00,1.1146E+06,2.8525E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.5594E+05,6.5871E+05,2.0712E+04,2.4726E+04,5.3580E+04,5.9619E+04,8.5689E+04,1.1471E+04,1.4563E+04,3.7766E+03,3.5661E+03,7.2413E+03,3.0911E+02,,,,,,,,
1.5952,1.2050E+06,0.0000E+00,0.0000E+00,9.5385E+05,2.5116E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.9066E+05,5.6318E+05,1.8813E+04,2.2577E+04,4.8381E+04,5.2168E+04,7.4791E+04,9.2584E+03,1.1744E+04,3.4065E+03,3.2329E+03,6.5081E+03,2.7770E+02,,,,,,,,
1.6079,1.3672E+06,0.0000E+00,0.0000E+00,1.1202E+06,2.4701E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8547E+05,3.8291E+05,5.5182E+05,1.8577E+04,2.2308E+04,4.7738E+04,5.1261E+04,7.3464E+04,9.0031E+03,1.1418E+04,3.3610E+03,3.1917E+03,6.4179E+03,2.7385E+02,,,,,,,,
1.752,1.1196E+06,0.0000E+00,0.0000E+00,9.1346E+05,2.0614E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6319E+05,3.0802E+05,4.4225E+05,1.6199E+04,1.9562E+04,4.1231E+04,4.2280E+04,6.0375E+04,6.6464E+03,8.4189E+03,2.9060E+03,2.7744E+03,5.5129E+03,2.3550E+02,,,,,,,,
1.7661,1.1674E+06,0.0000E+00,0.0000E+00,9.6477E+05,2.0267E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.8309E+04,1.6152E+05,3.0179E+05,4.3316E+05,1.5993E+04,1.9320E+04,4.0665E+04,4.1516E+04,5.9265E+04,6.4601E+03,8.1819E+03,2.8667E+03,2.7380E+03,5.4347E+03,2.3221E+02,,,,,,,,
1.9346,9.5245E+05,0.0000E+00,0.0000E+00,7.8580E+05,1.6665E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.1327E+04,1.4093E+05,2.4006E+05,3.4348E+05,1.3792E+04,1.6714E+04,3.4650E+04,3.3583E+04,4.7761E+04,4.6558E+03,5.8887E+03,2.4516E+03,2.3497E+03,4.6068E+03,1.9762E+02,,,,,,,,
1.95,9.7676E+05,0.0000E+00,0.0000E+00,8.1297E+05,1.6379E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.1509E+04,6.0790E+04,1.3914E+05,2.3511E+05,3.3642E+05,1.3612E+04,1.6500E+04,3.4160E+04,3.2955E+04,4.6852E+04,4.5231E+03,5.7202E+03,2.4180E+03,2.3180E+03,4.5398E+03,1.9483E+02,,,,,,,,
2,9.2316E+05,0.0000E+00,0.0000E+00,7.6814E+05,1.5502E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.0486E+04,5.8978E+04,1.3356E+05,2.2019E+05,3.1492E+05,1.3055E+04,1.5833E+04,3.2645E+04,3.1027E+04,4.4067E+04,4.1256E+03,5.2157E+03,2.3144E+03,2.2199E+03,4.3330E+03,1.8622E+02,,,,,,,,
3,3.5529E+05,0.0000E+00,0.0000E+00,2.9311E+05,6.2186E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2819E+04,3.2848E+04,6.7109E+04,7.0891E+04,9.9440E+04,6.5201E+03,7.7875E+03,1.5102E+04,1.1049E+04,1.5440E+04,8.9792E+02,1.1284E+03,1.1263E+03,1.0665E+03,1.9761E+03,9.1716E+01,,,,,,,,
4,1.7484E+05,0.0000E+00,0.0000E+00,1.4329E+05,3.1546E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4436E+04,1.9760E+04,3.8108E+04,2.9729E+04,4.1260E+04,3.8834E+03,4.4704E+03,8.3327E+03,4.9569E+03,6.8463E+03,2.8806E+02,3.6040E+02,6.6279E+02,6.0656E+02,1.0848E+03,5.3971E+01,,,,,,,,
5,9.9601E+04,0.0000E+00,0.0000E+00,8.1232E+04,1.8369E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.8589E+03,1.2757E+04,2.3691E+04,1.4704E+04,2.0221E+04,2.5659E+03,2.8288E+03,5.1192E+03,2.5676E+03,3.5134E+03,1.1497E+02,1.4208E+02,4.3484E+02,3.8197E+02,6.6500E+02,3.5416E+01,,,,,,,,
6,6.2460E+04,0.0000E+00,0.0000E+00,5.0745E+04,1.1715E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.1219E+03,8.7077E+03,1.5723E+04,8.1170E+03,1.1076E+04,1.8153E+03,1.9133E+03,3.3814E+03,1.4669E+03,1.9913E+03,5.3532E+01,6.5920E+01,3.0618E+02,2.5762E+02,4.3881E+02,2.4942E+01,,,,,,,,
7.4976,3.5046E+04,0.0000E+00,0.0000E+00,2.8347E+04,6.6995E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.7098E+03,5.3190E+03,9.2867E+03,3.8415E+03,5.1896E+03,1.1784E+03,1.1620E+03,1.9954E+03,7.2067E+02,9.6842E+02,2.0522E+01,2.5149E+01,1.9782E+02,1.5608E+02,2.5884E+02,1.6121E+01,,,,,,,,
