PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,,,,
1,2.1430E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.1430E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.1784E+04,1.4877E+05,2.0701E+05,3.2534E+05,5.4856E+05,7.0584E+05,1.5153E+04,1.2831E+04,4.1156E+04,3.8983E+04,5.8090E+04,2.8959E+03,1.8626E+03,4.7698E+03,,,,
1.0729,1.8833E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.8833E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.1387E+04,1.3848E+05,1.9652E+05,3.0434E+05,4.6100E+05,5.9183E+05,1.3736E+04,1.1915E+04,3.7216E+04,3.5610E+04,5.2722E+04,2.5964E+03,1.7077E+03,4.2884E+03,,,,
1.0815,1.8946E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.8946E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.9194E+04,3.1328E+04,1.3734E+05,1.9519E+05,3.0183E+05,4.5183E+05,5.7987E+05,1.3582E+04,1.1813E+04,3.6790E+04,3.5236E+04,5.2130E+04,2.5644E+03,1.6909E+03,4.2366E+03,,,,
1.5,9.9772E+05,0.0000E+00,0.0000E+00,0.0000E+00,9.9772E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6386E+04,2.7152E+04,9.3262E+04,1.3333E+05,1.9770E+05,1.8607E+05,2.3663E+05,8.4280E+03,8.1237E+03,2.2508E+04,2.1699E+04,3.1248E+04,1.5291E+03,1.1095E+03,2.5414E+03,,,,
2,5.4501E+05,0.0000E+00,0.0000E+00,0.0000E+00,5.4501E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8838E+04,2.1391E+04,6.2098E+04,8.3938E+04,1.2101E+05,7.8496E+04,9.9097E+04,5.4245E+03,5.6243E+03,1.4182E+04,1.3121E+04,1.8498E+04,9.5934E+02,7.4522E+02,1.5817E+03,,,,
2.8859,2.4192E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.4192E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1304E+04,1.4000E+04,3.4508E+04,4.0849E+04,5.7152E+04,2.3769E+04,2.9730E+04,3.0187E+03,3.3421E+03,7.5527E+03,6.2792E+03,8.6327E+03,5.2100E+02,4.3052E+02,8.3337E+02,,,,
2.909,7.6855E+05,0.0000E+00,0.0000E+00,5.3097E+05,2.3759E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.3097E+05,1.1171E+04,1.3854E+04,3.4044E+04,4.0158E+04,5.6152E+04,2.3134E+04,2.8930E+04,2.9796E+03,3.3023E+03,7.4458E+03,6.1722E+03,8.4812E+03,5.1402E+02,4.2517E+02,8.2142E+02,,,,
3,5.6894E+05,0.0000E+00,0.0000E+00,3.4743E+05,2.2151E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.4743E+05,1.0672E+04,1.3297E+04,3.2298E+04,3.7581E+04,5.2419E+04,2.0829E+04,2.6028E+04,2.8327E+03,3.1521E+03,7.0457E+03,5.7733E+03,7.9168E+03,4.8786E+02,4.0505E+02,7.7671E+02,,,,
3.0184,5.5958E+05,0.0000E+00,0.0000E+00,3.4114E+05,2.1844E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.4114E+05,1.0576E+04,1.3188E+04,3.1959E+04,3.7085E+04,5.1702E+04,2.0398E+04,2.5485E+04,2.8044E+03,3.1230E+03,6.9685E+03,5.6967E+03,7.8085E+03,4.8281E+02,4.0114E+02,7.6809E+02,,,,
3.0426,8.8066E+05,0.0000E+00,0.0000E+00,6.6616E+05,2.1451E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.3215E+05,3.3401E+05,1.0451E+04,1.3046E+04,3.1522E+04,3.6447E+04,5.0779E+04,1.9849E+04,2.4793E+04,2.7678E+03,3.0853E+03,6.8690E+03,5.5981E+03,7.6693E+03,4.7631E+02,3.9611E+02,7.5698E+02,,,,
