PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,,,,,,,,,,,,,,,,,,,,,
1,2.1101E+05,0.0000E+00,1.9384E+05,1.7170E+04,0.0000E+00,0.0000E+00,5.8891E+04,4.5635E+04,8.9311E+04,6.9960E+03,3.4428E+03,6.7308E+03,,,,,,,,,,,,,,,,,,,,,
1.5,7.3100E+04,0.0000E+00,6.6848E+04,6.2517E+03,0.0000E+00,0.0000E+00,2.6429E+04,1.3707E+04,2.6712E+04,3.0395E+03,1.0899E+03,2.1223E+03,,,,,,,,,,,,,,,,,,,,,
2,3.3790E+04,0.0000E+00,3.0819E+04,2.9705E+03,0.0000E+00,0.0000E+00,1.4315E+04,5.6090E+03,1.0895E+04,1.6238E+03,4.5791E+02,8.8874E+02,,,,,,,,,,,,,,,,,,,,,
3,1.1157E+04,0.0000E+00,1.0144E+04,1.0124E+03,0.0000E+00,0.0000E+00,5.7050E+03,1.5137E+03,2.9258E+03,6.3941E+02,1.2727E+02,2.4573E+02,,,,,,,,,,,,,,,,,,,,,
3.1744,9.5439E+03,0.0000E+00,8.6743E+03,8.6965E+02,0.0000E+00,0.0000E+00,4.9939E+03,1.2554E+03,2.4249E+03,5.5922E+02,1.0597E+02,2.0446E+02,,,,,,,,,,,,,,,,,,,,,
3.1998,8.4622E+04,7.5287E+04,8.4844E+03,8.5116E+02,0.0000E+00,7.5287E+04,4.9005E+03,1.2226E+03,2.3613E+03,5.4870E+02,1.0326E+02,1.9920E+02,,,,,,,,,,,,,,,,,,,,,
4,5.0111E+04,4.5096E+04,4.5508E+03,4.6423E+02,0.0000E+00,4.5096E+04,2.8621E+03,5.7727E+02,1.1114E+03,3.1970E+02,4.9442E+01,9.5083E+01,,,,,,,,,,,,,,,,,,,,,
5,2.7931E+04,2.5255E+04,2.4246E+03,2.5128E+02,0.0000E+00,2.5255E+04,1.6423E+03,2.6804E+02,5.1428E+02,1.8344E+02,2.3263E+01,4.4574E+01,,,,,,,,,,,,,,,,,,,,,
6,1.7119E+04,1.5526E+04,1.4422E+03,1.5120E+02,0.0000E+00,1.5526E+04,1.0300E+03,1.4153E+02,2.7072E+02,1.1513E+02,1.2392E+01,2.3673E+01,,,,,,,,,,,,,,,,,,,,,
8,7.7602E+03,7.0633E+03,6.2981E+02,6.7039E+01,0.0000E+00,7.0633E+03,4.8271E+02,5.0679E+01,9.6417E+01,5.4050E+01,4.4859E+00,8.5036E+00,,,,,,,,,,,,,,,,,,,,,
