PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,,,,,,,,,,,,,,,,
1,3.0312E+05,0.0000E+00,0.0000E+00,2.9203E+05,1.1092E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.8264E+04,4.7718E+04,9.3431E+04,4.5751E+04,6.6868E+04,4.4591E+03,2.2647E+03,4.3681E+03,,,,,,,,,,,,,,,,
1.4371,1.2771E+05,0.0000E+00,0.0000E+00,1.2229E+05,5.4132E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0643E+04,2.2753E+04,4.3884E+04,1.4257E+04,2.0756E+04,2.3274E+03,1.0618E+03,2.0240E+03,,,,,,,,,,,,,,,,
1.4486,5.4124E+05,0.0000E+00,4.1598E+05,1.1993E+05,5.3252E+03,0.0000E+00,0.0000E+00,0.0000E+00,4.1598E+05,2.0355E+04,2.2362E+04,4.3117E+04,1.3884E+04,2.0211E+04,2.2935E+03,1.0434E+03,1.9883E+03,,,,,,,,,,,,,,,,
1.4799,5.1045E+05,0.0000E+00,3.9154E+05,1.1381E+05,5.0962E+03,0.0000E+00,0.0000E+00,0.0000E+00,3.9154E+05,1.9600E+04,2.1344E+04,4.1119E+04,1.2931E+04,1.8818E+04,2.2051E+03,9.9543E+02,1.8957E+03,,,,,,,,,,,,,,,,
1.4917,7.1095E+05,0.0000E+00,5.9433E+05,1.1161E+05,5.0130E+03,0.0000E+00,0.0000E+00,1.9992E+05,3.9441E+05,1.9325E+04,2.0974E+04,4.0394E+04,1.2591E+04,1.8322E+04,2.1729E+03,9.7802E+02,1.8621E+03,,,,,,,,,,,,,,,,
1.5,6.9898E+05,0.0000E+00,5.8393E+05,1.1009E+05,4.9558E+03,0.0000E+00,0.0000E+00,1.9072E+05,3.9321E+05,1.9136E+04,2.0720E+04,3.9895E+04,1.2360E+04,1.7984E+04,2.1508E+03,9.6608E+02,1.8390E+03,,,,,,,,,,,,,,,,
1.6399,5.8108E+05,0.0000E+00,4.8865E+05,8.8321E+04,4.1158E+03,0.0000E+00,0.0000E+00,1.6708E+05,3.2156E+05,1.6306E+04,1.6980E+04,3.2584E+04,9.1507E+03,1.3301E+04,1.8231E+03,7.9105E+02,1.5016E+03,,,,,,,,,,,,,,,,
1.6531,6.4456E+05,0.0000E+00,5.5393E+05,8.6590E+04,4.0473E+03,0.0000E+00,7.5248E+04,1.6377E+05,3.1490E+05,1.6072E+04,1.6677E+04,3.1992E+04,8.9058E+03,1.2944E+04,1.7962E+03,7.7684E+02,1.4743E+03,,,,,,,,,,,,,,,,
2,4.0559E+05,0.0000E+00,3.4918E+05,5.3721E+04,2.6900E+03,0.0000E+00,5.9571E+04,9.9581E+04,1.9003E+05,1.1313E+04,1.0709E+04,2.0398E+04,4.6128E+03,6.6885E+03,1.2523E+03,4.9811E+02,9.3962E+02,,,,,,,,,,,,,,,,
3,1.4579E+05,0.0000E+00,1.2577E+05,1.8943E+04,1.0821E+03,0.0000E+00,2.9740E+04,3.3371E+04,6.2657E+04,5.1563E+03,3.8844E+03,7.2903E+03,1.0694E+03,1.5421E+03,5.6355E+02,1.8118E+02,3.3738E+02,,,,,,,,,,,,,,,,
