PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2
1,2.6138E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.6138E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0907E+05,3.4375E+05,7.8223E+05,1.0106E+06,1.7266E+04,1.3756E+04,5.4000E+04,5.4573E+04,8.3411E+04,1.1883E+04,1.5058E+04,4.2567E+03,2.9469E+03,9.4419E+03,4.2751E+02,6.0096E+02,5.2420E+02
1.0295,2.4827E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.4827E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0721E+05,3.3829E+05,7.3318E+05,9.4617E+05,1.6628E+04,1.3384E+04,5.1863E+04,5.2780E+04,8.0400E+04,1.1182E+04,1.4155E+04,4.0752E+03,2.8486E+03,9.0422E+03,4.1203E+02,5.7790E+02,4.9971E+02
1.0377,2.6035E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.6035E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5601E+05,2.0662E+05,3.3669E+05,7.2008E+05,9.2904E+05,1.6455E+04,1.3284E+04,5.1288E+04,5.2290E+04,7.9581E+04,1.0995E+04,1.3914E+04,4.0266E+03,2.8221E+03,8.9351E+03,4.0782E+02,5.7166E+02,4.9317E+02
1.2636,1.8083E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.8083E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2720E+05,1.8128E+05,2.8325E+05,4.4932E+05,5.7497E+05,1.2601E+04,1.0933E+04,3.8638E+04,4.0659E+04,6.0586E+04,7.0722E+03,8.8859E+03,2.9828E+03,2.2311E+03,6.6204E+03,3.1113E+02,4.2995E+02,3.5565E+02
1.2737,1.8056E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.8056E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5050E+04,1.2603E+05,1.7999E+05,2.8093E+05,4.4028E+05,5.6327E+05,1.2463E+04,1.0844E+04,3.8186E+04,4.0215E+04,5.9874E+04,6.9405E+03,8.7180E+03,2.9463E+03,2.2096E+03,6.5390E+03,3.0752E+02,4.2472E+02,3.5096E+02
1.4209,1.4569E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.4569E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3237E+04,1.1092E+05,1.6172E+05,2.4702E+05,3.3115E+05,4.2223E+05,1.0678E+04,9.6594E+03,3.2420E+04,3.4379E+04,5.0640E+04,5.3268E+03,6.6661E+03,2.4858E+03,1.9308E+03,5.5091E+03,2.6071E+02,3.5739E+02,2.9200E+02
1.4323,1.4619E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.4619E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.8118E+04,2.3191E+04,1.0988E+05,1.6029E+05,2.4444E+05,3.2419E+05,4.1320E+05,1.0556E+04,9.5764E+03,3.2031E+04,3.3974E+04,5.0005E+04,5.2223E+03,6.5337E+03,2.4549E+03,1.9117E+03,5.4399E+03,2.5750E+02,3.5279E+02,2.8808E+02
1.5,1.3315E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.3315E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5637E+04,2.2856E+04,1.0407E+05,1.5173E+05,2.2963E+05,2.8616E+05,3.6404E+05,9.8772E+03,9.1049E+03,2.9850E+04,3.1684E+04,4.6430E+04,4.6508E+03,5.8099E+03,2.2834E+03,1.8039E+03,5.0547E+03,2.3943E+02,3.2705E+02,2.6633E+02
2,7.3229E+05,0.0000E+00,0.0000E+00,0.0000E+00,7.3229E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8764E+04,1.9742E+04,7.1231E+04,1.0068E+05,1.4705E+05,1.2553E+05,1.5836E+05,6.4468E+03,6.5050E+03,1.8935E+04,1.9709E+04,2.8157E+04,2.1599E+03,2.6733E+03,1.4436E+03,1.2393E+03,3.1579E+03,1.5037E+02,1.9595E+02,1.6270E+02
3,2.9966E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.9966E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1254E+04,1.3575E+04,3.8075E+04,4.7871E+04,6.7123E+04,3.5052E+04,4.3695E+04,3.4241E+03,3.8091E+03,9.5242E+03,9.0538E+03,1.2518E+04,6.4838E+02,7.9234E+02,7.4314E+02,6.9893E+02,1.5662E+03,6.8746E+01,8.6767E+01,7.9941E+01
3.5509,2.0381E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.0381E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.8615E+03,1.1059E+04,2.8578E+04,3.3542E+04,4.6344E+04,1.9904E+04,2.4689E+04,2.6072E+03,2.9854E+03,7.0410E+03,6.3212E+03,8.6270E+03,3.7802E+02,4.5155E+02,5.6034E+02,5.4173E+02,1.1533E+03,4.7973E+01,5.9774E+01,6.0352E+01
3.5793,4.8538E+05,0.0000E+00,0.0000E+00,2.8529E+05,2.0009E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.8529E+05,8.7574E+03,1.0947E+04,2.8184E+04,3.2962E+04,4.5509E+04,1.9368E+04,2.4019E+04,2.5735E+03,2.9503E+03,6.9394E+03,6.2115E+03,8.4721E+03,3.6828E+02,4.3981E+02,5.5285E+02,5.3510E+02,1.1365E+03,4.7140E+01,5.8700E+01,5.9550E+01
3.7327,4.3401E+05,0.0000E+00,0.0000E+00,2.5243E+05,1.8158E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5243E+05,8.2256E+03,1.0372E+04,2.6192E+04,3.0038E+04,4.1333E+04,1.6768E+04,2.0771E+04,2.4024E+03,2.7709E+03,6.4259E+03,5.6606E+03,7.6959E+03,3.2079E+02,3.8257E+02,5.1499E+02,5.0133E+02,1.0515E+03,4.2957E+01,5.3321E+01,5.5492E+01
3.7626,6.0635E+05,0.0000E+00,0.0000E+00,4.2810E+05,1.7825E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8083E+05,2.4727E+05,8.1279E+03,1.0264E+04,2.5827E+04,2.9507E+04,4.0578E+04,1.6313E+04,2.0203E+04,2.3711E+03,2.7378E+03,6.3322E+03,5.5607E+03,7.5555E+03,3.1244E+02,3.7251E+02,5.0807E+02,4.9512E+02,1.0360E+03,4.2198E+01,5.2348E+01,5.4752E+01
4,5.2134E+05,0.0000E+00,0.0000E+00,3.6674E+05,1.5460E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5356E+05,2.1318E+05,7.4150E+03,9.4547E+03,2.3160E+04,2.5701E+04,3.5173E+04,1.3191E+04,1.6305E+04,2.1432E+03,2.4942E+03,5.6530E+03,4.8436E+03,6.5505E+03,2.5304E+02,3.0316E+02,4.5788E+02,4.4960E+02,9.2382E+02,3.6757E+01,4.5387E+01,4.9373E+01
4.2849,4.3990E+05,0.0000E+00,0.0000E+00,3.0833E+05,1.3157E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3029E+05,1.7804E+05,6.6813E+03,8.5846E+03,2.0430E+04,2.1930E+04,2.9825E+04,1.0356E+04,1.2775E+04,1.9112E+03,2.2416E+03,4.9673E+03,4.1336E+03,5.5611E+03,2.0048E+02,2.3964E+02,4.0703E+02,4.0266E+02,8.1083E+02,3.1372E+01,3.8534E+01,4.3921E+01
4.3193,5.0222E+05,0.0000E+00,0.0000E+00,3.7310E+05,1.2912E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.1224E+04,1.2768E+05,1.7419E+05,6.6000E+03,8.4876E+03,2.0132E+04,2.1524E+04,2.9253E+04,1.0067E+04,1.2416E+04,1.8859E+03,2.2137E+03,4.8928E+03,4.0575E+03,5.4554E+03,1.9509E+02,2.3315E+02,4.0150E+02,3.9750E+02,7.9857E+02,3.0795E+01,3.7802E+01,4.3328E+01
5,3.4792E+05,0.0000E+00,0.0000E+00,2.5661E+05,9.1306E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.6631E+04,8.5492E+04,1.1449E+05,5.2416E+03,6.8464E+03,1.5314E+04,1.5148E+04,2.0345E+04,5.9547E+03,7.3103E+03,1.4728E+03,1.7503E+03,3.6922E+03,2.8618E+03,3.8051E+03,1.1745E+02,1.3968E+02,3.1168E+02,3.1226E+02,6.0136E+02,2.1729E+01,2.6376E+01,3.3687E+01
5.1777,3.1813E+05,0.0000E+00,0.0000E+00,2.3413E+05,8.3997E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.3440E+04,7.7362E+04,1.0333E+05,4.9578E+03,6.4879E+03,1.4321E+04,1.3896E+04,1.8610E+04,5.2434E+03,6.4295E+03,1.3875E+03,1.6525E+03,3.4480E+03,2.6273E+03,3.4839E+03,1.0383E+02,1.2333E+02,2.9324E+02,2.9439E+02,5.6134E+02,1.9950E+01,2.4152E+01,3.1706E+01
