PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,,,,,,,,,,,,,,,,,,,,,,,
150,1.5282E-01,1.4286E-01,9.4861E-03,4.7063E-04,0.0000E+00,1.4286E-01,9.3959E-03,3.3336E-05,5.6874E-05,4.7063E-04,,,,,,,,,,,,,,,,,,,,,,,
200,6.1123E-02,5.7137E-02,3.7965E-03,1.8860E-04,0.0000E+00,5.7137E-02,3.7656E-03,1.1523E-05,1.9317E-05,1.8860E-04,,,,,,,,,,,,,,,,,,,,,,,
300,1.7476E-02,1.6336E-02,1.0864E-03,5.4031E-05,0.0000E+00,1.6336E-02,1.0790E-03,2.7758E-06,4.6104E-06,5.4031E-05,,,,,,,,,,,,,,,,,,,,,,,
400,7.5339E-03,7.0420E-03,4.6856E-04,2.3319E-05,0.0000E+00,7.0420E-03,4.6567E-04,1.0812E-06,1.8126E-06,2.3319E-05,,,,,,,,,,,,,,,,,,,,,,,
500,4.0824E-03,3.8162E-03,2.5361E-04,1.2633E-05,0.0000E+00,3.8162E-03,2.5214E-04,5.4393E-07,9.2995E-07,1.2633E-05,,,,,,,,,,,,,,,,,,,,,,,
600,2.5483E-03,2.3821E-03,1.5829E-04,7.8890E-06,0.0000E+00,2.3821E-03,1.5740E-04,3.1898E-07,5.6466E-07,7.8890E-06,,,,,,,,,,,,,,,,,,,,,,,
800,1.2886E-03,1.2046E-03,8.0033E-05,3.9983E-06,0.0000E+00,1.2046E-03,7.9611E-05,1.4689E-07,2.7496E-07,3.9983E-06,,,,,,,,,,,,,,,,,,,,,,,
1000,8.0099E-04,7.4875E-04,4.9741E-05,2.4934E-06,0.0000E+00,7.4875E-04,4.9488E-05,8.4985E-08,1.6780E-07,2.4934E-06,,,,,,,,,,,,,,,,,,,,,,,
1500,3.7662E-04,3.5205E-04,2.3383E-05,1.1877E-06,0.0000E+00,3.5205E-04,2.3271E-05,3.4743E-08,7.6998E-08,1.1877E-06,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
