PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,4s1/2,,,,,,,,,,,,,,,,,,,,
20,6.7861E+02,6.1859E+02,5.3460E+01,6.4170E+00,1.3821E-01,6.1859E+02,4.6618E+01,2.4010E+00,4.4408E+00,5.6928E+00,2.5447E-01,4.6972E-01,1.3821E-01,,,,,,,,,,,,,,,,,,,,
30,2.0028E+02,1.8273E+02,1.5612E+01,1.8882E+00,4.2122E-02,1.8273E+02,1.4171E+01,5.1128E-01,9.3026E-01,1.7346E+00,5.4558E-02,9.9069E-02,4.2122E-02,,,,,,,,,,,,,,,,,,,,
40,8.2940E+01,7.5704E+01,6.4367E+00,7.8168E-01,1.7760E-02,7.5704E+01,5.9652E+00,1.6877E-01,3.0277E-01,7.3124E-01,1.8078E-02,3.2359E-02,1.7760E-02,,,,,,,,,,,,,,,,,,,,
50,4.1545E+01,3.7928E+01,3.2169E+00,3.9168E-01,8.9986E-03,3.7928E+01,3.0193E+00,7.1289E-02,1.2628E-01,3.7049E-01,7.6540E-03,1.3528E-02,8.9986E-03,,,,,,,,,,,,,,,,,,,,
60,2.3520E+01,2.1474E+01,1.8189E+00,2.2186E-01,5.1357E-03,2.1474E+01,1.7218E+00,3.5281E-02,6.1779E-02,2.1144E-01,3.7947E-03,6.6279E-03,5.1357E-03,,,,,,,,,,,,,,,,,,,,
80,9.5304E+00,8.7022E+00,7.3614E-01,9.0003E-02,2.1032E-03,8.7022E+00,7.0438E-01,1.1692E-02,2.0067E-02,8.6584E-02,1.2606E-03,2.1575E-03,2.1032E-03,,,,,,,,,,,,,,,,,,,,
100,4.7155E+00,4.3058E+00,3.6406E-01,4.4579E-02,1.0477E-03,4.3058E+00,3.5061E-01,5.0051E-03,8.4461E-03,4.3130E-02,5.4057E-04,9.0899E-04,1.0477E-03,,,,,,,,,,,,,,,,,,,,
150,1.3143E+00,1.2001E+00,1.0146E-01,1.2450E-02,2.9481E-04,1.2001E+00,9.8548E-02,1.1087E-03,1.8017E-03,1.2136E-02,1.1957E-04,1.9454E-04,2.9481E-04,,,,,,,,,,,,,,,,,,,,
200,5.3601E-01,4.8940E-01,4.1407E-02,5.0838E-03,1.2083E-04,4.8940E-01,4.0389E-02,3.9309E-04,6.2489E-04,4.9738E-03,4.2391E-05,6.7551E-05,1.2083E-04,,,,,,,,,,,,,,,,,,,,
300,1.5677E-01,1.4313E-01,1.2117E-02,1.4889E-03,3.5525E-05,1.4313E-01,1.1867E-02,9.7604E-05,1.5230E-04,1.4619E-03,1.0524E-05,1.6482E-05,3.5525E-05,,,,,,,,,,,,,,,,,,,,
