PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,,,,,,,,,,,,,
26.663,1.4873E+03,0.0000E+00,1.2117E+03,2.3144E+02,4.4158E+01,0.0000E+00,6.5717E+02,2.1598E+02,3.3851E+02,1.2297E+02,3.9038E+01,6.1852E+01,3.2691E+00,4.3070E+00,2.3917E+01,6.7695E+00,1.0648E+01,4.0368E-01,5.2358E-01,1.8963E+00,,,,,,,,,,,,,
26.876,9.1439E+03,7.6899E+03,1.1846E+03,2.2626E+02,4.3190E+01,7.6899E+03,6.4455E+02,2.1044E+02,3.2959E+02,1.2060E+02,3.8067E+01,6.0268E+01,3.1622E+00,4.1643E+00,2.3455E+01,6.6019E+00,1.0377E+01,3.9057E-01,5.0636E-01,1.8597E+00,,,,,,,,,,,,,
30,6.8849E+03,5.8210E+03,8.6655E+02,1.6552E+02,3.1794E+01,5.8210E+03,4.9207E+02,1.4688E+02,2.2760E+02,9.1994E+01,2.6853E+01,4.2059E+01,1.9971E+00,2.6137E+00,1.7890E+01,4.6653E+00,7.2544E+00,2.4744E-01,3.1881E-01,1.4183E+00,,,,,,,,,,,,,
40,3.2173E+03,2.7500E+03,3.8050E+02,7.2683E+01,1.4165E+01,2.7500E+03,2.3849E+02,5.6698E+01,8.5314E+01,4.4562E+01,1.0619E+01,1.6143E+01,5.9500E-01,7.6502E-01,8.6674E+00,1.8548E+00,2.7881E+00,7.4230E-02,9.3960E-02,6.8685E-01,,,,,,,,,,,,,
50,1.7472E+03,1.5015E+03,1.9999E+02,3.8210E+01,7.5224E+00,1.5015E+03,1.3371E+02,2.6860E+01,3.9425E+01,2.5002E+01,5.1092E+00,7.5739E+00,2.3150E-01,2.9323E-01,4.8655E+00,8.9475E-01,1.3115E+00,2.9004E-02,3.6164E-02,3.8540E-01,,,,,,,,,,,,,
60,1.0516E+03,9.0671E+02,1.1790E+02,2.2532E+01,4.4670E+00,9.0671E+02,8.2502E+01,1.4529E+01,2.0869E+01,1.5445E+01,2.7941E+00,4.0522E+00,1.0702E-01,1.3383E-01,3.0057E+00,4.9022E-01,7.0300E-01,1.3448E-02,1.6554E-02,2.3812E-01,,,,,,,,,,,,,
80,4.6616E+02,4.0349E+02,5.0974E+01,9.7481E+00,1.9513E+00,4.0349E+02,3.7888E+01,5.4877E+00,7.5990E+00,7.1099E+00,1.0709E+00,1.4966E+00,3.1787E-02,3.8921E-02,1.3842E+00,1.8837E-01,2.6028E-01,4.0096E-03,4.8315E-03,1.0966E-01,,,,,,,,,,,,,
100,2.4578E+02,2.1316E+02,2.6523E+01,5.0752E+00,1.0223E+00,2.1316E+02,2.0479E+01,2.5791E+00,3.4645E+00,3.8512E+00,5.0796E-01,6.8854E-01,1.2489E-02,1.5046E-02,7.4998E-01,8.9507E-02,1.1995E-01,1.5795E-03,1.8725E-03,5.9421E-02,,,,,,,,,,,,,
150,7.6022E+01,6.6078E+01,8.0811E+00,1.5481E+00,3.1467E-01,6.6078E+01,6.5798E+00,6.6197E-01,8.3926E-01,1.2420E+00,1.3205E-01,1.6894E-01,2.3553E-03,2.7665E-03,2.4202E-01,2.3331E-02,2.9496E-02,2.9902E-04,3.4525E-04,1.9177E-02,,,,,,,,,,,,,
200,3.3096E+01,2.8791E+01,3.4975E+00,6.7057E-01,1.3696E-01,2.8791E+01,2.9267E+00,2.5735E-01,3.1341E-01,5.5378E-01,5.1668E-02,6.3510E-02,7.5005E-04,8.6331E-04,1.0795E-01,9.1441E-03,1.1101E-02,9.5198E-05,1.0871E-04,8.5546E-03,,,,,,,,,,,,,
300,1.0485E+01,9.1277E+00,1.1027E+00,2.1153E-01,4.3434E-02,9.1277E+00,9.4853E-01,7.1327E-02,8.2821E-02,1.7987E-01,1.4440E-02,1.6868E-02,1.6055E-04,1.8552E-04,3.5096E-02,2.5555E-03,2.9565E-03,2.0388E-05,2.3415E-05,2.7817E-03,,,,,,,,,,,,,
400,4.7961E+00,4.1768E+00,5.0294E-01,9.6520E-02,1.9868E-02,4.1768E+00,4.3862E-01,3.0095E-02,3.4221E-02,8.3287E-02,6.1145E-03,6.9929E-03,5.7204E-05,6.8168E-05,1.6254E-02,1.0829E-03,1.2261E-03,7.2785E-06,8.5962E-06,1.2887E-03,,,,,,,,,,,,,
500,2.6915E+00,2.3448E+00,2.8151E-01,5.4034E-02,1.1139E-02,2.3448E+00,2.4755E-01,1.5944E-02,1.8024E-02,4.7038E-02,3.2474E-03,3.6888E-03,2.6813E-05,3.3346E-05,9.1810E-03,5.7511E-04,6.4694E-04,3.4165E-06,4.1825E-06,7.2818E-04,,,,,,,,,,,,,
600,1.7181E+00,1.4973E+00,1.7926E-01,3.4405E-02,7.0997E-03,1.4973E+00,1.5850E-01,9.7340E-03,1.1030E-02,3.0127E-02,1.9864E-03,2.2580E-03,1.5028E-05,1.9228E-05,5.8807E-03,3.5166E-04,3.9639E-04,1.9065E-06,2.4296E-06,4.6665E-04,,,,,,,,,,,,,
800,8.8698E-01,7.7353E-01,9.2122E-02,1.7675E-02,3.6520E-03,7.7353E-01,8.2025E-02,4.6929E-03,5.4039E-03,1.5594E-02,9.5918E-04,1.1071E-03,6.3302E-06,8.6860E-06,3.0439E-03,1.6992E-04,1.9433E-04,8.0272E-07,1.1075E-06,2.4189E-04,,,,,,,,,,,,,
1000,5.5346E-01,4.8294E-01,5.7266E-02,1.0983E-02,2.2711E-03,4.8294E-01,5.1209E-02,2.7947E-03,3.2621E-03,9.7336E-03,5.7032E-04,6.7072E-04,3.4265E-06,5.1391E-06,1.9000E-03,1.0103E-04,1.1772E-04,4.3455E-07,6.4189E-07,1.5129E-04,,,,,,,,,,,,,
1500,2.5599E-01,2.2360E-01,2.6302E-02,5.0417E-03,1.0441E-03,2.2360E-01,2.3655E-02,1.1956E-03,1.4518E-03,4.4954E-03,2.4418E-04,2.9855E-04,1.3481E-06,2.1632E-06,8.7757E-04,4.3254E-05,5.2411E-05,1.6032E-07,2.6945E-07,7.0481E-05,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
