PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,,,,,,,,,,,,,,,,,,,,,
1,1.2919E+05,0.0000E+00,1.2110E+05,8.0821E+03,0.0000E+00,0.0000E+00,4.4168E+04,2.5981E+04,5.0955E+04,4.6463E+03,1.1603E+03,2.2754E+03,,,,,,,,,,,,,,,,,,,,,
1.5,4.4275E+04,0.0000E+00,4.1288E+04,2.9871E+03,0.0000E+00,0.0000E+00,1.9066E+04,7.5216E+03,1.4700E+04,1.9590E+03,3.4801E+02,6.8003E+02,,,,,,,,,,,,,,,,,,,,,
2,2.0385E+04,0.0000E+00,1.8942E+04,1.4429E+03,0.0000E+00,0.0000E+00,1.0076E+04,3.0063E+03,5.8598E+03,1.0243E+03,1.4196E+02,2.7665E+02,,,,,,,,,,,,,,,,,,,,,
2.4534,1.1664E+04,0.0000E+00,1.0812E+04,8.5245E+02,0.0000E+00,0.0000E+00,6.2806E+03,1.5386E+03,2.9928E+03,6.3561E+02,7.3638E+01,1.4320E+02,,,,,,,,,,,,,,,,,,,,,
2.4731,1.1002E+05,9.8606E+04,1.0577E+04,8.3503E+02,0.0000E+00,9.8606E+04,6.1637E+03,1.4984E+03,2.9144E+03,6.2374E+02,7.1755E+01,1.3953E+02,,,,,,,,,,,,,,,,,,,,,
3,7.1169E+04,6.4477E+04,6.1885E+03,5.0403E+02,0.0000E+00,6.4477E+04,3.8828E+03,7.8402E+02,1.5217E+03,3.9234E+02,3.7987E+01,7.3707E+01,,,,,,,,,,,,,,,,,,,,,
4,3.3661E+04,3.0669E+04,2.7578E+03,2.3429E+02,0.0000E+00,3.0669E+04,1.9019E+03,2.9172E+02,5.6421E+02,1.9220E+02,1.4350E+01,2.7741E+01,,,,,,,,,,,,,,,,,,,,,
5,1.8490E+04,1.6900E+04,1.4618E+03,1.2774E+02,0.0000E+00,1.6900E+04,1.0721E+03,1.3309E+02,2.5663E+02,1.0843E+02,6.6044E+00,1.2700E+01,,,,,,,,,,,,,,,,,,,,,
6,1.1199E+04,1.0256E+04,8.6602E+02,7.7247E+01,0.0000E+00,1.0256E+04,6.6331E+02,6.9346E+01,1.3336E+02,6.7146E+01,3.4620E+00,6.6390E+00,,,,,,,,,,,,,,,,,,,,,
8,4.9864E+03,4.5762E+03,3.7573E+02,3.4477E+01,0.0000E+00,4.5762E+03,3.0480E+02,2.4340E+01,4.6585E+01,3.0915E+01,1.2249E+00,2.3374E+00,,,,,,,,,,,,,,,,,,,,,
10,2.6248E+03,2.4116E+03,1.9507E+02,1.8213E+01,0.0000E+00,2.4116E+03,1.6413E+02,1.0648E+01,2.0292E+01,1.6651E+01,5.3854E-01,1.0233E+00,,,,,,,,,,,,,,,,,,,,,
