PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,,,,,,,,,,,,,,,,
30,1.4267E+03,1.2675E+03,1.3764E+02,2.0389E+01,1.2255E+00,1.2675E+03,1.0577E+02,1.1747E+01,2.0116E+01,1.5771E+01,1.6802E+00,2.8699E+00,2.8624E-02,3.8910E-02,1.1996E+00,9.7004E-03,1.6123E-02,,,,,,,,,,,,,,,,
40,6.2186E+02,5.5383E+02,5.8743E+01,8.7414E+00,5.4991E-01,5.5383E+02,4.7552E+01,4.1767E+00,7.0142E+00,7.1081E+00,6.0361E-01,1.0113E+00,7.8453E-03,1.0526E-02,5.4074E-01,3.4894E-03,5.6873E-03,,,,,,,,,,,,,,,,
50,3.2300E+02,2.8803E+02,3.0169E+01,4.5028E+00,2.9160E-01,2.8803E+02,2.5234E+01,1.8615E+00,3.0734E+00,3.7794E+00,2.7067E-01,4.4605E-01,2.8753E-03,3.8127E-03,2.8753E-01,1.5664E-03,2.5101E-03,,,,,,,,,,,,,,,,
60,1.8802E+02,1.6779E+02,1.7440E+01,2.6086E+00,1.7236E-01,1.6779E+02,1.4919E+01,9.5973E-01,1.5607E+00,2.2381E+00,1.4039E-01,2.2720E-01,1.2690E-03,1.6672E-03,1.7027E-01,8.1168E-04,1.2811E-03,,,,,,,,,,,,,,,,
80,7.9340E+01,7.0868E+01,7.3030E+00,1.0946E+00,7.4295E-02,7.0868E+01,6.4312E+00,3.3739E-01,5.3437E-01,9.6591E-01,4.9665E-02,7.8262E-02,3.5225E-04,4.5501E-04,7.3566E-02,2.8724E-04,4.4158E-04,,,,,,,,,,,,,,,,
100,4.0406E+01,3.6107E+01,3.7048E+00,5.5635E-01,3.8374E-02,3.6107E+01,3.3211E+00,1.5051E-01,2.3314E-01,4.9953E-01,2.2242E-02,3.4277E-02,1.3185E-04,1.6834E-04,3.8051E-02,1.2865E-04,1.9346E-04,,,,,,,,,,,,,,,,
150,1.1804E+01,1.0552E+01,1.0780E+00,1.6232E-01,1.1444E-02,1.0552E+01,9.8992E-01,3.5447E-02,5.2620E-02,1.4923E-01,5.2673E-03,7.7775E-03,2.3028E-05,2.8819E-05,1.1370E-02,3.0462E-05,4.3927E-05,,,,,,,,,,,,,,,,
200,4.9561E+00,4.4311E+00,4.5203E-01,6.8170E-02,4.8594E-03,4.4311E+00,4.2013E-01,1.3060E-02,1.8840E-02,6.3415E-02,1.9468E-03,2.7920E-03,6.9804E-06,8.6785E-06,4.8323E-03,1.1255E-05,1.5778E-05,,,,,,,,,,,,,,,,
300,1.5013E+00,1.3423E+00,1.3680E-01,2.0663E-02,1.4890E-03,1.3423E+00,1.2865E-01,3.3920E-03,4.7542E-03,1.9446E-02,5.0744E-04,7.0636E-04,1.4086E-06,1.7810E-06,1.4820E-03,2.9307E-06,3.9961E-06,,,,,,,,,,,,,,,,
400,6.6861E-01,5.9785E-01,6.0887E-02,9.2042E-03,6.6672E-04,5.9785E-01,5.7587E-02,1.3778E-03,1.9224E-03,8.7105E-03,2.0664E-04,2.8585E-04,4.8695E-07,6.4129E-07,6.6391E-04,1.1929E-06,1.6194E-06,,,,,,,,,,,,,,,,
500,3.6893E-01,3.2991E-01,3.3579E-02,5.0768E-03,3.6894E-04,3.2991E-01,3.1864E-02,7.1496E-04,9.9966E-04,4.8204E-03,1.0698E-04,1.4894E-04,2.2465E-07,3.0707E-07,3.6748E-04,6.1714E-07,8.4580E-07,,,,,,,,,,,,,,,,
600,2.3297E-01,2.0834E-01,2.1186E-02,3.2037E-03,2.3335E-04,2.0834E-01,2.0149E-02,4.2899E-04,6.0866E-04,3.0485E-03,6.4191E-05,9.0715E-05,1.2263E-07,1.7807E-07,2.3246E-04,3.7028E-07,5.1625E-07,,,,,,,,,,,,,,,,
