PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,,,,,,
1,1.5176E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.5176E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.0857E+04,3.9389E+04,1.3308E+05,1.8912E+05,2.8643E+05,3.2084E+05,4.1126E+05,1.1865E+04,1.0315E+04,2.7249E+04,1.9268E+04,2.7352E+04,5.5803E+02,,,,,,
1.5,6.7927E+05,0.0000E+00,0.0000E+00,0.0000E+00,6.7927E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5919E+04,2.8986E+04,7.9246E+04,1.0825E+05,1.5768E+05,1.0007E+05,1.2715E+05,6.4446E+03,6.2399E+03,1.4747E+04,1.0167E+04,1.4072E+04,2.8915E+02,,,,,,
2,3.6812E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.6812E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7543E+04,2.0995E+04,5.1437E+04,6.4173E+04,9.1529E+04,4.0139E+04,5.0694E+04,4.0912E+03,4.1815E+03,9.2030E+03,5.9081E+03,8.0468E+03,1.7868E+02,,,,,,
2.2096,2.9573E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.9573E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5183E+04,1.8464E+04,4.3797E+04,5.2465E+04,7.4347E+04,2.8817E+04,3.6318E+04,3.4810E+03,3.6085E+03,7.7579E+03,4.8153E+03,6.5231E+03,1.5077E+02,,,,,,
2.2273,3.6810E+05,0.0000E+00,0.0000E+00,7.7551E+04,2.9055E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.7551E+04,1.5007E+04,1.8269E+04,4.3225E+04,5.1605E+04,7.3092E+04,2.8054E+04,3.5351E+04,3.4359E+03,3.5654E+03,7.6513E+03,4.7355E+03,6.4123E+03,1.4872E+02,,,,,,
2.2984,7.4635E+05,0.0000E+00,0.0000E+00,4.7536E+05,2.7099E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.7536E+05,1.4329E+04,1.7516E+04,4.1031E+04,4.8329E+04,6.8309E+04,2.5232E+04,3.1773E+04,3.2638E+03,3.4001E+03,7.2439E+03,4.4318E+03,5.9911E+03,1.4090E+02,,,,,,
2.3168,7.9477E+05,0.0000E+00,0.0000E+00,5.2855E+05,2.6622E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.3995E+04,4.7455E+05,1.4160E+04,1.7328E+04,4.0489E+04,4.7524E+04,6.7135E+04,2.4559E+04,3.0920E+04,3.2214E+03,3.3591E+03,7.1436E+03,4.3573E+03,5.8880E+03,1.3898E+02,,,,,,
2.7312,7.2470E+05,0.0000E+00,0.0000E+00,5.4091E+05,1.8380E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2517E+05,3.1574E+05,1.1014E+04,1.3730E+04,3.0560E+04,3.3161E+04,4.6363E+04,1.3922E+04,1.7465E+04,2.4519E+03,2.5982E+03,5.3253E+03,3.0356E+03,4.0663E+03,1.0450E+02,,,,,,
2.7531,8.1998E+05,0.0000E+00,0.0000E+00,6.3949E+05,1.8049E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1009E+05,2.2046E+05,3.0894E+05,1.0878E+04,1.3569E+04,3.0135E+04,3.2569E+04,4.5510E+04,1.3538E+04,1.6980E+04,2.4193E+03,2.5653E+03,5.2486E+03,2.9812E+03,3.9918E+03,1.0306E+02,,,,,,
3,6.6702E+05,0.0000E+00,0.0000E+00,5.1877E+05,1.4826E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.9874E+04,1.7497E+05,2.4392E+05,9.5046E+03,1.1925E+04,2.5863E+04,2.6721E+04,3.7147E+04,9.9890E+03,1.2505E+04,2.0927E+03,2.2315E+03,4.4811E+03,2.4465E+03,3.2609E+03,8.8616E+01,,,,,,
3.1419,5.9538E+05,0.0000E+00,0.0000E+00,4.6212E+05,1.3326E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.3263E+04,1.5429E+05,2.1457E+05,8.8260E+03,1.1103E+04,2.3787E+04,2.3964E+04,3.3221E+04,8.4660E+03,1.0587E+04,1.9343E+03,2.0673E+03,4.1106E+03,2.1948E+03,2.9182E+03,8.1647E+01,,,,,,
3.167,6.1980E+05,0.0000E+00,0.0000E+00,4.8898E+05,1.3082E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.6082E+04,9.2074E+04,1.5096E+05,2.0986E+05,8.7131E+03,1.0965E+04,2.3442E+04,2.3514E+04,3.2580E+04,8.2266E+03,1.0286E+04,1.9081E+03,2.0401E+03,4.0495E+03,2.1536E+03,2.8624E+03,8.0498E+01,,,,,,
3.4001,5.2353E+05,0.0000E+00,0.0000E+00,4.1264E+05,1.1089E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.3590E+04,8.1455E+04,1.2419E+05,1.7341E+05,7.7645E+03,9.7929E+03,2.0557E+04,1.9812E+04,2.7334E+04,6.3596E+03,7.9387E+03,1.6890E+03,1.8100E+03,3.5393E+03,1.8161E+03,2.4045E+03,7.0917E+01,,,,,,
3.4274,5.3634E+05,0.0000E+00,0.0000E+00,4.2750E+05,1.0884E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2006E+04,3.3337E+04,8.0299E+04,1.2216E+05,1.6970E+05,7.6642E+03,9.6677E+03,2.0253E+04,1.9430E+04,2.6795E+04,6.1772E+03,7.7096E+03,1.6659E+03,1.7856E+03,3.4857E+03,1.7812E+03,2.3573E+03,6.9912E+01,,,,,,
4,3.7107E+05,0.0000E+00,0.0000E+00,2.9545E+05,7.5621E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8397E+04,2.7108E+04,6.0747E+04,7.9841E+04,1.0935E+05,5.9285E+03,7.4796E+03,1.5085E+04,1.3195E+04,1.8030E+04,3.4881E+03,4.3376E+03,1.2723E+03,1.3646E+03,2.5801E+03,1.2127E+03,1.5917E+03,5.4757E+01,,,,,,
5,2.1524E+05,0.0000E+00,0.0000E+00,1.7100E+05,4.4245E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3113E+04,1.9449E+04,4.0387E+04,4.1667E+04,5.6379E+04,4.0396E+03,5.0413E+03,9.6586E+03,7.3187E+03,9.8679E+03,1.4898E+03,1.8425E+03,8.5436E+02,9.0795E+02,1.6414E+03,6.7611E+02,8.6978E+02,3.6721E+01,,,,,,
6,1.3673E+05,0.0000E+00,0.0000E+00,1.0839E+05,2.8337E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.9783E+03,1.4313E+04,2.8031E+04,2.3960E+04,3.2110E+04,2.9217E+03,3.5809E+03,6.5924E+03,4.4097E+03,5.8800E+03,7.2810E+02,8.9617E+02,6.1230E+02,6.4017E+02,1.1166E+03,4.1209E+02,5.2089E+02,2.6296E+01,,,,,,
8,6.5844E+04,0.0000E+00,0.0000E+00,5.1991E+04,1.3853E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.1630E+03,8.3462E+03,1.5074E+04,9.6739E+03,1.2734E+04,1.7218E+03,2.0178E+03,3.4979E+03,1.9002E+03,2.4886E+03,2.2716E+02,2.7738E+02,3.5697E+02,3.5798E+02,5.9078E+02,1.7896E+02,2.2218E+02,1.5322E+01,,,,,,
10,3.7039E+04,0.0000E+00,0.0000E+00,2.9159E+04,7.8794E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.1436E+03,5.2832E+03,9.0247E+03,4.6595E+03,6.0481E+03,1.1270E+03,1.2590E+03,2.0859E+03,9.5667E+02,1.2347E+03,8.9518E+01,1.0858E+02,2.3219E+02,2.2250E+02,3.5193E+02,9.0606E+01,1.1085E+02,9.9643E+00,,,,,,
11.909,2.3496E+04,0.0000E+00,0.0000E+00,1.8456E+04,5.0398E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.9969E+03,3.6172E+03,5.9305E+03,2.5893E+03,3.3220E+03,8.0249E+02,8.5653E+02,1.3703E+03,5.4836E+02,6.9927E+02,4.2463E+01,5.1213E+01,1.6465E+02,1.5107E+02,2.3115E+02,5.2150E+01,6.3041E+01,7.0654E+00,,,,,,
12.005,5.8640E+04,0.0000E+00,3.5629E+04,1.8073E+04,4.9376E+03,0.0000E+00,0.0000E+00,0.0000E+00,3.5629E+04,2.9525E+03,3.5534E+03,5.8157E+03,2.5199E+03,3.2313E+03,7.9002E+02,8.4134E+02,1.3439E+03,5.3440E+02,6.8109E+02,4.1028E+01,4.9469E+01,1.6207E+02,1.4838E+02,2.2669E+02,5.0832E+01,6.1413E+01,6.9544E+00,,,,,,
13.763,4.0567E+04,0.0000E+00,2.4493E+04,1.2603E+04,3.4705E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.4493E+04,2.2744E+03,2.6098E+03,4.1402E+03,1.5765E+03,2.0023E+03,6.0266E+02,6.1636E+02,9.5808E+02,3.4177E+02,4.3134E+02,2.2657E+01,2.7189E+01,1.2330E+02,1.0858E+02,1.6163E+02,3.2608E+01,3.9012E+01,5.2911E+00,,,,,,
13.873,5.5293E+04,0.0000E+00,3.9553E+04,1.2340E+04,3.3996E+03,0.0000E+00,0.0000E+00,1.5567E+04,2.3987E+04,2.2396E+03,2.5624E+03,4.0580E+03,1.5336E+03,1.9466E+03,5.9314E+02,6.0512E+02,9.3911E+02,3.3287E+02,4.1987E+02,2.1880E+01,2.6249E+01,1.2134E+02,1.0660E+02,1.5843E+02,3.1765E+01,3.7981E+01,5.2067E+00,,,,,,
14.329,5.1063E+04,0.0000E+00,3.6609E+04,1.1328E+04,3.1263E+03,0.0000E+00,0.0000E+00,1.4574E+04,2.2035E+04,2.1040E+03,2.3777E+03,3.7396E+03,1.3707E+03,1.7360E+03,5.5599E+02,5.6144E+02,8.6573E+02,2.9902E+02,3.7628E+02,1.8988E+01,2.2753E+01,1.1367E+02,9.8884E+01,1.4607E+02,2.8554E+01,3.4062E+01,4.8778E+00,,,,,,
14.444,5.7801E+04,0.0000E+00,4.3648E+04,1.1091E+04,3.0623E+03,0.0000E+00,7.8361E+03,1.4237E+04,2.1575E+04,2.0717E+03,2.3340E+03,3.6646E+03,1.3331E+03,1.6876E+03,5.4717E+02,5.5112E+02,8.4847E+02,2.9119E+02,3.6621E+02,1.8334E+01,2.1963E+01,1.1185E+02,9.7062E+01,1.4316E+02,2.7811E+01,3.3156E+01,4.7997E+00,,,,,,
15,5.2492E+04,0.0000E+00,3.9683E+04,1.0033E+04,2.7761E+03,0.0000E+00,7.4098E+03,1.2777E+04,1.9496E+04,1.9251E+03,2.1368E+03,3.3274E+03,1.1686E+03,1.4754E+03,5.0712E+02,5.0458E+02,7.7098E+02,2.5669E+02,3.2191E+02,1.5524E+01,1.8570E+01,1.0360E+02,8.8849E+01,1.3009E+02,2.4535E+01,2.9169E+01,4.4457E+00,,,,,,
20,2.5025E+04,0.0000E+00,1.9062E+04,4.6564E+03,1.3071E+03,0.0000E+00,4.4219E+03,6.1227E+03,8.5173E+03,1.0828E+03,1.0687E+03,1.5637E+03,4.2114E+02,5.2012E+02,2.8120E+02,2.5259E+02,3.6435E+02,9.6098E+01,1.1785E+02,4.2955E+00,5.0804E+00,5.7224E+01,4.4445E+01,6.1559E+01,9.2379E+00,1.0740E+01,2.4556E+00,,,,,,
