PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,,,,,,,,,,,
1,1.6064E+06,0.0000E+00,0.0000E+00,1.4092E+06,1.9725E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.6501E+04,1.0587E+05,2.3111E+05,4.0498E+05,5.9069E+05,2.1220E+04,2.4039E+04,4.8999E+04,4.0360E+04,5.8500E+04,2.5178E+03,5.5284E+02,1.0592E+03,,,,,,,,,,,
1.5,6.4827E+05,0.0000E+00,0.0000E+00,5.6404E+05,8.4233E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.3891E+04,6.1593E+04,1.2556E+05,1.3629E+05,1.9671E+05,1.0662E+04,1.2032E+04,2.3663E+04,1.4725E+04,2.1139E+04,1.2361E+03,2.7039E+02,5.0462E+02,,,,,,,,,,,
2,3.2683E+05,0.0000E+00,0.0000E+00,2.8252E+05,4.4310E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.7983E+04,3.7665E+04,7.4186E+04,5.8616E+04,8.4067E+04,6.4046E+03,6.9997E+03,1.3453E+04,6.7101E+03,9.5679E+03,7.3387E+02,1.5562E+02,2.8543E+02,,,,,,,,,,,
3,1.1986E+05,0.0000E+00,0.0000E+00,1.0268E+05,1.7176E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3982E+04,1.6908E+04,3.1990E+04,1.6445E+04,2.3359E+04,3.0442E+03,3.0480E+03,5.6803E+03,2.0188E+03,2.8503E+03,3.4455E+02,6.9144E+01,1.2032E+02,,,,,,,,,,,
3.9227,6.0549E+04,0.0000E+00,0.0000E+00,5.1593E+04,8.9558E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.5782E+03,9.3886E+03,1.7354E+04,6.7494E+03,9.5224E+03,1.8287E+03,1.6806E+03,3.0705E+03,8.6059E+02,1.2065E+03,2.0580E+02,3.8085E+01,6.4990E+01,,,,,,,,,,,
3.9541,1.8319E+05,0.0000E+00,1.2387E+05,5.0538E+04,8.7816E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.2387E+05,8.4518E+03,9.2198E+03,1.7030E+04,6.5694E+03,9.2665E+03,1.8007E+03,1.6502E+03,3.0132E+03,8.3847E+02,1.1753E+03,2.0262E+02,3.7394E+01,6.3775E+01,,,,,,,,,,,
4,1.8408E+05,0.0000E+00,1.2650E+05,4.9048E+04,8.5352E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.2650E+05,8.2717E+03,8.9803E+03,1.6571E+04,6.3170E+03,8.9079E+03,1.7610E+03,1.6070E+03,2.9319E+03,8.0740E+02,1.1314E+03,1.9811E+02,3.6416E+01,6.2053E+01,,,,,,,,,,,
4.1569,1.6580E+05,0.0000E+00,1.1366E+05,4.4382E+04,7.7612E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.1366E+05,7.6954E+03,8.2206E+03,1.5119E+04,5.5413E+03,7.8058E+03,1.6345E+03,1.4704E+03,2.6751E+03,7.1157E+02,9.9601E+02,1.8375E+02,3.3318E+01,5.6615E+01,,,,,,,,,,,
4.1901,2.2062E+05,0.0000E+00,1.6954E+05,4.3471E+04,7.6094E+03,0.0000E+00,0.0000E+00,5.8186E+04,1.1135E+05,7.5805E+03,8.0703E+03,1.4833E+04,5.3922E+03,7.5942E+03,1.6093E+03,1.4434E+03,2.6245E+03,6.9309E+02,9.6993E+02,1.8090E+02,3.2707E+01,5.5544E+01,,,,,,,,,,,
4.4362,1.9348E+05,0.0000E+00,1.4942E+05,3.7461E+04,6.6035E+03,0.0000E+00,0.0000E+00,5.2659E+04,9.6761E+04,6.8036E+03,7.0649E+03,1.2927E+04,4.4322E+03,6.2326E+03,1.4397E+03,1.2632E+03,2.2871E+03,5.7353E+02,8.0133E+02,1.6168E+02,2.8620E+01,4.8402E+01,,,,,,,,,,,
4.4717,2.1838E+05,0.0000E+00,1.7522E+05,3.6689E+04,6.4736E+03,0.0000E+00,2.8696E+04,5.1668E+04,9.4853E+04,6.7012E+03,6.9339E+03,1.2680E+04,4.3119E+03,6.0621E+03,1.4174E+03,1.2397E+03,2.2432E+03,5.5847E+02,7.8011E+02,1.5915E+02,2.8088E+01,4.7474E+01,,,,,,,,,,,
5,1.6606E+05,0.0000E+00,1.3378E+05,2.7378E+04,4.8937E+03,0.0000E+00,2.3969E+04,3.9290E+04,7.0525E+04,5.4098E+03,5.3158E+03,9.6307E+03,2.9240E+03,4.0981E+03,1.1371E+03,9.4987E+02,1.7047E+03,3.8330E+02,5.3370E+02,1.2746E+02,2.1522E+01,3.6077E+01,,,,,,,,,,,
