PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,,,,,,,,
5.522,1.2976E+05,0.0000E+00,8.4696E+04,3.6620E+04,8.4463E+03,0.0000E+00,0.0000E+00,0.0000E+00,8.4696E+04,6.1747E+03,6.7803E+03,1.2206E+04,4.8066E+03,6.6520E+03,1.4922E+03,1.4240E+03,2.5456E+03,8.6016E+02,1.1887E+03,2.7782E+02,2.2163E+02,3.9075E+02,6.7815E+00,9.1594E+00,2.9448E+01,,,,,,,,
5.8968,1.1041E+05,0.0000E+00,7.2420E+04,3.0833E+04,7.1623E+03,0.0000E+00,0.0000E+00,0.0000E+00,7.2420E+04,5.4535E+03,5.8248E+03,1.0416E+04,3.8384E+03,5.3003E+03,1.3120E+03,1.2228E+03,2.1721E+03,6.9321E+02,9.5575E+02,2.4400E+02,1.9024E+02,3.3341E+02,5.4714E+00,7.3730E+00,2.5865E+01,,,,,,,,
5.944,1.4748E+05,0.0000E+00,1.1027E+05,3.0194E+04,7.0198E+03,0.0000E+00,0.0000E+00,3.9413E+04,7.0853E+04,5.3713E+03,5.7177E+03,1.0215E+04,3.7345E+03,5.1553E+03,1.2916E+03,1.2002E+03,2.1303E+03,6.7517E+02,9.3060E+02,2.4017E+02,1.8672E+02,3.2700E+02,5.3297E+00,7.1799E+00,2.5459E+01,,,,,,,,
6,1.4470E+05,0.0000E+00,1.0838E+05,2.9459E+04,6.8556E+03,0.0000E+00,0.0000E+00,3.9279E+04,6.9102E+04,5.2761E+03,5.5939E+03,9.9835E+03,3.6157E+03,4.9895E+03,1.2680E+03,1.1742E+03,2.0821E+03,6.5451E+02,9.0181E+02,2.3573E+02,1.8265E+02,3.1960E+02,5.1674E+00,6.9590E+00,2.4989E+01,,,,,,,,
6.2363,1.3103E+05,0.0000E+00,9.8205E+04,2.6610E+04,6.2181E+03,0.0000E+00,0.0000E+00,3.5609E+04,6.2597E+04,4.8993E+03,5.1095E+03,9.0783E+03,3.1634E+03,4.3590E+03,1.1748E+03,1.0721E+03,1.8941E+03,5.7559E+02,7.9195E+02,2.1828E+02,1.6675E+02,2.9074E+02,4.5473E+00,6.1152E+00,2.3140E+01,,,,,,,,
6.2862,1.4814E+05,0.0000E+00,1.1599E+05,2.6055E+04,6.0938E+03,0.0000E+00,1.9841E+04,3.4810E+04,6.1345E+04,4.8245E+03,5.0143E+03,8.9009E+03,3.0770E+03,4.2387E+03,1.1564E+03,1.0521E+03,1.8572E+03,5.6046E+02,7.7090E+02,2.1484E+02,1.6362E+02,2.8509E+02,4.4284E+00,5.9535E+00,2.2775E+01,,,,,,,,
8,8.0539E+04,0.0000E+00,6.3507E+04,1.3743E+04,3.2890E+03,0.0000E+00,1.3244E+04,1.8636E+04,3.1627E+04,3.0076E+03,2.7924E+03,4.8322E+03,1.3152E+03,1.7956E+03,7.1239E+02,5.8637E+02,1.0110E+03,2.4647E+02,3.3588E+02,1.3193E+02,9.1133E+01,1.5529E+02,1.9548E+00,2.6038E+00,1.3989E+01,,,,,,,,
10,4.4680E+04,0.0000E+00,3.5287E+04,7.5523E+03,1.8404E+03,0.0000E+00,8.7401E+03,9.9850E+03,1.6562E+04,1.9148E+03,1.5834E+03,2.6765E+03,5.8550E+02,7.9214E+02,4.4945E+02,3.3323E+02,5.6194E+02,1.1220E+02,1.5149E+02,8.3050E+01,5.1788E+01,8.6403E+01,8.9259E-01,1.1780E+00,8.8079E+00,,,,,,,,
15,1.5059E+04,0.0000E+00,1.1926E+04,2.5058E+03,6.2813E+02,0.0000E+00,3.8928E+03,3.1080E+03,4.9248E+03,8.1344E+02,5.3282E+02,8.6250E+02,1.2758E+02,1.6943E+02,1.8884E+02,1.1296E+02,1.8268E+02,2.5321E+01,3.3548E+01,3.4802E+01,1.7740E+01,2.8089E+01,2.0237E-01,2.6211E-01,3.6913E+00,,,,,,,,
20,6.8504E+03,0.0000E+00,5.4290E+03,1.1326E+03,2.8874E+02,0.0000E+00,2.1063E+03,1.3103E+03,2.0124E+03,4.3064E+02,2.3591E+02,3.6987E+02,4.1692E+01,5.4527E+01,9.9543E+01,5.0350E+01,7.8897E+01,8.4401E+00,1.1013E+01,1.8331E+01,7.9168E+00,1.2146E+01,6.7645E-02,8.6291E-02,1.9438E+00,,,,,,,,
30,2.2180E+03,0.0000E+00,1.7583E+03,3.6484E+02,9.4836E+01,0.0000E+00,8.3814E+02,3.7339E+02,5.4681E+02,1.6865E+02,7.1117E+01,1.0625E+02,8.2708E+00,1.0553E+01,3.8860E+01,1.5310E+01,2.2870E+01,1.7084E+00,2.1756E+00,7.1860E+00,2.4110E+00,3.5262E+00,1.3739E-02,1.7097E-02,7.5813E-01,,,,,,,,
38.908,1.0667E+03,0.0000E+00,8.4556E+02,1.7514E+02,4.5983E+01,0.0000E+00,4.5004E+02,1.6365E+02,2.3187E+02,9.0175E+01,3.2099E+01,4.6387E+01,2.8750E+00,3.6023E+00,2.0758E+01,6.9446E+00,1.0035E+01,5.9986E-01,7.5048E-01,3.8373E+00,1.0946E+00,1.5486E+00,4.8330E-03,5.9061E-03,4.0483E-01,,,,,,,,
